,HOUSEKEEPING_NR,TYPHH,rinpersoon,PLHH,REFPERSOONHH,NUMBERPERSHH,DATE_STIRTHH,DATUMEINDEHH,AANTALOVHH,AANTALKINDHH,BIRTHEDYOUNGCHILDHH,GEBMAANDJONGSTEKINDHH,GEBJAAROUDSTEKINDHH,BMAANDOUDSTEKINDHH
2,e16d39e3,couple with children,c2d3fb66,child living at home,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
3,e16d39e3,couple with children,120a256a,child living at home,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
0,fd6a5e52,single person household,a1e63301,single person,0,1,1990-01-01,1991-01-01,1,0,,--,,--
0,5391eb95,single parent household,83848be9,parent in single parent household,1,3,1990-01-01,1991-01-01,1,2,,--,,--
1,5391eb95,single parent household,437acb0e,child living at home,1,3,1990-01-01,1991-01-01,1,2,,--,,--
2,5391eb95,single parent household,a9998b37,child living at home,1,3,1990-01-01,1991-01-01,1,2,,--,,--
0,51de5bb7,single parent household,a58f8773,parent in single parent household,1,3,1990-01-01,1991-01-01,1,2,,--,,--
1,51de5bb7,single parent household,fde16b96,child living at home,1,3,1990-01-01,1991-01-01,1,2,,--,,--
2,51de5bb7,single parent household,65a2e8d1,child living at home,1,3,1990-01-01,1991-01-01,1,2,,--,,--
0,a9e34ed8,couple without children,887cd01c,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
1,a9e34ed8,couple without children,20a30672,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
0,208bf2ca,couple with children,af1b4a1b,partner in couple with children,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
1,208bf2ca,couple with children,2ae09b76,partner in couple with children,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
2,208bf2ca,couple with children,8f260525,child living at home,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
3,208bf2ca,couple with children,88285fb4,child living at home,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
4,208bf2ca,couple with children,09f7a651,child living at home,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
0,9764e583,couple with children,1cefb90b,partner in couple with children,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
1,9764e583,couple with children,c87c7eb3,partner in couple with children,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
2,9764e583,couple with children,1610981e,child living at home,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
3,9764e583,couple with children,37aba74f,child living at home,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
4,9764e583,couple with children,a553b7f9,child living at home,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
0,ffa84504,single parent household,ecc584e2,parent in single parent household,1,2,1990-01-01,1991-01-01,1,1,,--,,--
1,ffa84504,single parent household,916b9948,child living at home,1,2,1990-01-01,1991-01-01,1,1,,--,,--
0,07a30e39,single person household,6d9cc4bb,single person,1,1,1990-01-01,1991-01-01,1,0,,--,,--
0,30aed750,couple without children,9c7fae3a,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
1,30aed750,couple without children,d35cf72b,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
0,9cf2a509,single parent household,0b2f1798,parent in single parent household,0,4,1990-01-01,1991-01-01,1,3,,--,,--
1,9cf2a509,single parent household,b0a21246,child living at home,0,4,1990-01-01,1991-01-01,1,3,,--,,--
2,9cf2a509,single parent household,17250469,child living at home,0,4,1990-01-01,1991-01-01,1,3,,--,,--
3,9cf2a509,single parent household,ec2e126b,child living at home,0,4,1990-01-01,1991-01-01,1,3,,--,,--
0,50a82ac0,couple with children,de5b3581,partner in couple with children,0,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05
1,50a82ac0,couple with children,74fdfb73,partner in couple with children,0,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05
2,50a82ac0,couple with children,f39962d5,child living at home,0,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05
0,bdab68c0,single parent household,34c3bf80,parent in single parent household,0,2,1990-01-01,1991-01-01,1,1,,--,,--
1,bdab68c0,single parent household,853fe91f,child living at home,0,2,1990-01-01,1991-01-01,1,1,,--,,--
0,b3578b16,single parent household,02dae9b3,parent in single parent household,0,4,1990-01-01,1991-01-01,1,3,,--,,--
1,b3578b16,single parent household,ceb688ab,child living at home,0,4,1990-01-01,1991-01-01,1,3,,--,,--
2,b3578b16,single parent household,6b9bb414,child living at home,0,4,1990-01-01,1991-01-01,1,3,,--,,--
3,b3578b16,single parent household,803211ef,child living at home,0,4,1990-01-01,1991-01-01,1,3,,--,,--
0,cf157266,couple with children,90d5c62a,partner in couple with children,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
1,cf157266,couple with children,431cea40,partner in couple with children,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
2,cf157266,couple with children,bc90f08b,child living at home,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
3,cf157266,couple with children,9e0c9697,child living at home,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
4,cf157266,couple with children,38f180e6,child living at home,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
0,8ac37fe0,single person household,8f30630d,single person,0,1,1990-01-01,1991-01-01,1,0,,--,,--
0,7d9ef18c,single parent household,2bbc5d88,parent in single parent household,1,2,1990-01-01,1991-01-01,1,1,,--,,--
1,7d9ef18c,single parent household,befc15c9,child living at home,1,2,1990-01-01,1991-01-01,1,1,,--,,--
0,f4ae0934,couple without children,92ad9e37,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
1,f4ae0934,couple without children,eb1e611e,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
0,4308ee85,single person household,f685e86d,single person,1,1,1990-01-01,1991-01-01,1,0,,--,,--
0,c486e628,couple without children,1e5842ee,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
1,c486e628,couple without children,247fbc76,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
0,17217684,couple with children,61243c95,partner in couple with children,0,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
1,17217684,couple with children,4f3a8f30,partner in couple with children,0,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
2,17217684,couple with children,ca5c5e48,child living at home,0,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
3,17217684,couple with children,860ec335,child living at home,0,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
0,65b9c242,single person household,9b083d70,single person,1,1,1990-01-01,1991-01-01,1,0,,--,,--
0,fd54ae85,couple with children,a97ae209,partner in couple with children,1,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05
1,fd54ae85,couple with children,7c903c8b,partner in couple with children,1,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05
2,fd54ae85,couple with children,93c3b503,child living at home,1,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05
0,bcd22a38,single parent household,57c99fa1,parent in single parent household,1,2,1990-01-01,1991-01-01,1,1,,--,,--
1,bcd22a38,single parent household,37490794,child living at home,1,2,1990-01-01,1991-01-01,1,1,,--,,--
0,d3ee50da,single person household,f901aeea,single person,1,1,1990-01-01,1991-01-01,1,0,,--,,--
0,23ef24a3,single person household,b26b57de,single person,0,1,1990-01-01,1991-01-01,1,0,,--,,--
0,e4149f12,couple with children,dd318db8,partner in couple with children,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
1,e4149f12,couple with children,5f2120dd,partner in couple with children,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
2,e4149f12,couple with children,edecd5f5,child living at home,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
3,e4149f12,couple with children,d5bd699f,child living at home,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
0,7567409a,single parent household,ddd88a26,parent in single parent household,1,3,1990-01-01,1991-01-01,1,2,,--,,--
1,7567409a,single parent household,62058e8a,child living at home,1,3,1990-01-01,1991-01-01,1,2,,--,,--
2,7567409a,single parent household,65fbc6a1,child living at home,1,3,1990-01-01,1991-01-01,1,2,,--,,--
0,787d8e6d,single parent household,bbe7343e,parent in single parent household,1,2,1990-01-01,1991-01-01,1,1,,--,,--
1,787d8e6d,single parent household,7cdf5a71,child living at home,1,2,1990-01-01,1991-01-01,1,1,,--,,--
0,f1bd1693,single person household,df16a0df,single person,0,1,1990-01-01,1991-01-01,1,0,,--,,--
0,042aa557,single parent household,c6a4c67e,parent in single parent household,0,3,1990-01-01,1991-01-01,1,2,,--,,--
1,042aa557,single parent household,16f92055,child living at home,0,3,1990-01-01,1991-01-01,1,2,,--,,--
2,042aa557,single parent household,2e738989,child living at home,0,3,1990-01-01,1991-01-01,1,2,,--,,--
0,b55a1feb,couple with children,11590e61,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
1,b55a1feb,couple with children,f531984b,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
2,b55a1feb,couple with children,3d190e9d,child living at home,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
3,b55a1feb,couple with children,7be701c2,child living at home,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
4,b55a1feb,couple with children,13cf5fcd,child living at home,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
0,788e1575,couple without children,6c41c19b,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
1,788e1575,couple without children,4ab62457,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
0,ae909ab2,single person household,99bafd58,single person,0,1,1990-01-01,1991-01-01,1,0,,--,,--
0,f97339d3,single person household,d6a8c905,single person,0,1,1990-01-01,1991-01-01,1,0,,--,,--
0,353a3870,single person household,677fc918,single person,1,1,1990-01-01,1991-01-01,1,0,,--,,--
0,61ca8b48,single parent household,04944dda,parent in single parent household,0,4,1990-01-01,1991-01-01,1,3,,--,,--
1,61ca8b48,single parent household,d1ccc4c3,child living at home,0,4,1990-01-01,1991-01-01,1,3,,--,,--
2,61ca8b48,single parent household,1d4d2171,child living at home,0,4,1990-01-01,1991-01-01,1,3,,--,,--
3,61ca8b48,single parent household,1a55e142,child living at home,0,4,1990-01-01,1991-01-01,1,3,,--,,--
0,687ba355,single parent household,03c6605f,parent in single parent household,1,3,1990-01-01,1991-01-01,1,2,,--,,--
1,687ba355,single parent household,67254760,child living at home,1,3,1990-01-01,1991-01-01,1,2,,--,,--
2,687ba355,single parent household,7b44a300,child living at home,1,3,1990-01-01,1991-01-01,1,2,,--,,--
0,a20bb171,couple with children,f47b6fce,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
1,a20bb171,couple with children,6cce39de,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
2,a20bb171,couple with children,d9b62737,child living at home,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
3,a20bb171,couple with children,ed2760e4,child living at home,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
4,a20bb171,couple with children,a514d4f3,child living at home,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
0,a6356b00,single parent household,0fab8cd4,parent in single parent household,0,4,1990-01-01,1991-01-01,1,3,,--,,--
1,a6356b00,single parent household,1ee23966,child living at home,0,4,1990-01-01,1991-01-01,1,3,,--,,--
2,a6356b00,single parent household,2e4a5aa7,child living at home,0,4,1990-01-01,1991-01-01,1,3,,--,,--
3,a6356b00,single parent household,072ccdc5,child living at home,0,4,1990-01-01,1991-01-01,1,3,,--,,--
0,2da09ba8,single person household,d5eae13d,single person,0,1,1990-01-01,1991-01-01,1,0,,--,,--
0,eebe68ff,couple with children,73714a86,partner in couple with children,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
1,eebe68ff,couple with children,2ba7c873,partner in couple with children,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
2,eebe68ff,couple with children,203f72e6,child living at home,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
3,eebe68ff,couple with children,563983b6,child living at home,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
0,5b428d03,single person household,ba1c5bc0,single person,0,1,1990-01-01,1991-01-01,1,0,,--,,--
0,80bf8a50,single parent household,f7117412,parent in single parent household,1,3,1990-01-01,1991-01-01,1,2,,--,,--
1,80bf8a50,single parent household,9474d614,child living at home,1,3,1990-01-01,1991-01-01,1,2,,--,,--
2,80bf8a50,single parent household,8cd4678b,child living at home,1,3,1990-01-01,1991-01-01,1,2,,--,,--
0,e50eb526,couple without children,504039d3,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
1,e50eb526,couple without children,1c0cf745,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
0,da16f2ab,single parent household,c287df82,parent in single parent household,1,3,1990-01-01,1991-01-01,1,2,,--,,--
1,da16f2ab,single parent household,3ecfc7de,child living at home,1,3,1990-01-01,1991-01-01,1,2,,--,,--
2,da16f2ab,single parent household,f0a19adc,child living at home,1,3,1990-01-01,1991-01-01,1,2,,--,,--
0,0e1d9545,single parent household,9ce02f22,parent in single parent household,0,2,1990-01-01,1991-01-01,1,1,,--,,--
1,0e1d9545,single parent household,0f66bec7,child living at home,0,2,1990-01-01,1991-01-01,1,1,,--,,--
0,189a8f87,couple with children,870e1532,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
1,189a8f87,couple with children,9c292f29,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
2,189a8f87,couple with children,c85b38d8,child living at home,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
3,189a8f87,couple with children,c70f17db,child living at home,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
4,189a8f87,couple with children,201b0565,child living at home,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
0,a579f418,couple without children,94c7184b,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
1,a579f418,couple without children,2ecb427e,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
0,55435dbf,single person household,b45bb496,single person,0,1,1990-01-01,1991-01-01,1,0,,--,,--
0,84cf3aad,single person household,cd698d09,single person,0,1,1990-01-01,1991-01-01,1,0,,--,,--
0,62d1441f,single parent household,fbbcb456,parent in single parent household,1,3,1990-01-01,1991-01-01,1,2,,--,,--
1,62d1441f,single parent household,7ea2119e,child living at home,1,3,1990-01-01,1991-01-01,1,2,,--,,--
2,62d1441f,single parent household,52ba2d04,child living at home,1,3,1990-01-01,1991-01-01,1,2,,--,,--
0,a7ec39ff,couple with children,a5d88020,partner in couple with children,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
1,a7ec39ff,couple with children,4551f63c,partner in couple with children,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
2,a7ec39ff,couple with children,1a42e2e9,child living at home,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
3,a7ec39ff,couple with children,f5126b48,child living at home,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
4,a7ec39ff,couple with children,b31cdcdb,child living at home,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
0,4f087b3d,single person household,e3ee2e3d,single person,1,1,1990-01-01,1991-01-01,1,0,,--,,--
0,7d97b9f0,single parent household,761df28c,parent in single parent household,0,2,1990-01-01,1991-01-01,1,1,,--,,--
1,7d97b9f0,single parent household,0e30c262,child living at home,0,2,1990-01-01,1991-01-01,1,1,,--,,--
0,8c956c29,couple without children,87262451,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
1,8c956c29,couple without children,741b384b,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
0,062e49e9,single person household,2f0335cb,single person,1,1,1990-01-01,1991-01-01,1,0,,--,,--
0,be18f8be,single person household,3021edf4,single person,1,1,1990-01-01,1991-01-01,1,0,,--,,--
0,100e7e07,single person household,ad20a108,single person,0,1,1990-01-01,1991-01-01,1,0,,--,,--
0,759c0a93,couple with children,972eff55,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
1,759c0a93,couple with children,5e610014,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
2,759c0a93,couple with children,28a097ab,child living at home,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
3,759c0a93,couple with children,6c7764d8,child living at home,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
4,759c0a93,couple with children,2707d4e0,child living at home,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
0,bdd0d539,single parent household,21ecd92b,parent in single parent household,0,4,1990-01-01,1991-01-01,1,3,,--,,--
1,bdd0d539,single parent household,d5268abb,child living at home,0,4,1990-01-01,1991-01-01,1,3,,--,,--
2,bdd0d539,single parent household,a89314ac,child living at home,0,4,1990-01-01,1991-01-01,1,3,,--,,--
3,bdd0d539,single parent household,9554b54a,child living at home,0,4,1990-01-01,1991-01-01,1,3,,--,,--
0,7a53a3c6,single person household,c2921c9d,single person,1,1,1990-01-01,1991-01-01,1,0,,--,,--
0,0dc2dd55,couple with children,8d478736,partner in couple with children,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
1,0dc2dd55,couple with children,4d5f864d,partner in couple with children,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
2,0dc2dd55,couple with children,56b25cd7,child living at home,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
3,0dc2dd55,couple with children,b58fe046,child living at home,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
0,ddf33ad3,single person household,934a8721,single person,0,1,1990-01-01,1991-01-01,1,0,,--,,--
0,7bfd8c0c,single parent household,0d302242,parent in single parent household,1,4,1990-01-01,1991-01-01,1,3,,--,,--
1,7bfd8c0c,single parent household,d13d415e,child living at home,1,4,1990-01-01,1991-01-01,1,3,,--,,--
2,7bfd8c0c,single parent household,5d71be0c,child living at home,1,4,1990-01-01,1991-01-01,1,3,,--,,--
3,7bfd8c0c,single parent household,ca9fd164,child living at home,1,4,1990-01-01,1991-01-01,1,3,,--,,--
0,890f5cfe,couple without children,f435ebc1,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
1,890f5cfe,couple without children,d9eda59d,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
0,81dc7733,couple with children,2061558e,partner in couple with children,1,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05
1,81dc7733,couple with children,678c09b8,partner in couple with children,1,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05
2,81dc7733,couple with children,d487548b,child living at home,1,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05
0,1db0cd85,single parent household,99cb489e,parent in single parent household,0,3,1990-01-01,1991-01-01,1,2,,--,,--
1,1db0cd85,single parent household,73f902fd,child living at home,0,3,1990-01-01,1991-01-01,1,2,,--,,--
2,1db0cd85,single parent household,ff6b9882,child living at home,0,3,1990-01-01,1991-01-01,1,2,,--,,--
0,d5d72785,couple without children,841030bd,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
1,d5d72785,couple without children,cf188e9e,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
0,4a40e9d6,couple with children,678a040d,partner in couple with children,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
1,4a40e9d6,couple with children,359722c1,partner in couple with children,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
2,4a40e9d6,couple with children,f069856a,child living at home,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
3,4a40e9d6,couple with children,6fabb65e,child living at home,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
4,4a40e9d6,couple with children,c338ceb1,child living at home,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
0,ed2b6967,couple without children,19fb8f76,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
1,ed2b6967,couple without children,3f4b9328,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
0,eb8f89c0,couple without children,6683d80c,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
1,eb8f89c0,couple without children,20196197,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
0,ff5ebf96,single person household,91a48532,single person,0,1,1990-01-01,1991-01-01,1,0,,--,,--
0,1b10bc97,couple without children,46b505a6,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
1,1b10bc97,couple without children,c8625a2a,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
0,98c789a8,single person household,56f21f55,single person,1,1,1990-01-01,1991-01-01,1,0,,--,,--
0,ea1d5d78,couple with children,8e4c24e7,partner in couple with children,0,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
1,ea1d5d78,couple with children,ce9427ee,partner in couple with children,0,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
2,ea1d5d78,couple with children,d7aa5f87,child living at home,0,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
3,ea1d5d78,couple with children,0cb80b58,child living at home,0,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
0,693f7a41,single parent household,e11d0757,parent in single parent household,0,3,1990-01-01,1991-01-01,1,2,,--,,--
1,693f7a41,single parent household,a065a60e,child living at home,0,3,1990-01-01,1991-01-01,1,2,,--,,--
2,693f7a41,single parent household,d1e4b544,child living at home,0,3,1990-01-01,1991-01-01,1,2,,--,,--
0,6f4cea9d,single person household,2e034bc2,single person,1,1,1990-01-01,1991-01-01,1,0,,--,,--
0,cb8a8b0d,single person household,245acfda,single person,1,1,1990-01-01,1991-01-01,1,0,,--,,--
0,fc4fdd10,couple without children,140ccda3,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
1,fc4fdd10,couple without children,710c492f,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
0,8025da67,single person household,24f5df1e,single person,0,1,1990-01-01,1991-01-01,1,0,,--,,--
0,562da4fb,couple without children,d2e93468,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
1,562da4fb,couple without children,d778175c,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
0,fc09c0ee,single parent household,ac9dc132,parent in single parent household,1,4,1990-01-01,1991-01-01,1,3,,--,,--
1,fc09c0ee,single parent household,1eb88f50,child living at home,1,4,1990-01-01,1991-01-01,1,3,,--,,--
2,fc09c0ee,single parent household,17f5c34f,child living at home,1,4,1990-01-01,1991-01-01,1,3,,--,,--
3,fc09c0ee,single parent household,2c355d86,child living at home,1,4,1990-01-01,1991-01-01,1,3,,--,,--
0,f848da2c,single parent household,6c0cae68,parent in single parent household,1,3,1990-01-01,1991-01-01,1,2,,--,,--
1,f848da2c,single parent household,4332d9a0,child living at home,1,3,1990-01-01,1991-01-01,1,2,,--,,--
2,f848da2c,single parent household,f5925e77,child living at home,1,3,1990-01-01,1991-01-01,1,2,,--,,--
0,cbfb6ab4,single parent household,ed1382a2,parent in single parent household,1,4,1990-01-01,1991-01-01,1,3,,--,,--
1,cbfb6ab4,single parent household,ea0c9001,child living at home,1,4,1990-01-01,1991-01-01,1,3,,--,,--
2,cbfb6ab4,single parent household,79de4813,child living at home,1,4,1990-01-01,1991-01-01,1,3,,--,,--
3,cbfb6ab4,single parent household,81a8ea3b,child living at home,1,4,1990-01-01,1991-01-01,1,3,,--,,--
