rinpersoon,GBAGEBOORTELAND,GBAGESLACHT,GBAGEBOORTELANDMOEDER,GBAGEBOORTELANDVADER,GBAAANTALOUDERSBUITENLAND,GBAHERKOMSTGROEPERING,GBAGENERATIE,GBAGEBOORTEJAAR,GBAGESLACHTMOEDER,GBAGESLACHTVADER,GBAGEBOORTEJAARMOEDER,GBAGEBOORTEJAARVADER,GBAHERKOMSTLAND,GBAGEBOORTELANDNL
015b95f6,NL,1,France,NL,1,Western,2,1968,2,1,1937,1936,NL,1
015ccec2,France,2,NL,NL,0,Western,1,1953,2,1,1916,1921,France,0
015db3b9,NL,2,NL,NL,0,Western,1,1955,2,1,1925,1935,NL,1
01676d27,NL,2,NL,NL,0,Western,0,1997,2,1,1967,1961,NL,1
01799c36,NL,2,NL,France,1,Western,2,1982,2,1,1962,1957,NL,1
017d561c,NL,2,NL,NL,0,Western,0,1996,2,1,1958,1972,NL,1
017f5a1a,NL,1,NL,NL,0,Western,0,1986,2,1,1965,1964,NL,1
01810df3,NL,1,France,NL,1,Western,0,1988,2,1,1949,1959,NL,1
01920b99,NL,2,France,NL,1,Western,0,1984,2,1,1958,1952,NL,1
01a0777a,NL,2,Egypt,NL,1,Western,2,1962,2,1,1932,1923,NL,1
01a8978d,NL,2,NL,NL,0,Western,-,1988,2,1,1963,1958,NL,1
01a9d2a2,NL,1,France,France,2,Western,0,1992,2,1,1953,1954,NL,1
01b0b28d,NL,1,NL,France,1,Western,0,1991,2,1,1969,1958,NL,1
01b2f964,NL,1,NL,NL,0,Western,2,1989,2,1,1968,1950,NL,1
01b3369c,NL,1,NL,Egypt,1,Western,1,1957,2,1,1929,1918,NL,1
01b6a095,NL,2,NL,NL,0,Western,1,1953,2,1,1929,1930,NL,1
01bdf583,NL,2,NL,NL,0,Western,1,1969,2,1,1938,1942,NL,1
01c140b9,NL,1,France,NL,1,Western,1,1962,2,1,1932,1926,NL,1
01ced5f8,NL,1,NL,NL,0,Western,0,1955,1,1,1926,1929,NL,1
01d0122a,NL,2,NL,NL,0,Western,0,1951,2,1,1919,1924,NL,1
01d8885b,NL,1,NL,NL,0,Western,1,1959,2,1,1921,1934,NL,1
01d9b190,NL,1,France,NL,1,Western,2,1980,2,1,1955,1947,NL,1
01dc1103,NL,2,NL,NL,0,Western,0,1970,2,1,1940,1938,NL,1
01e926e9,NL,2,NL,NL,0,Western,0,1989,2,1,1953,1952,NL,1
01f3a85f,NL,2,NL,NL,0,Western,0,1980,2,1,1955,1946,NL,1
01f85951,NL,1,NL,NL,0,Western,1,1997,2,1,1975,1969,NL,1
01fb1bc9,NL,1,NL,France,1,Western,0,1984,2,1,1947,1945,NL,1
01ff6239,NL,1,NL,NL,0,Western,0,1952,2,1,1926,1923,NL,1
020ad9c6,NL,1,NL,NL,0,Western,1,1994,2,1,1957,1971,NL,1
020c0daf,NL,1,France,NL,1,Western,0,1991,2,1,1971,1954,NL,1
020d3429,NL,1,NL,NL,0,Western,1,1997,2,1,1960,1971,NL,1
020d7395,France,2,NL,NL,0,Western,0,1987,2,1,1965,1964,France,0
02117e39,NL,1,NL,NL,0,Western,2,1984,2,-,1945,1963,NL,1
021227ce,NL,1,France,NL,1,Western,1,1988,2,1,1965,1950,NL,1
022825d7,NL,2,NL,NL,0,Western,0,1985,2,1,1956,1956,NL,1
022add7c,France,1,NL,NL,0,Western,1,1987,2,2,1962,1962,France,0
022b769d,NL,1,NL,NL,0,Western,2,1950,2,1,1917,1926,NL,1
022bd910,France,2,NL,NL,0,Western,1,1960,2,1,1930,1937,France,0
0236be40,France,2,NL,NL,0,Western,1,1967,2,1,1946,1940,France,0
023740c0,NL,1,NL,France,1,Western,1,1984,2,1,1959,1957,NL,1
0238dc56,Egypt,2,NL,NL,0,Non-Western,0,1969,2,1,1930,1930,Egypt,0
023dab25,NL,2,NL,NL,0,Western,1,1992,2,1,1954,1954,NL,1
0248a18b,NL,2,NL,NL,0,Western,0,1987,2,1,1964,1956,NL,1
02572f57,NL,2,NL,NL,0,Western,1,1998,2,1,1959,1977,NL,1
025baa36,NL,1,NL,France,1,Western,2,1997,2,1,1977,1965,NL,1
025db723,NL,2,NL,NL,0,Western,0,1989,2,1,1959,1957,NL,1
025ffac1,NL,2,France,NL,1,Western,0,1985,2,1,1952,1965,NL,1
02663063,NL,2,NL,NL,0,Western,1,1957,2,1,1937,1934,NL,1
026f64e8,NL,2,France,NL,1,Western,2,1950,2,1,1915,1921,NL,1
027733f3,NL,1,NL,France,1,Western,0,1989,2,1,1964,1961,NL,1
0283a644,NL,1,NL,NL,0,Western,2,1967,2,1,1937,1938,NL,1
02898702,NL,1,France,NL,1,Western,1,1963,2,1,1931,1934,NL,1
02910c0b,NL,2,NL,NL,0,Western,2,1955,2,1,1918,1923,NL,1
02926335,NL,1,France,France,2,Western,2,1950,2,1,1912,1918,NL,1
02930028,NL,1,NL,NL,0,Western,0,1983,2,1,1944,1945,NL,1
02962570,Egypt,1,NL,NL,0,Non-Western,0,1951,2,1,1914,1922,Egypt,0
02a2643d,NL,1,US,NL,1,Western,2,1988,1,1,1968,1968,NL,1
02a69902,NL,2,NL,France,1,Western,2,1987,2,1,1966,1949,NL,1
02af8852,NL,2,NL,NL,0,Western,2,1987,2,1,1963,1952,NL,1
02b17923,France,2,NL,France,1,Western,1,1951,2,1,1914,1924,France,0
02b19842,NL,2,NL,NL,0,Western,2,1986,2,1,1952,1948,NL,1
02c0c8d3,France,1,NL,NL,0,Western,1,1964,2,1,1933,1925,France,0
02c2dd52,NL,1,NL,France,1,Western,2,1957,2,1,1935,1918,NL,1
02c31eee,NL,2,NL,NL,0,Western,1,1982,2,1,1959,1955,NL,1
02c416bf,France,2,NL,France,1,Western,2,1983,2,1,1957,1959,France,0
02d0e543,NL,1,France,NL,1,Western,0,1963,2,1,1937,1926,NL,1
02d10f01,NL,1,NL,NL,0,Western,1,1953,2,1,1921,1932,NL,1
02defb9e,NL,1,NL,NL,0,Western,1,1998,2,1,1961,1977,NL,1
02df9da5,NL,1,NL,NL,0,Western,2,1997,2,1,1977,1969,NL,1
02e801ea,France,2,NL,Egypt,1,Western,1,1956,2,1,1925,1930,France,0
02f67d0c,NL,-,NL,NL,0,Western,2,1958,2,1,1935,1924,NL,1
02fc2f99,France,1,France,NL,1,Western,0,1963,2,1,1928,1933,France,0
02fd60d3,NL,1,NL,NL,0,Western,2,1995,2,1,1974,1971,NL,1
03041633,NL,2,NL,NL,0,Western,1,1962,2,1,1937,1932,NL,1
031da491,NL,1,NL,NL,0,Western,2,1970,2,1,1937,1934,NL,1
03268c7d,NL,2,France,NL,1,Western,1,1990,2,1,1963,1968,NL,1
032b44c2,NL,2,US,NL,1,Western,1,1952,2,1,1930,1915,NL,1
0339fa57,NL,1,France,France,2,Western,1,1987,2,1,1965,1957,NL,1
0341749a,France,2,NL,NL,0,Western,2,1990,2,1,1952,1967,France,0
0343c98f,NL,2,France,NL,1,Western,0,1991,2,1,1965,1966,NL,1
0346c2f0,NL,2,France,NL,1,Western,1,1964,2,1,1930,1942,NL,1
03484c8f,NL,2,NL,NL,0,Western,0,1968,2,1,1930,1941,NL,1
034e6db9,NL,1,NL,NL,0,Western,0,1952,2,1,1922,1924,NL,1
0357e4b5,NL,1,France,NL,1,Western,2,1987,2,1,1950,1963,NL,1
035d9eeb,NL,2,France,NL,1,Western,1,1991,2,1,1954,1953,NL,1
035efc5f,NL,1,NL,France,1,Western,2,1989,2,1,1953,1959,NL,1
0361a971,NL,1,NL,France,1,Western,2,1987,2,1,1955,1950,NL,1
0369321e,NL,2,NL,NL,0,Western,1,1986,2,1,1950,1950,NL,1
036de1d5,NL,2,NL,NL,0,Western,0,1959,2,1,1923,1934,NL,1
03750a3d,France,2,NL,NL,0,Western,0,1968,2,1,1935,1937,France,0
037e1878,NL,2,NL,NL,0,Western,2,1989,2,1,1963,1956,NL,1
03817f27,France,2,NL,NL,0,Western,0,1986,2,1,1951,1960,France,0
0381c208,NL,2,NL,NL,0,Western,1,1969,2,1,1932,1942,NL,1
03846d18,NL,1,NL,France,1,Western,0,1993,2,1,1966,1956,NL,1
038718c2,NL,2,NL,NL,0,Western,2,1964,2,1,1938,1935,NL,1
038deacd,NL,1,NL,NL,0,Western,0,1967,2,1,1937,1932,NL,1
039169f7,France,1,France,France,2,Western,1,1986,2,1,1966,1956,France,0
03a14f41,NL,2,France,NL,1,Western,2,1987,2,1,1957,1953,NL,1
03a1886a,NL,1,NL,NL,0,Western,0,1962,2,1,1936,1931,NL,1
03a39916,NL,2,NL,NL,0,Western,1,1952,2,1,1919,1920,NL,1
03a88b90,NL,2,NL,NL,0,Western,2,1951,2,1,1923,1918,NL,1
03b211ef,NL,2,NL,NL,0,Western,2,1964,2,1,1930,1937,NL,1
03bbbbc1,NL,1,NL,NL,0,Western,2,1982,2,1,1958,1956,NL,1
03c6e62a,NL,2,NL,NL,0,Western,1,1966,2,1,1941,1932,NL,1
03cb2f1b,NL,1,NL,NL,0,Western,1,1987,2,1,1949,1949,NL,1
03ce2441,NL,2,NL,France,1,Western,2,1953,2,1,1923,1917,NL,1
03d831f8,France,1,Egypt,NL,1,Western,2,1982,2,1,1948,1948,France,0
03dfa6d8,NL,1,NL,France,1,Western,2,1958,2,1,1925,1932,NL,1
03e23996,NL,2,France,NL,1,Western,0,1960,2,1,1929,1926,NL,1
03e4cb63,NL,2,France,NL,1,Western,1,1950,2,1,1921,1928,NL,1
03e75bc9,NL,1,NL,NL,0,Western,1,1995,2,1,1958,1962,NL,1
03e8f4bd,NL,2,NL,NL,0,Western,0,1986,2,1,1955,1957,NL,1
03ea5492,NL,1,France,NL,1,Western,1,1950,2,1,1914,1912,NL,1
03ef5c1c,NL,1,NL,NL,0,Western,1,1951,2,1,1922,1919,NL,1
03f236d9,NL,1,France,NL,1,Western,2,1980,2,1,1959,1954,NL,1
03fb10a7,NL,2,NL,NL,0,Western,1,1970,2,1,1938,1931,NL,1
04017f1c,NL,2,NL,NL,0,Western,1,1966,2,1,1936,1940,NL,1
040c815f,NL,1,NL,France,1,Western,0,1985,2,1,1965,1948,NL,1
04177e68,NL,2,US,NL,1,Western,2,1967,2,1,1947,1941,NL,1
041bb932,NL,2,NL,NL,0,Western,1,1964,2,1,1943,1940,NL,1
041d59df,NL,2,NL,France,1,Western,1,1993,2,1,1962,1959,NL,1
0429fecf,NL,2,NL,NL,0,Western,1,1982,2,1,1960,1948,NL,1
042c04e3,NL,1,NL,France,1,Western,2,1995,2,1,1975,1959,NL,1
042d011d,France,2,NL,France,1,Western,0,1969,2,1,1932,1933,France,0
0430e013,NL,2,France,NL,1,Western,0,1987,2,1,1951,1960,NL,1
04386117,NL,1,NL,NL,0,Western,1,1965,2,1,1927,1927,NL,1
043eae4f,NL,2,US,NL,1,Western,0,1984,2,1,1945,1964,NL,1
0443248d,France,2,NL,NL,0,Western,2,1950,2,1,1928,1928,France,0
0449799c,NL,2,NL,NL,0,Western,1,1968,2,1,1938,1947,NL,1
0449f294,Egypt,2,France,Egypt,2,Non-Western,2,1983,2,1,1961,1950,Egypt,0
045729e5,NL,2,NL,NL,0,Western,2,1968,2,-,1931,1943,NL,1
0464b408,US,1,NL,NL,0,Western,1,1989,-,1,1963,1963,US,0
04657cb5,NL,2,NL,NL,0,Western,1,1981,2,1,1955,1957,NL,1
04736cdb,NL,1,NL,France,1,Western,0,1988,2,1,1967,1961,NL,1
0474914a,France,2,NL,NL,0,Western,0,1962,2,1,1941,1939,France,0
0482b2b2,NL,1,NL,NL,0,Western,0,1981,2,1,1953,1961,NL,1
0483061e,NL,2,NL,Egypt,1,Western,1,1980,2,1,1956,1953,NL,1
048faefc,NL,1,NL,NL,0,Western,2,1960,2,1,1932,1927,NL,1
049c0e38,NL,2,NL,NL,0,Western,1,1986,2,1,1955,1952,NL,1
04a26ead,NL,2,NL,NL,0,Western,0,1964,2,1,1942,1934,NL,1
04b056d0,NL,2,France,NL,1,Western,0,1993,2,1,1964,1964,NL,1
04b38be4,France,2,NL,NL,0,Western,1,1951,2,1,1912,1925,France,0
04b4073e,NL,2,NL,NL,0,Western,0,1982,2,1,1949,1943,NL,1
04b54287,NL,1,NL,NL,0,Western,1,1995,2,1,1975,1964,NL,1
04b65617,NL,1,NL,NL,0,Western,1,1989,2,1,1958,1964,NL,1
04bae7cf,NL,1,NL,NL,0,Western,1,1987,2,1,1960,1951,NL,1
04c10f64,NL,2,France,NL,1,Western,1,1994,2,1,1964,1958,NL,1
04c1a007,NL,2,NL,NL,0,Western,1,1997,2,1,1974,1972,NL,1
04c4e4f2,NL,1,NL,NL,0,Western,1,1962,2,1,1934,1929,NL,1
04c84325,France,2,Egypt,France,2,Western,2,1956,2,1,1924,1919,France,0
04cb408d,NL,2,NL,NL,0,Western,0,1992,2,1,1966,1969,NL,1
04cda025,NL,1,NL,NL,0,Western,2,1988,2,1,1966,1950,NL,1
04d51c6c,NL,1,France,NL,1,Western,0,1967,2,1,1947,1932,NL,1
04de4af0,France,-,NL,France,1,Western,1,1986,2,1,1947,1966,France,0
04e7f5e0,NL,2,NL,NL,0,Western,2,1997,2,1,1973,1966,NL,1
04e8679d,NL,2,NL,NL,0,Western,1,1957,2,1,1929,1922,NL,1
04eafcf2,NL,1,NL,NL,0,Western,1,1963,2,1,1938,1942,NL,1
04eccd54,France,2,NL,NL,0,Western,1,1967,2,1,1936,1938,France,0
04eeaf3f,NL,1,NL,NL,0,Western,1,1962,2,1,1929,1935,NL,1
04f6cb69,NL,1,NL,NL,0,Western,1,1990,2,1,1968,1963,NL,1
04f78169,NL,2,NL,NL,0,Western,0,1966,2,1,1928,1931,NL,1
050c6812,NL,2,NL,NL,0,Western,0,1960,2,1,1935,1933,NL,1
0519f762,France,1,NL,NL,0,Western,1,1986,2,1,1953,1961,France,0
05213752,NL,2,NL,NL,0,Western,1,1982,2,1,1946,1952,NL,1
052543cc,NL,1,NL,NL,0,Western,1,1960,2,1,1935,1921,NL,1
052b8633,NL,2,Egypt,NL,1,Western,1,1986,2,1,1959,1965,NL,1
052bff66,NL,2,NL,NL,0,Western,2,1962,2,1,1934,1924,NL,1
05342226,NL,2,France,NL,1,Western,2,1950,2,1,1912,1914,NL,1
05345c4d,NL,1,NL,NL,0,Western,2,1969,2,1,1936,1944,NL,1
0538c4bf,NL,1,NL,France,1,Western,0,1989,2,1,1959,1952,NL,1
054a478a,NL,1,Egypt,NL,1,Western,2,1980,2,1,1952,1948,NL,1
0553cb8f,NL,1,NL,France,1,Western,0,1980,2,1,1945,1956,NL,1
05590354,NL,2,NL,NL,0,Western,2,1983,2,1,1961,1958,NL,1
055abfee,NL,2,NL,NL,0,Western,2,1961,2,1,1928,1928,NL,1
05609de9,NL,1,NL,NL,0,Western,1,1980,2,1,1960,1956,NL,1
05657662,NL,2,NL,NL,0,Western,1,1951,2,1,1928,1920,NL,1
056e808e,NL,1,NL,NL,0,Western,2,1997,2,1,1962,1959,NL,1
0577fc10,NL,2,NL,NL,0,Western,2,1955,2,1,1931,1935,NL,1
0578ff12,NL,2,France,France,2,Western,1,1983,2,1,1963,1961,NL,1
057ebd79,NL,1,NL,NL,0,Western,0,1985,2,1,1950,1956,NL,1
05810ed9,NL,1,NL,France,1,Western,2,1952,2,1,1932,1928,NL,1
0587bcd9,NL,2,NL,NL,0,Western,1,1952,2,1,1932,1924,NL,1
058daae6,NL,2,NL,NL,0,Western,0,1959,2,1,1936,1932,NL,1
058eccfa,NL,1,US,France,2,Western,1,1953,2,1,1928,1933,NL,1
0591d24e,NL,1,NL,France,1,Western,1,1981,1,-,1942,1955,NL,1
05933049,France,1,NL,NL,0,Western,1,1963,2,1,1937,1929,France,0
05986da3,NL,2,NL,NL,0,Western,0,1961,2,1,1923,1938,NL,1
0598cad6,NL,2,NL,NL,0,Western,2,1996,2,1,1971,1960,NL,1
05a196c8,NL,1,France,NL,1,Western,0,1951,2,1,1923,1924,NL,1
05b270e7,NL,1,NL,NL,0,Western,2,1969,2,1,1936,1934,NL,1
05b9cd82,NL,1,France,NL,1,Western,0,1965,2,1,1941,1933,NL,1
05bf6d14,NL,1,NL,NL,0,Western,2,1994,2,1,1957,1971,NL,1
05c06555,France,2,NL,NL,0,Western,1,1987,2,1,1960,1957,France,0
05c1ebf8,NL,1,NL,NL,0,Western,2,1964,2,1,1939,1935,NL,1
05c72b0c,NL,1,NL,NL,0,Western,1,1964,2,1,1931,1925,NL,1
05c9160a,NL,1,NL,NL,0,Western,1,1967,2,1,1943,1939,NL,1
05d27b8d,NL,1,NL,NL,0,Western,2,1988,2,1,1961,1952,NL,1
05d36d0c,France,1,NL,NL,0,Western,0,1983,2,1,1952,1953,France,0
05d8c034,NL,1,France,NL,1,Western,1,1962,2,1,1930,1928,NL,1
05dd125f,NL,2,France,France,2,Western,0,1986,2,1,1947,1952,NL,1
05e96f3d,NL,2,NL,France,1,Western,0,1962,2,1,1937,1923,NL,1
05eb29b9,NL,2,France,France,2,Western,1,1992,2,1,1968,1956,NL,1
05f11c99,NL,1,NL,France,1,Western,2,1985,2,1,1952,1959,NL,1
05f89b54,NL,1,NL,NL,0,Western,0,1970,2,1,1936,1945,NL,1
05fb0d23,NL,1,NL,NL,0,Western,0,1987,2,1,1960,1953,NL,1
060a3863,NL,2,France,NL,1,Western,1,1957,2,1,1933,1933,NL,1
061a4c3c,NL,1,NL,NL,0,Western,2,1965,2,1,1936,1934,NL,1
06305e44,NL,1,NL,NL,0,Western,2,1967,2,1,1930,1934,NL,1
06350dfb,NL,2,France,NL,1,Western,0,1990,2,1,1968,1961,NL,1
063ccd3a,NL,1,NL,NL,0,Western,0,1966,2,1,1933,1944,NL,1
064e3eea,NL,2,NL,NL,0,Western,1,1989,2,1,1969,1964,NL,1
0654fa63,France,2,France,France,2,Western,0,1985,2,1,1955,1947,France,0
065c6fdb,NL,1,NL,France,1,Western,2,1962,2,1,1925,1924,NL,1
0664c291,NL,1,France,NL,1,Western,0,1966,2,1,1930,1940,NL,1
066d1e29,NL,1,NL,France,1,Western,1,1961,2,1,1934,1930,NL,1
066f94a5,NL,1,NL,NL,0,Western,1,1981,2,1,1951,1956,NL,1
0672aa09,Egypt,2,NL,NL,0,Non-Western,2,1968,2,1,1935,1929,Egypt,0
067389ea,France,2,NL,NL,0,Western,0,1988,2,1,1959,1950,France,0
0681641f,NL,1,NL,NL,0,Western,1,1951,2,1,1916,1913,NL,1
06816a44,NL,1,NL,Egypt,1,Western,1,1956,2,1,1932,1934,NL,1
06817347,NL,1,France,France,2,Western,1,1984,2,1,1951,1961,NL,1
06846277,NL,1,France,France,2,Western,1,1987,2,1,1966,1966,NL,1
0684fd8f,NL,1,NL,NL,0,Western,0,1951,2,1,1924,1916,NL,1
068add8f,NL,2,NL,NL,0,Western,1,1991,2,1,1952,1952,NL,1
068bc0b4,NL,1,NL,NL,0,Western,2,1961,2,1,1924,1934,NL,1
068ea4c2,NL,1,NL,NL,0,Western,0,1962,2,1,1939,1930,NL,1
0698ee4d,NL,2,NL,NL,0,Western,1,1986,2,1,1955,1949,NL,1
069c77a0,NL,1,NL,US,1,Western,2,1960,2,1,1926,1930,NL,1
06a831f7,NL,1,NL,France,1,Western,0,1950,2,1,1928,1921,NL,1
06a8c9de,NL,1,Egypt,NL,1,Western,1,1957,2,1,1932,1920,NL,1
06ac514b,NL,2,NL,NL,0,Western,1,1963,2,1,1925,1930,NL,1
06afd160,NL,2,NL,NL,0,Western,2,1985,2,1,1955,1948,NL,1
06c3f3d7,France,2,NL,NL,0,Western,0,1987,2,1,1966,1951,France,0
06c591f4,NL,2,NL,NL,0,Western,0,1988,2,1,1957,1965,NL,1
06cc3deb,NL,1,NL,NL,0,Western,2,1966,2,1,1937,1945,NL,1
06d63849,Egypt,2,France,NL,1,Non-Western,0,1950,1,1,1920,1913,Egypt,0
06de9f2c,NL,1,NL,France,1,Western,2,1999,2,1,1962,1962,NL,1
06e4bda1,NL,2,NL,NL,0,Western,2,1987,2,1,1966,1960,NL,1
06e56c18,NL,2,France,NL,1,Western,2,1987,2,1,1958,1961,NL,1
06e68b09,NL,1,NL,NL,0,Western,0,1992,2,1,1966,1958,NL,1
06e98f12,US,1,NL,NL,0,Western,2,1982,2,1,1944,1956,US,0
06eec5f7,NL,1,NL,NL,0,Western,2,1966,2,1,1946,1927,NL,1
06f69f16,NL,1,NL,NL,0,Western,1,1982,2,1,1950,1947,NL,1
06fe3b97,US,2,NL,NL,0,Western,2,1985,2,1,1951,1946,US,0
07019b34,NL,2,NL,France,1,Western,2,1970,2,1,1942,1935,NL,1
07069562,NL,1,Egypt,NL,1,Western,1,1994,2,1,1959,1967,NL,1
070c6fd0,NL,1,NL,NL,0,Western,1,1951,2,1,1915,1925,NL,1
0711ed0b,NL,2,NL,NL,0,Western,2,1988,2,1,1968,1958,NL,1
0719aea3,NL,1,NL,NL,0,Western,2,1953,2,1,1927,1918,NL,1
071c29bf,NL,1,NL,France,1,Western,0,1985,2,1,1954,1957,NL,1
071d2fae,Egypt,1,NL,NL,0,Non-Western,1,1985,2,1,1953,1962,Egypt,0
071d61cc,NL,1,NL,NL,0,Western,1,1993,2,1,1967,1961,NL,1
0722acc3,NL,2,NL,NL,0,Western,1,1958,2,1,1921,1936,NL,1
07240a42,NL,2,NL,Egypt,1,Western,2,1985,2,1,1961,1961,NL,1
