rinpersoon,GBAGEBOORTELAND,GBAGESLACHT,GBAGEBOORTELANDMOEDER,GBAGEBOORTELANDVADER,GBAAANTALOUDERSBUITENLAND,GBAHERKOMSTGROEPERING,GBAGENERATIE,GBAGEBOORTEJAAR,GBAGESLACHTMOEDER,GBAGESLACHTVADER,GBAGEBOORTEJAARMOEDER,GBAGEBOORTEJAARVADER,GBAHERKOMSTLAND,GBAGEBOORTELANDNL,birthday
6566547b,NL,1,NL,NL,0,Western,1,1995,2,1,1970,1959,NL,1,1995
65a2e8d1,NL,2,France,NL,1,Western,0,1988,2,1,1968,1964,NL,1,1988
65fbc6a1,NL,1,NL,NL,0,Western,1,1981,2,1,1960,1943,NL,1,1981
6683d80c,NL,2,France,US,2,Western,0,1969,2,1,1946,1941,NL,1,1969
66e9ba2b,NL,-,NL,Egypt,1,Western,0,1961,2,1,1924,1934,NL,1,1961
67254760,NL,2,NL,NL,0,Western,2,1965,2,1,1931,1935,NL,1,1965
677fc918,NL,2,NL,NL,0,Western,0,1968,2,1,1939,1937,NL,1,1968
678a040d,NL,1,NL,NL,0,Western,1,1962,2,1,1937,1942,NL,1,1962
678c09b8,NL,2,France,NL,1,Western,1,1950,2,1,1926,1929,NL,1,1950
683b88f2,NL,1,NL,NL,0,Western,0,1994,2,1,1968,1971,NL,1,1994
6b9bb414,NL,1,NL,NL,0,Western,-,1986,2,1,1957,1954,NL,1,1986
6c0cae68,NL,-,NL,NL,0,Western,0,1967,2,1,1940,1935,NL,1,1967
6c41c19b,NL,2,NL,NL,0,Western,2,1962,2,1,1934,1941,NL,1,1962
6c7764d8,NL,2,NL,NL,0,Western,1,1952,2,1,1916,1932,NL,1,1952
6cce39de,NL,2,NL,France,1,Western,2,1989,2,1,1966,1957,NL,1,1989
6d9cc4bb,NL,2,NL,NL,0,Western,1,1951,2,1,1929,1920,NL,1,1951
6fabb65e,NL,1,NL,NL,0,Western,1,1952,2,1,1913,1924,NL,1,1952
710c492f,NL,2,NL,NL,0,Western,1,1989,2,1,1952,1959,NL,1,1989
71ed4a86,NL,2,NL,NL,0,Western,1,1953,2,1,1930,1914,NL,1,1953
73123b04,NL,2,NL,NL,0,Western,2,1998,2,1,1966,1973,NL,1,1998
73714a86,NL,1,NL,NL,0,Western,1,1970,2,1,1946,1947,NL,1,1970
738e4b52,NL,1,NL,NL,0,Western,2,1996,2,1,1965,1958,NL,1,1996
73f902fd,NL,1,France,NL,1,Western,1,1986,2,1,1960,1950,NL,1,1986
7419b1d5,NL,2,NL,NL,0,Western,2,1994,2,1,1962,1966,NL,1,1994
741b384b,NL,2,NL,NL,0,Western,2,1966,2,1,1936,1937,NL,1,1966
74fdfb73,NL,2,France,NL,1,Western,2,1968,2,1,1943,1930,NL,1,1968
75a3339c,NL,2,NL,NL,0,Western,0,1991,2,1,1966,1965,NL,1,1991
761df28c,NL,2,NL,NL,0,Western,1,1964,2,1,1939,1930,NL,1,1964
77728c3f,NL,1,NL,NL,0,Western,1,1997,2,1,1977,1964,NL,1,1997
77b6a3cb,NL,2,NL,NL,0,Western,0,1996,2,1,1974,1970,NL,1,1996
79de4813,NL,2,Egypt,US,2,Western,1,1991,2,1,1960,1955,NL,1,1991
7ad0c7cb,NL,2,NL,NL,0,Western,1,1999,2,1,1970,1960,NL,1,1999
7b44a300,NL,1,NL,NL,0,Western,1,1954,-,1,1922,1921,NL,1,1954
7be701c2,NL,2,France,NL,1,Western,1,1950,2,1,1912,1925,NL,1,1950
7c903c8b,NL,1,NL,NL,0,Western,0,1988,2,1,1966,1962,NL,1,1988
7cdf5a71,NL,1,NL,NL,0,Western,2,1965,2,1,1942,1928,NL,1,1965
7d668906,NL,1,NL,France,1,Western,0,1996,2,1,1969,1959,NL,1,1996
7ea2119e,NL,2,NL,NL,0,Western,2,1965,2,1,1939,1933,NL,1,1965
803211ef,NL,1,NL,France,1,Western,0,1964,2,1,1943,1930,NL,1,1964
81a8ea3b,NL,1,NL,NL,0,Western,0,1991,2,1,1955,1967,NL,1,1991
83848be9,NL,1,NL,NL,0,Western,2,1981,2,1,1944,1957,NL,1,1981
83d3fd5c,NL,2,NL,France,1,Western,1,1995,2,1,1957,1970,NL,1,1995
841030bd,NL,2,NL,France,1,Western,0,1968,2,1,1943,1936,NL,1,1968
853fe91f,NL,2,NL,NL,0,Western,2,1957,2,1,1922,1932,NL,1,1957
860ec335,NL,1,NL,NL,0,Western,2,1952,2,1,1926,1927,NL,1,1952
870e1532,NL,2,NL,NL,0,Western,1,1980,2,1,1953,1954,NL,1,1980
87262451,NL,1,NL,NL,0,Western,0,1990,2,2,1957,1970,NL,1,1990
88285fb4,NL,2,France,NL,1,Western,2,1981,2,1,1958,1958,NL,1,1981
887cd01c,NL,1,NL,NL,0,Western,0,1960,2,1,1936,1924,NL,1,1960
8cd4678b,NL,2,NL,NL,0,Western,0,1958,2,1,1923,1936,NL,1,1958
8d478736,NL,2,NL,NL,0,Western,1,1963,2,1,1941,1930,NL,1,1963
8e4c24e7,NL,1,NL,NL,0,Western,1,1986,2,1,1947,1949,NL,1,1986
8f260525,NL,1,NL,NL,0,Western,0,1968,2,1,1931,1938,NL,1,1968
8f30630d,NL,1,NL,NL,0,Western,0,1988,2,1,1961,1958,NL,1,1988
90d5c62a,NL,1,US,NL,1,Western,1,1963,2,1,1929,1927,NL,1,1963
916b9948,NL,1,NL,NL,0,Western,0,1982,2,1,1959,1957,NL,1,1982
91a48532,NL,2,NL,NL,0,Western,0,1970,2,1,1942,1932,NL,1,1970
92ad9e37,NL,2,NL,NL,0,Western,1,1967,2,1,1931,1929,NL,1,1967
934a8721,NL,1,NL,NL,0,Western,0,1956,2,-,1933,1931,NL,1,1956
93c3b503,NL,2,NL,NL,0,Western,2,1966,2,1,1928,1943,NL,1,1966
9474d614,NL,2,NL,NL,0,Western,2,1950,2,1,1912,1930,NL,1,1950
94c7184b,NL,1,NL,NL,0,Western,2,1981,2,1,1947,1952,NL,1,1981
9554b54a,NL,2,NL,NL,0,Western,0,1952,2,1,1922,1922,NL,1,1952
9601a3b6,NL,1,NL,NL,0,Western,2,1992,2,1,1971,1954,NL,1,1992
972eff55,NL,1,NL,NL,0,Western,0,1965,2,1,1926,1927,NL,1,1965
98070944,NL,1,NL,NL,0,Western,2,1993,2,1,1966,1963,NL,1,1993
99bafd58,NL,1,NL,NL,0,Western,2,1988,2,1,1964,1966,NL,1,1988
99cb489e,NL,2,NL,NL,0,Western,0,1980,2,1,1950,1954,NL,1,1980
9b083d70,NL,2,NL,Egypt,1,Western,1,1990,2,1,1959,1958,NL,1,1990
9c1c5278,NL,2,NL,NL,0,Western,1,1953,2,1,1915,1920,NL,1,1953
9c292f29,NL,1,NL,NL,0,Western,0,1956,2,1,1928,1934,NL,1,1956
9c7fae3a,NL,2,NL,NL,0,Western,0,1965,2,1,1929,1940,NL,1,1965
9ce02f22,NL,2,NL,NL,0,Western,1,1984,2,1,1953,1960,NL,1,1984
9ddc42d7,NL,1,NL,NL,0,Western,1,1993,2,1,1954,1959,NL,1,1993
9e0c9697,NL,1,France,France,2,Western,2,1980,2,1,1960,1947,NL,1,1980
a065a60e,NL,2,US,NL,1,Western,0,1952,2,1,1927,1924,NL,1,1952
a1e63301,NL,1,France,France,2,Western,1,1958,2,1,1935,1932,NL,1,1958
a4c87342,NL,2,NL,NL,0,Western,0,1992,2,1,1960,1972,NL,1,1992
a514d4f3,NL,1,NL,NL,0,Western,2,1968,2,1,1930,1934,NL,1,1968
a553b7f9,NL,1,NL,NL,0,Western,1,1951,2,1,1921,1912,NL,1,1951
a58f8773,NL,1,NL,NL,0,Western,2,1953,2,1,1916,1918,NL,1,1953
a5d88020,NL,2,NL,NL,0,Western,0,1952,2,1,1922,1930,NL,1,1952
a89314ac,NL,2,NL,Egypt,1,Western,2,1968,2,1,1939,1944,NL,1,1968
a97ae209,NL,1,NL,France,1,Western,2,1950,2,1,1923,1920,NL,1,1950
a9998b37,NL,1,NL,France,1,Western,0,1969,2,1,1937,1949,NL,1,1969
ac8b356f,NL,2,NL,NL,0,Western,2,1997,2,1,1972,1963,NL,1,1997
ac9bbba4,NL,-,NL,NL,0,Western,0,1991,2,2,1954,1958,NL,1,1991
ac9dc132,NL,1,NL,NL,0,Western,1,1985,2,1,1951,1956,NL,1,1985
ad20a108,NL,1,NL,NL,0,Western,2,1954,2,1,1918,1925,NL,1,1954
aed2a2ca,NL,2,NL,France,1,Western,1,1994,2,1,1958,1957,NL,1,1994
af1b4a1b,NL,2,France,NL,1,Western,2,1963,2,1,1932,1930,NL,1,1963
afb1d667,NL,1,NL,NL,0,Western,0,1986,2,1,1966,1957,NL,1,1986
b0a21246,NL,2,NL,NL,0,Western,2,1951,2,1,1915,1912,NL,1,1951
b26b57de,NL,2,NL,NL,0,Western,1,1982,2,1,1962,1955,NL,1,1982
b31cdcdb,NL,1,NL,NL,0,Western,1,1955,2,1,1934,1924,NL,1,1955
b45bb496,NL,1,NL,France,1,Western,0,1990,2,1,1957,1953,NL,1,1990
b57a12e3,NL,2,France,NL,1,Western,0,1994,2,1,1962,1959,NL,1,1994
b58fe046,NL,2,France,NL,1,Western,1,1962,2,1,1929,1936,NL,1,1962
b8432ead,NL,2,NL,NL,0,Western,1,1954,2,2,1917,1932,NL,1,1954
b8b85917,NL,2,France,NL,1,Western,1,1988,2,1,1949,1951,NL,1,1988
b8d0c87e,NL,2,NL,NL,0,Western,1,1991,2,1,1971,1959,NL,1,1991
ba137b3d,NL,1,NL,NL,0,Western,1,1995,2,1,1969,1957,NL,1,1995
ba1c5bc0,NL,1,NL,France,1,Western,1,1986,2,1,1954,1954,NL,1,1986
bbe7343e,NL,1,NL,France,1,Western,2,1965,2,1,1944,1941,NL,1,1965
bc90f08b,NL,1,NL,NL,0,Western,2,1965,2,1,1936,1932,NL,1,1965
be0a58d4,NL,2,NL,France,1,Western,0,1956,2,1,1929,1920,NL,1,1956
befc15c9,NL,2,NL,NL,0,Western,2,1986,2,1,1964,1947,NL,1,1986
c15e4cb4,NL,2,NL,NL,0,Western,1,1966,2,1,1946,1935,NL,1,1966
c198ade7,NL,1,NL,NL,0,Western,0,1996,2,1,1961,1975,NL,1,1996
c287df82,NL,2,NL,NL,0,Western,1,1959,2,1,1929,1939,NL,1,1959
c2921c9d,NL,2,NL,NL,0,Western,0,1954,2,1,1934,1931,NL,1,1954
c2d3fb66,NL,1,NL,NL,0,Western,1,1958,2,1,1930,1921,NL,1,1958
c32be144,NL,1,NL,NL,0,Western,1,1982,2,1,1958,1954,NL,1,1982
c338ceb1,NL,2,NL,France,1,Western,2,1984,2,1,1947,1964,NL,1,1984
c5385471,NL,2,NL,France,1,Western,1,1996,2,1,1975,1967,NL,1,1996
c5fcc4f8,NL,1,NL,NL,0,Western,1,1995,2,1,1958,1960,NL,1,1995
c6a4c67e,NL,1,NL,NL,0,Western,0,1956,-,2,1926,1929,NL,1,1956
c70f17db,NL,1,NL,NL,0,Western,2,1960,2,1,1921,1935,NL,1,1960
c85b38d8,NL,2,NL,NL,0,Western,1,1968,2,1,1948,1945,NL,1,1968
c8625a2a,NL,1,NL,US,1,Western,1,1962,2,1,1940,1925,NL,1,1962
c87c7eb3,NL,1,France,NL,1,Western,0,1956,2,1,1922,1927,NL,1,1956
c8b709bc,NL,1,France,US,2,Western,0,1997,2,1,1961,1975,NL,1,1997
ca5c5e48,NL,2,NL,France,1,Western,1,1961,2,1,1931,1927,NL,1,1961
ca9fd164,NL,2,NL,NL,0,Western,1,1981,2,1,1953,1952,NL,1,1981
caffcfd9,NL,2,NL,NL,0,Western,0,1986,2,1,1955,1952,NL,1,1986
cc497336,NL,2,NL,NL,0,Western,1,1950,2,1,1920,1913,NL,1,1950
cc883317,NL,2,US,NL,1,Western,1,1954,2,1,1929,1931,NL,1,1954
cd698d09,NL,2,NL,NL,0,Western,1,1966,2,-,1927,1945,NL,1,1966
ce9427ee,NL,-,US,NL,1,Western,1,1950,2,1,1920,1912,NL,1,1950
ceb688ab,NL,-,NL,France,1,Western,1,1990,2,1,1954,1956,NL,1,1990
cf188e9e,NL,2,NL,NL,0,Western,2,1962,2,1,1934,1932,NL,1,1962
d13d415e,NL,1,NL,France,1,Western,1,1966,2,1,1940,1935,NL,1,1966
d17ac422,NL,1,NL,NL,0,Western,2,1981,2,1,1947,1957,NL,1,1981
d1ccc4c3,NL,1,NL,NL,0,Western,0,1964,2,1,1938,1927,NL,1,1964
d1e4b544,NL,1,France,NL,1,Western,1,1968,2,1,1948,1948,NL,1,1968
d2e93468,NL,2,NL,NL,0,Western,1,1951,2,1,1924,1929,NL,1,1951
d31bbf1c,NL,2,NL,NL,0,Western,0,1995,2,1,1969,1957,NL,1,1995
d3229821,NL,1,NL,NL,0,Western,1,1991,2,1,1957,1964,NL,1,1991
d35cf72b,NL,1,NL,NL,0,Western,1,1986,2,1,1955,1953,NL,1,1986
d487548b,NL,1,NL,France,1,Western,0,1952,2,1,1926,1914,NL,1,1952
d5268abb,NL,1,NL,NL,0,Western,2,1965,2,1,1942,1939,NL,1,1965
d5bd699f,NL,2,NL,NL,0,Western,0,1952,2,1,1923,1928,NL,1,1952
d5eae13d,NL,1,NL,NL,0,Western,1,1952,2,1,1916,1921,NL,1,1952
d6a8c905,NL,2,NL,NL,0,Western,2,1980,2,1,1956,1942,NL,1,1980
d778175c,NL,1,US,France,2,Western,1,1980,2,1,1949,1945,NL,1,1980
d7aa5f87,NL,2,NL,NL,0,Western,1,1957,2,1,1921,1937,NL,1,1957
d9b62737,NL,2,NL,NL,0,Western,1,1983,2,1,1957,1956,NL,1,1983
d9eda59d,NL,2,NL,NL,0,Western,0,1982,2,1,1944,1952,NL,1,1982
dc72956d,NL,2,NL,NL,0,Western,0,1994,2,1,1958,1972,NL,1,1994
dd318db8,NL,2,NL,NL,0,Western,2,1981,2,1,1947,1957,NL,1,1981
ddd88a26,NL,1,US,NL,1,Western,0,1987,2,1,1949,1967,NL,1,1987
de5b3581,NL,1,NL,NL,0,Western,1,1961,2,1,1930,1929,NL,1,1961
df16a0df,NL,2,NL,France,1,Western,1,1964,2,1,1929,1929,NL,1,1964
e11d0757,NL,1,NL,NL,0,Western,-,1984,2,1,1945,1956,NL,1,1984
e2df154c,NL,2,NL,France,1,Western,2,1993,2,1,1955,1964,NL,1,1993
e3e7553d,NL,2,NL,NL,0,Western,1,1984,2,1,1959,1960,NL,1,1984
e3ee2e3d,NL,2,US,NL,1,Western,1,1961,2,1,1935,1932,NL,1,1961
e9e764db,NL,2,France,NL,1,Western,0,1993,2,1,1963,1957,NL,1,1993
ea0c9001,NL,1,France,NL,1,Western,0,1991,2,1,1969,1965,NL,1,1991
eb1e611e,NL,2,NL,Egypt,1,Western,1,1966,2,1,1938,1944,NL,1,1966
ec2e126b,NL,2,NL,NL,0,Western,0,1962,2,1,1923,1934,NL,1,1962
ecc584e2,NL,2,NL,NL,0,Western,2,1961,2,1,1939,1932,NL,1,1961
ed1382a2,NL,1,NL,NL,0,Western,0,1955,2,1,1919,1918,NL,1,1955
ed2760e4,NL,2,NL,NL,0,Western,2,1982,2,1,1952,1947,NL,1,1982
ed5e0dbb,NL,1,NL,NL,0,Western,1,1996,2,1,1963,1961,NL,1,1996
edecd5f5,NL,1,NL,NL,0,Western,2,1969,2,1,1947,1939,NL,1,1969
ee10e42b,NL,1,NL,NL,0,Western,2,1999,2,1,1979,1979,NL,1,1999
f069856a,NL,2,NL,NL,0,Western,0,1969,2,1,1931,1942,NL,1,1969
f0a19adc,NL,2,NL,NL,0,Western,0,1986,2,1,1966,1948,NL,1,1986
f39962d5,NL,1,NL,NL,0,Western,2,1950,2,1,1929,1926,NL,1,1950
f435ebc1,NL,2,NL,NL,0,Western,2,1958,2,1,1934,1929,NL,1,1958
f47b6fce,NL,2,NL,NL,0,Western,1,1958,2,1,1928,1933,NL,1,1958
f5126b48,NL,1,NL,NL,0,Western,0,1984,2,1,1951,1958,NL,1,1984
f531984b,NL,2,NL,NL,0,Western,2,1982,2,1,1959,1943,NL,1,1982
f5925e77,NL,2,NL,France,1,Western,2,1961,2,1,1924,1922,NL,1,1961
f685e86d,NL,1,France,NL,1,Western,1,1980,2,1,1945,1960,NL,1,1980
f7117412,NL,2,NL,France,1,Western,0,1983,2,1,1949,1961,NL,1,1983
f80f49ed,NL,2,NL,Egypt,1,Western,2,1997,2,1,1971,1970,NL,1,1997
f901aeea,NL,2,France,NL,1,Western,0,1954,2,1,1924,1930,NL,1,1954
f99b413e,NL,2,US,France,2,Western,1,1982,2,1,1951,1955,NL,1,1982
fbbcb456,NL,1,NL,France,1,Western,1,1961,2,1,1938,1935,NL,1,1961
fde16b96,NL,2,France,NL,1,Western,1,1958,2,1,1938,1936,NL,1,1958
ff6b9882,NL,1,NL,NL,0,Western,0,1985,2,1,1964,1961,NL,1,1985
