HOUSEKEEPING_NR,TYPHH,rinpersoon,PLHH,REFPERSOONHH,NUMBERPERSHH,DATE_STIRTHH,DATUMEINDEHH,AANTALOVHH,AANTALKINDHH,EVENT,BIRTHEDYOUNGCHILDHH,GEBMAANDJONGSTEKINDHH,GEBJAAROUDSTEKINDHH,BMAANDOUDSTEKINDHH
1226ed24,couple without children,a1e63301,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05
1226ed24,couple without children,83848be9,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05
c6187a91,single parent household,437acb0e,parent in single parent household,1,3,1990-01-01,1991-01-01,1,2,initiate,,--,,--
c6187a91,single parent household,a9998b37,child living at home,1,3,1990-01-01,1991-01-01,1,2,initiate,,--,,--
c6187a91,single parent household,a58f8773,child living at home,1,3,1990-01-01,1991-01-01,1,2,initiate,,--,,--
e16d39e3,couple with children,fde16b96,partner in couple with children,0,3,1990-01-01,1991-01-01,2,1,initiate,2015.0,01,2010.0,05
e16d39e3,couple with children,65a2e8d1,partner in couple with children,0,3,1990-01-01,1991-01-01,2,1,initiate,2015.0,01,2010.0,05
e16d39e3,couple with children,887cd01c,child living at home,0,3,1990-01-01,1991-01-01,2,1,initiate,2015.0,01,2010.0,05
fd6a5e52,couple with children,20a30672,partner in couple with children,0,3,1990-01-01,1991-01-01,2,1,initiate,2015.0,01,2010.0,05
fd6a5e52,couple with children,af1b4a1b,partner in couple with children,0,3,1990-01-01,1991-01-01,2,1,initiate,2015.0,01,2010.0,05
fd6a5e52,couple with children,2ae09b76,child living at home,0,3,1990-01-01,1991-01-01,2,1,initiate,2015.0,01,2010.0,05
5391eb95,couple without children,8f260525,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05
5391eb95,couple without children,88285fb4,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05
51de5bb7,couple with children,09f7a651,partner in couple with children,1,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
51de5bb7,couple with children,1cefb90b,partner in couple with children,1,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
51de5bb7,couple with children,c87c7eb3,child living at home,1,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
51de5bb7,couple with children,1610981e,child living at home,1,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
51de5bb7,couple with children,37aba74f,child living at home,1,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
a9e34ed8,couple with children,a553b7f9,partner in couple with children,1,4,1990-01-01,1991-01-01,2,2,initiate,2015.0,01,2010.0,05
a9e34ed8,couple with children,ecc584e2,partner in couple with children,1,4,1990-01-01,1991-01-01,2,2,initiate,2015.0,01,2010.0,05
a9e34ed8,couple with children,916b9948,child living at home,1,4,1990-01-01,1991-01-01,2,2,initiate,2015.0,01,2010.0,05
a9e34ed8,couple with children,6d9cc4bb,child living at home,1,4,1990-01-01,1991-01-01,2,2,initiate,2015.0,01,2010.0,05
208bf2ca,single parent household,9c7fae3a,parent in single parent household,0,2,1990-01-01,1991-01-01,1,1,initiate,,--,,--
208bf2ca,single parent household,d35cf72b,child living at home,0,2,1990-01-01,1991-01-01,1,1,initiate,,--,,--
9764e583,single person household,0b2f1798,single person,1,1,1990-01-01,1991-01-01,1,0,initiate,,--,,--
ffa84504,single person household,b0a21246,single person,0,1,1990-01-01,1991-01-01,1,0,initiate,,--,,--
07a30e39,couple without children,17250469,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05
07a30e39,couple without children,ec2e126b,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05
30aed750,single parent household,de5b3581,parent in single parent household,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
30aed750,single parent household,74fdfb73,child living at home,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
30aed750,single parent household,f39962d5,child living at home,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
30aed750,single parent household,34c3bf80,child living at home,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
9cf2a509,single parent household,853fe91f,parent in single parent household,1,2,1990-01-01,1991-01-01,1,1,initiate,,--,,--
9cf2a509,single parent household,02dae9b3,child living at home,1,2,1990-01-01,1991-01-01,1,1,initiate,,--,,--
50a82ac0,single parent household,ceb688ab,parent in single parent household,0,2,1990-01-01,1991-01-01,1,1,initiate,,--,,--
50a82ac0,single parent household,6b9bb414,child living at home,0,2,1990-01-01,1991-01-01,1,1,initiate,,--,,--
bdab68c0,couple with children,803211ef,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
bdab68c0,couple with children,90d5c62a,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
bdab68c0,couple with children,431cea40,child living at home,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
bdab68c0,couple with children,bc90f08b,child living at home,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
bdab68c0,couple with children,9e0c9697,child living at home,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
b3578b16,single person household,38f180e6,single person,0,1,1990-01-01,1991-01-01,1,0,initiate,,--,,--
cf157266,single parent household,8f30630d,parent in single parent household,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
cf157266,single parent household,2bbc5d88,child living at home,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
cf157266,single parent household,befc15c9,child living at home,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
cf157266,single parent household,92ad9e37,child living at home,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
8ac37fe0,couple with children,eb1e611e,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
8ac37fe0,couple with children,f685e86d,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
8ac37fe0,couple with children,1e5842ee,child living at home,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
8ac37fe0,couple with children,247fbc76,child living at home,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
8ac37fe0,couple with children,61243c95,child living at home,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
7d9ef18c,single person household,4f3a8f30,single person,0,1,1990-01-01,1991-01-01,1,0,initiate,,--,,--
f4ae0934,couple without children,ca5c5e48,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05
f4ae0934,couple without children,860ec335,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05
4308ee85,single person household,9b083d70,single person,1,1,1990-01-01,1991-01-01,1,0,initiate,,--,,--
c486e628,couple with children,a97ae209,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
c486e628,couple with children,7c903c8b,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
c486e628,couple with children,93c3b503,child living at home,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
c486e628,couple with children,57c99fa1,child living at home,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
c486e628,couple with children,37490794,child living at home,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
17217684,single person household,f901aeea,single person,1,1,1990-01-01,1991-01-01,1,0,initiate,,--,,--
65b9c242,single parent household,b26b57de,parent in single parent household,1,3,1990-01-01,1991-01-01,1,2,initiate,,--,,--
65b9c242,single parent household,dd318db8,child living at home,1,3,1990-01-01,1991-01-01,1,2,initiate,,--,,--
65b9c242,single parent household,5f2120dd,child living at home,1,3,1990-01-01,1991-01-01,1,2,initiate,,--,,--
fd54ae85,couple without children,edecd5f5,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05
fd54ae85,couple without children,d5bd699f,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05
bcd22a38,single parent household,ddd88a26,parent in single parent household,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
bcd22a38,single parent household,62058e8a,child living at home,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
bcd22a38,single parent household,65fbc6a1,child living at home,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
bcd22a38,single parent household,bbe7343e,child living at home,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
d3ee50da,single person household,7cdf5a71,single person,0,1,1990-01-01,1991-01-01,1,0,initiate,,--,,--
23ef24a3,couple without children,df16a0df,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05
23ef24a3,couple without children,c6a4c67e,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05
e4149f12,single parent household,16f92055,parent in single parent household,1,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
e4149f12,single parent household,2e738989,child living at home,1,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
e4149f12,single parent household,11590e61,child living at home,1,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
e4149f12,single parent household,f531984b,child living at home,1,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
7567409a,couple with children,3d190e9d,partner in couple with children,0,3,1990-01-01,1991-01-01,2,1,initiate,2015.0,01,2010.0,05
7567409a,couple with children,7be701c2,partner in couple with children,0,3,1990-01-01,1991-01-01,2,1,initiate,2015.0,01,2010.0,05
7567409a,couple with children,13cf5fcd,child living at home,0,3,1990-01-01,1991-01-01,2,1,initiate,2015.0,01,2010.0,05
787d8e6d,couple without children,6c41c19b,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05
787d8e6d,couple without children,4ab62457,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05
f1bd1693,single person household,99bafd58,single person,1,1,1990-01-01,1991-01-01,1,0,initiate,,--,,--
042aa557,single person household,d6a8c905,single person,0,1,1990-01-01,1991-01-01,1,0,initiate,,--,,--
b55a1feb,single parent household,677fc918,parent in single parent household,0,3,1990-01-01,1991-01-01,1,2,initiate,,--,,--
b55a1feb,single parent household,04944dda,child living at home,0,3,1990-01-01,1991-01-01,1,2,initiate,,--,,--
b55a1feb,single parent household,d1ccc4c3,child living at home,0,3,1990-01-01,1991-01-01,1,2,initiate,,--,,--
788e1575,single parent household,1d4d2171,parent in single parent household,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
788e1575,single parent household,1a55e142,child living at home,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
788e1575,single parent household,03c6605f,child living at home,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
788e1575,single parent household,67254760,child living at home,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
ae909ab2,couple with children,7b44a300,partner in couple with children,0,4,1990-01-01,1991-01-01,2,2,initiate,2015.0,01,2010.0,05
ae909ab2,couple with children,f47b6fce,partner in couple with children,0,4,1990-01-01,1991-01-01,2,2,initiate,2015.0,01,2010.0,05
ae909ab2,couple with children,6cce39de,child living at home,0,4,1990-01-01,1991-01-01,2,2,initiate,2015.0,01,2010.0,05
ae909ab2,couple with children,d9b62737,child living at home,0,4,1990-01-01,1991-01-01,2,2,initiate,2015.0,01,2010.0,05
f97339d3,couple with children,ed2760e4,partner in couple with children,1,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
f97339d3,couple with children,a514d4f3,partner in couple with children,1,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
f97339d3,couple with children,0fab8cd4,child living at home,1,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
f97339d3,couple with children,1ee23966,child living at home,1,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
f97339d3,couple with children,2e4a5aa7,child living at home,1,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
353a3870,single parent household,072ccdc5,parent in single parent household,1,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
353a3870,single parent household,d5eae13d,child living at home,1,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
353a3870,single parent household,73714a86,child living at home,1,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
353a3870,single parent household,2ba7c873,child living at home,1,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
61ca8b48,single person household,203f72e6,single person,0,1,1990-01-01,1991-01-01,1,0,initiate,,--,,--
687ba355,couple without children,563983b6,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05
687ba355,couple without children,ba1c5bc0,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05
a20bb171,single parent household,f7117412,parent in single parent household,1,3,1990-01-01,1991-01-01,1,2,initiate,,--,,--
a20bb171,single parent household,9474d614,child living at home,1,3,1990-01-01,1991-01-01,1,2,initiate,,--,,--
a20bb171,single parent household,8cd4678b,child living at home,1,3,1990-01-01,1991-01-01,1,2,initiate,,--,,--
a6356b00,couple without children,504039d3,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05
a6356b00,couple without children,1c0cf745,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05
2da09ba8,single parent household,c287df82,parent in single parent household,0,2,1990-01-01,1991-01-01,1,1,initiate,,--,,--
2da09ba8,single parent household,3ecfc7de,child living at home,0,2,1990-01-01,1991-01-01,1,1,initiate,,--,,--
eebe68ff,couple with children,f0a19adc,partner in couple with children,0,3,1990-01-01,1991-01-01,2,1,initiate,2015.0,01,2010.0,05
eebe68ff,couple with children,9ce02f22,partner in couple with children,0,3,1990-01-01,1991-01-01,2,1,initiate,2015.0,01,2010.0,05
eebe68ff,couple with children,0f66bec7,child living at home,0,3,1990-01-01,1991-01-01,2,1,initiate,2015.0,01,2010.0,05
5b428d03,single person household,870e1532,single person,0,1,1990-01-01,1991-01-01,1,0,initiate,,--,,--
80bf8a50,couple with children,9c292f29,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
80bf8a50,couple with children,c85b38d8,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
80bf8a50,couple with children,c70f17db,child living at home,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
80bf8a50,couple with children,201b0565,child living at home,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
80bf8a50,couple with children,94c7184b,child living at home,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
e50eb526,single parent household,2ecb427e,parent in single parent household,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
e50eb526,single parent household,b45bb496,child living at home,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
e50eb526,single parent household,cd698d09,child living at home,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
e50eb526,single parent household,fbbcb456,child living at home,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
da16f2ab,couple with children,7ea2119e,partner in couple with children,1,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
da16f2ab,couple with children,52ba2d04,partner in couple with children,1,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
da16f2ab,couple with children,a5d88020,child living at home,1,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
da16f2ab,couple with children,4551f63c,child living at home,1,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
da16f2ab,couple with children,1a42e2e9,child living at home,1,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
0e1d9545,couple with children,f5126b48,partner in couple with children,0,3,1990-01-01,1991-01-01,2,1,initiate,2015.0,01,2010.0,05
0e1d9545,couple with children,b31cdcdb,partner in couple with children,0,3,1990-01-01,1991-01-01,2,1,initiate,2015.0,01,2010.0,05
0e1d9545,couple with children,e3ee2e3d,child living at home,0,3,1990-01-01,1991-01-01,2,1,initiate,2015.0,01,2010.0,05
189a8f87,couple without children,761df28c,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05
189a8f87,couple without children,0e30c262,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05
a579f418,couple without children,87262451,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05
a579f418,couple without children,741b384b,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05
55435dbf,single parent household,2f0335cb,parent in single parent household,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
55435dbf,single parent household,3021edf4,child living at home,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
55435dbf,single parent household,ad20a108,child living at home,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
55435dbf,single parent household,972eff55,child living at home,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
84cf3aad,couple with children,5e610014,partner in couple with children,1,3,1990-01-01,1991-01-01,2,1,initiate,2015.0,01,2010.0,05
84cf3aad,couple with children,28a097ab,partner in couple with children,1,3,1990-01-01,1991-01-01,2,1,initiate,2015.0,01,2010.0,05
84cf3aad,couple with children,6c7764d8,child living at home,1,3,1990-01-01,1991-01-01,2,1,initiate,2015.0,01,2010.0,05
62d1441f,single person household,2707d4e0,single person,1,1,1990-01-01,1991-01-01,1,0,initiate,,--,,--
a7ec39ff,single parent household,21ecd92b,parent in single parent household,1,2,1990-01-01,1991-01-01,1,1,initiate,,--,,--
a7ec39ff,single parent household,d5268abb,child living at home,1,2,1990-01-01,1991-01-01,1,1,initiate,,--,,--
4f087b3d,couple without children,a89314ac,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05
4f087b3d,couple without children,9554b54a,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05
7d97b9f0,couple with children,c2921c9d,partner in couple with children,0,4,1990-01-01,1991-01-01,2,2,initiate,2015.0,01,2010.0,05
7d97b9f0,couple with children,8d478736,partner in couple with children,0,4,1990-01-01,1991-01-01,2,2,initiate,2015.0,01,2010.0,05
7d97b9f0,couple with children,4d5f864d,child living at home,0,4,1990-01-01,1991-01-01,2,2,initiate,2015.0,01,2010.0,05
7d97b9f0,couple with children,56b25cd7,child living at home,0,4,1990-01-01,1991-01-01,2,2,initiate,2015.0,01,2010.0,05
8c956c29,couple with children,b58fe046,partner in couple with children,1,3,1990-01-01,1991-01-01,2,1,initiate,2015.0,01,2010.0,05
8c956c29,couple with children,934a8721,partner in couple with children,1,3,1990-01-01,1991-01-01,2,1,initiate,2015.0,01,2010.0,05
8c956c29,couple with children,0d302242,child living at home,1,3,1990-01-01,1991-01-01,2,1,initiate,2015.0,01,2010.0,05
062e49e9,single person household,d13d415e,single person,1,1,1990-01-01,1991-01-01,1,0,initiate,,--,,--
be18f8be,single parent household,5d71be0c,parent in single parent household,1,3,1990-01-01,1991-01-01,1,2,initiate,,--,,--
be18f8be,single parent household,ca9fd164,child living at home,1,3,1990-01-01,1991-01-01,1,2,initiate,,--,,--
be18f8be,single parent household,f435ebc1,child living at home,1,3,1990-01-01,1991-01-01,1,2,initiate,,--,,--
100e7e07,single parent household,d9eda59d,parent in single parent household,0,2,1990-01-01,1991-01-01,1,1,initiate,,--,,--
100e7e07,single parent household,2061558e,child living at home,0,2,1990-01-01,1991-01-01,1,1,initiate,,--,,--
759c0a93,single person household,678c09b8,single person,0,1,1990-01-01,1991-01-01,1,0,initiate,,--,,--
bdd0d539,single parent household,d487548b,parent in single parent household,1,2,1990-01-01,1991-01-01,1,1,initiate,,--,,--
bdd0d539,single parent household,99cb489e,child living at home,1,2,1990-01-01,1991-01-01,1,1,initiate,,--,,--
7a53a3c6,single parent household,73f902fd,parent in single parent household,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
7a53a3c6,single parent household,ff6b9882,child living at home,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
7a53a3c6,single parent household,841030bd,child living at home,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
7a53a3c6,single parent household,cf188e9e,child living at home,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
0dc2dd55,single parent household,678a040d,parent in single parent household,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
0dc2dd55,single parent household,359722c1,child living at home,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
0dc2dd55,single parent household,f069856a,child living at home,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
0dc2dd55,single parent household,6fabb65e,child living at home,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
ddf33ad3,couple with children,c338ceb1,partner in couple with children,1,4,1990-01-01,1991-01-01,2,2,initiate,2015.0,01,2010.0,05
ddf33ad3,couple with children,19fb8f76,partner in couple with children,1,4,1990-01-01,1991-01-01,2,2,initiate,2015.0,01,2010.0,05
ddf33ad3,couple with children,3f4b9328,child living at home,1,4,1990-01-01,1991-01-01,2,2,initiate,2015.0,01,2010.0,05
ddf33ad3,couple with children,6683d80c,child living at home,1,4,1990-01-01,1991-01-01,2,2,initiate,2015.0,01,2010.0,05
7bfd8c0c,single parent household,20196197,parent in single parent household,1,3,1990-01-01,1991-01-01,1,2,initiate,,--,,--
7bfd8c0c,single parent household,91a48532,child living at home,1,3,1990-01-01,1991-01-01,1,2,initiate,,--,,--
7bfd8c0c,single parent household,46b505a6,child living at home,1,3,1990-01-01,1991-01-01,1,2,initiate,,--,,--
890f5cfe,single parent household,c8625a2a,parent in single parent household,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
890f5cfe,single parent household,56f21f55,child living at home,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
890f5cfe,single parent household,8e4c24e7,child living at home,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
890f5cfe,single parent household,ce9427ee,child living at home,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
81dc7733,single person household,d7aa5f87,single person,1,1,1990-01-01,1991-01-01,1,0,initiate,,--,,--
1db0cd85,single parent household,0cb80b58,parent in single parent household,1,2,1990-01-01,1991-01-01,1,1,initiate,,--,,--
1db0cd85,single parent household,e11d0757,child living at home,1,2,1990-01-01,1991-01-01,1,1,initiate,,--,,--
d5d72785,single person household,a065a60e,single person,0,1,1990-01-01,1991-01-01,1,0,initiate,,--,,--
4a40e9d6,couple without children,d1e4b544,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05
4a40e9d6,couple without children,2e034bc2,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05
ed2b6967,single parent household,245acfda,parent in single parent household,1,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
ed2b6967,single parent household,140ccda3,child living at home,1,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
ed2b6967,single parent household,710c492f,child living at home,1,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
ed2b6967,single parent household,24f5df1e,child living at home,1,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--
eb8f89c0,single person household,d2e93468,single person,1,1,1990-01-01,1991-01-01,1,0,initiate,,--,,--
ff5ebf96,single parent household,d778175c,parent in single parent household,0,3,1990-01-01,1991-01-01,1,2,initiate,,--,,--
ff5ebf96,single parent household,ac9dc132,child living at home,0,3,1990-01-01,1991-01-01,1,2,initiate,,--,,--
