HOUSEKEEPING_NR,TYPHH,rinpersoon,PLHH,REFPERSOONHH,NUMBERPERSHH,DATE_STIRTHH,DATUMEINDEHH,AANTALOVHH,AANTALKINDHH,BIRTHEDYOUNGCHILDHH,GEBMAANDJONGSTEKINDHH,GEBJAAROUDSTEKINDHH,BMAANDOUDSTEKINDHH
e16d39e3,single person household,c2d3fb66,single person,0,1,1990-01-01,1991-01-01,1,0,,--,,--
fd6a5e52,single person household,120a256a,single person,0,1,1990-01-01,1991-01-01,1,0,,--,,--
5391eb95,single parent household,a1e63301,parent in single parent household,1,2,1990-01-01,1991-01-01,1,1,,--,,--
5391eb95,single parent household,83848be9,child living at home,1,2,1990-01-01,1991-01-01,1,1,,--,,--
51de5bb7,couple without children,437acb0e,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
51de5bb7,couple without children,a9998b37,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
a9e34ed8,single person household,a58f8773,single person,1,1,1990-01-01,1991-01-01,1,0,,--,,--
208bf2ca,single parent household,fde16b96,parent in single parent household,1,2,1990-01-01,1991-01-01,1,1,,--,,--
208bf2ca,single parent household,65a2e8d1,child living at home,1,2,1990-01-01,1991-01-01,1,1,,--,,--
9764e583,single person household,887cd01c,single person,1,1,1990-01-01,1991-01-01,1,0,,--,,--
ffa84504,couple without children,20a30672,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
ffa84504,couple without children,af1b4a1b,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
07a30e39,couple with children,2ae09b76,partner in couple with children,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
07a30e39,couple with children,8f260525,partner in couple with children,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
07a30e39,couple with children,88285fb4,child living at home,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
07a30e39,couple with children,09f7a651,child living at home,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
30aed750,couple without children,1cefb90b,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
30aed750,couple without children,c87c7eb3,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
9cf2a509,single person household,1610981e,single person,1,1,1990-01-01,1991-01-01,1,0,,--,,--
50a82ac0,single person household,37aba74f,single person,1,1,1990-01-01,1991-01-01,1,0,,--,,--
bdab68c0,couple with children,a553b7f9,partner in couple with children,1,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05
bdab68c0,couple with children,ecc584e2,partner in couple with children,1,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05
bdab68c0,couple with children,916b9948,child living at home,1,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05
b3578b16,couple with children,6d9cc4bb,partner in couple with children,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
b3578b16,couple with children,9c7fae3a,partner in couple with children,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
b3578b16,couple with children,d35cf72b,child living at home,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
b3578b16,couple with children,0b2f1798,child living at home,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
cf157266,single parent household,b0a21246,parent in single parent household,1,2,1990-01-01,1991-01-01,1,1,,--,,--
cf157266,single parent household,17250469,child living at home,1,2,1990-01-01,1991-01-01,1,1,,--,,--
8ac37fe0,single person household,ec2e126b,single person,1,1,1990-01-01,1991-01-01,1,0,,--,,--
7d9ef18c,single person household,de5b3581,single person,1,1,1990-01-01,1991-01-01,1,0,,--,,--
f4ae0934,couple with children,74fdfb73,partner in couple with children,0,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05
f4ae0934,couple with children,f39962d5,partner in couple with children,0,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05
f4ae0934,couple with children,34c3bf80,child living at home,0,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05
4308ee85,single parent household,853fe91f,parent in single parent household,0,4,1990-01-01,1991-01-01,1,3,,--,,--
4308ee85,single parent household,02dae9b3,child living at home,0,4,1990-01-01,1991-01-01,1,3,,--,,--
4308ee85,single parent household,ceb688ab,child living at home,0,4,1990-01-01,1991-01-01,1,3,,--,,--
4308ee85,single parent household,6b9bb414,child living at home,0,4,1990-01-01,1991-01-01,1,3,,--,,--
c486e628,couple without children,803211ef,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
c486e628,couple without children,90d5c62a,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
17217684,single person household,431cea40,single person,1,1,1990-01-01,1991-01-01,1,0,,--,,--
65b9c242,single parent household,bc90f08b,parent in single parent household,1,2,1990-01-01,1991-01-01,1,1,,--,,--
65b9c242,single parent household,9e0c9697,child living at home,1,2,1990-01-01,1991-01-01,1,1,,--,,--
fd54ae85,single parent household,38f180e6,parent in single parent household,0,2,1990-01-01,1991-01-01,1,1,,--,,--
fd54ae85,single parent household,8f30630d,child living at home,0,2,1990-01-01,1991-01-01,1,1,,--,,--
bcd22a38,single parent household,2bbc5d88,parent in single parent household,0,2,1990-01-01,1991-01-01,1,1,,--,,--
bcd22a38,single parent household,befc15c9,child living at home,0,2,1990-01-01,1991-01-01,1,1,,--,,--
d3ee50da,couple with children,92ad9e37,partner in couple with children,1,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05
d3ee50da,couple with children,eb1e611e,partner in couple with children,1,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05
d3ee50da,couple with children,f685e86d,child living at home,1,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05
23ef24a3,couple with children,1e5842ee,partner in couple with children,0,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05
23ef24a3,couple with children,247fbc76,partner in couple with children,0,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05
23ef24a3,couple with children,61243c95,child living at home,0,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05
e4149f12,couple without children,4f3a8f30,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
e4149f12,couple without children,ca5c5e48,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
7567409a,single parent household,860ec335,parent in single parent household,1,2,1990-01-01,1991-01-01,1,1,,--,,--
7567409a,single parent household,9b083d70,child living at home,1,2,1990-01-01,1991-01-01,1,1,,--,,--
787d8e6d,single parent household,a97ae209,parent in single parent household,0,2,1990-01-01,1991-01-01,1,1,,--,,--
787d8e6d,single parent household,7c903c8b,child living at home,0,2,1990-01-01,1991-01-01,1,1,,--,,--
f1bd1693,single parent household,93c3b503,parent in single parent household,1,2,1990-01-01,1991-01-01,1,1,,--,,--
f1bd1693,single parent household,57c99fa1,child living at home,1,2,1990-01-01,1991-01-01,1,1,,--,,--
042aa557,couple with children,37490794,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
042aa557,couple with children,f901aeea,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
042aa557,couple with children,b26b57de,child living at home,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
042aa557,couple with children,dd318db8,child living at home,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
042aa557,couple with children,5f2120dd,child living at home,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
b55a1feb,single person household,edecd5f5,single person,0,1,1990-01-01,1991-01-01,1,0,,--,,--
788e1575,single parent household,d5bd699f,parent in single parent household,1,4,1990-01-01,1991-01-01,1,3,,--,,--
788e1575,single parent household,ddd88a26,child living at home,1,4,1990-01-01,1991-01-01,1,3,,--,,--
788e1575,single parent household,62058e8a,child living at home,1,4,1990-01-01,1991-01-01,1,3,,--,,--
788e1575,single parent household,65fbc6a1,child living at home,1,4,1990-01-01,1991-01-01,1,3,,--,,--
ae909ab2,couple without children,bbe7343e,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
ae909ab2,couple without children,7cdf5a71,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
f97339d3,couple without children,df16a0df,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
f97339d3,couple without children,c6a4c67e,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
353a3870,couple without children,16f92055,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
353a3870,couple without children,2e738989,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
61ca8b48,single parent household,11590e61,parent in single parent household,0,3,1990-01-01,1991-01-01,1,2,,--,,--
61ca8b48,single parent household,f531984b,child living at home,0,3,1990-01-01,1991-01-01,1,2,,--,,--
61ca8b48,single parent household,3d190e9d,child living at home,0,3,1990-01-01,1991-01-01,1,2,,--,,--
687ba355,single parent household,7be701c2,parent in single parent household,1,2,1990-01-01,1991-01-01,1,1,,--,,--
687ba355,single parent household,13cf5fcd,child living at home,1,2,1990-01-01,1991-01-01,1,1,,--,,--
a20bb171,single parent household,6c41c19b,parent in single parent household,0,4,1990-01-01,1991-01-01,1,3,,--,,--
a20bb171,single parent household,4ab62457,child living at home,0,4,1990-01-01,1991-01-01,1,3,,--,,--
a20bb171,single parent household,99bafd58,child living at home,0,4,1990-01-01,1991-01-01,1,3,,--,,--
a20bb171,single parent household,d6a8c905,child living at home,0,4,1990-01-01,1991-01-01,1,3,,--,,--
a6356b00,single person household,677fc918,single person,0,1,1990-01-01,1991-01-01,1,0,,--,,--
2da09ba8,couple with children,04944dda,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
2da09ba8,couple with children,d1ccc4c3,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
2da09ba8,couple with children,1d4d2171,child living at home,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
2da09ba8,couple with children,1a55e142,child living at home,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
2da09ba8,couple with children,03c6605f,child living at home,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
eebe68ff,single person household,67254760,single person,0,1,1990-01-01,1991-01-01,1,0,,--,,--
5b428d03,couple with children,7b44a300,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
5b428d03,couple with children,f47b6fce,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
5b428d03,couple with children,6cce39de,child living at home,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
5b428d03,couple with children,d9b62737,child living at home,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
5b428d03,couple with children,ed2760e4,child living at home,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
80bf8a50,couple with children,a514d4f3,partner in couple with children,0,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05
80bf8a50,couple with children,0fab8cd4,partner in couple with children,0,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05
80bf8a50,couple with children,1ee23966,child living at home,0,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05
e50eb526,couple without children,2e4a5aa7,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
e50eb526,couple without children,072ccdc5,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
da16f2ab,single person household,d5eae13d,single person,0,1,1990-01-01,1991-01-01,1,0,,--,,--
0e1d9545,single person household,73714a86,single person,0,1,1990-01-01,1991-01-01,1,0,,--,,--
189a8f87,couple with children,2ba7c873,partner in couple with children,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
189a8f87,couple with children,203f72e6,partner in couple with children,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
189a8f87,couple with children,563983b6,child living at home,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
189a8f87,couple with children,ba1c5bc0,child living at home,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
189a8f87,couple with children,f7117412,child living at home,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
a579f418,couple without children,9474d614,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
a579f418,couple without children,8cd4678b,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
55435dbf,couple without children,504039d3,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
55435dbf,couple without children,1c0cf745,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
84cf3aad,couple with children,c287df82,partner in couple with children,0,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
84cf3aad,couple with children,3ecfc7de,partner in couple with children,0,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
84cf3aad,couple with children,f0a19adc,child living at home,0,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
84cf3aad,couple with children,9ce02f22,child living at home,0,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
62d1441f,single parent household,0f66bec7,parent in single parent household,0,2,1990-01-01,1991-01-01,1,1,,--,,--
62d1441f,single parent household,870e1532,child living at home,0,2,1990-01-01,1991-01-01,1,1,,--,,--
a7ec39ff,couple without children,9c292f29,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
a7ec39ff,couple without children,c85b38d8,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
4f087b3d,couple with children,c70f17db,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
4f087b3d,couple with children,201b0565,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
4f087b3d,couple with children,94c7184b,child living at home,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
4f087b3d,couple with children,2ecb427e,child living at home,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
4f087b3d,couple with children,b45bb496,child living at home,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
7d97b9f0,couple without children,cd698d09,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
7d97b9f0,couple without children,fbbcb456,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
8c956c29,couple without children,7ea2119e,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
8c956c29,couple without children,52ba2d04,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
062e49e9,single parent household,a5d88020,parent in single parent household,1,4,1990-01-01,1991-01-01,1,3,,--,,--
062e49e9,single parent household,4551f63c,child living at home,1,4,1990-01-01,1991-01-01,1,3,,--,,--
062e49e9,single parent household,1a42e2e9,child living at home,1,4,1990-01-01,1991-01-01,1,3,,--,,--
062e49e9,single parent household,f5126b48,child living at home,1,4,1990-01-01,1991-01-01,1,3,,--,,--
be18f8be,couple without children,b31cdcdb,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
be18f8be,couple without children,e3ee2e3d,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
100e7e07,single parent household,761df28c,parent in single parent household,0,3,1990-01-01,1991-01-01,1,2,,--,,--
100e7e07,single parent household,0e30c262,child living at home,0,3,1990-01-01,1991-01-01,1,2,,--,,--
100e7e07,single parent household,87262451,child living at home,0,3,1990-01-01,1991-01-01,1,2,,--,,--
759c0a93,couple without children,741b384b,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
759c0a93,couple without children,2f0335cb,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
bdd0d539,single person household,3021edf4,single person,0,1,1990-01-01,1991-01-01,1,0,,--,,--
7a53a3c6,single person household,ad20a108,single person,0,1,1990-01-01,1991-01-01,1,0,,--,,--
0dc2dd55,couple without children,972eff55,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
0dc2dd55,couple without children,5e610014,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
ddf33ad3,single person household,28a097ab,single person,1,1,1990-01-01,1991-01-01,1,0,,--,,--
7bfd8c0c,single parent household,6c7764d8,parent in single parent household,0,3,1990-01-01,1991-01-01,1,2,,--,,--
7bfd8c0c,single parent household,2707d4e0,child living at home,0,3,1990-01-01,1991-01-01,1,2,,--,,--
7bfd8c0c,single parent household,21ecd92b,child living at home,0,3,1990-01-01,1991-01-01,1,2,,--,,--
890f5cfe,single person household,d5268abb,single person,0,1,1990-01-01,1991-01-01,1,0,,--,,--
81dc7733,couple without children,a89314ac,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
81dc7733,couple without children,9554b54a,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
1db0cd85,couple with children,c2921c9d,partner in couple with children,1,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05
1db0cd85,couple with children,8d478736,partner in couple with children,1,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05
1db0cd85,couple with children,4d5f864d,child living at home,1,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05
d5d72785,single person household,56b25cd7,single person,1,1,1990-01-01,1991-01-01,1,0,,--,,--
4a40e9d6,couple without children,b58fe046,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
4a40e9d6,couple without children,934a8721,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
ed2b6967,couple with children,0d302242,partner in couple with children,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
ed2b6967,couple with children,d13d415e,partner in couple with children,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
ed2b6967,couple with children,5d71be0c,child living at home,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
ed2b6967,couple with children,ca9fd164,child living at home,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
eb8f89c0,single parent household,f435ebc1,parent in single parent household,1,3,1990-01-01,1991-01-01,1,2,,--,,--
eb8f89c0,single parent household,d9eda59d,child living at home,1,3,1990-01-01,1991-01-01,1,2,,--,,--
eb8f89c0,single parent household,2061558e,child living at home,1,3,1990-01-01,1991-01-01,1,2,,--,,--
ff5ebf96,couple with children,678c09b8,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
ff5ebf96,couple with children,d487548b,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
ff5ebf96,couple with children,99cb489e,child living at home,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
ff5ebf96,couple with children,73f902fd,child living at home,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
ff5ebf96,couple with children,ff6b9882,child living at home,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
1b10bc97,single person household,841030bd,single person,1,1,1990-01-01,1991-01-01,1,0,,--,,--
98c789a8,single person household,cf188e9e,single person,0,1,1990-01-01,1991-01-01,1,0,,--,,--
ea1d5d78,single person household,678a040d,single person,1,1,1990-01-01,1991-01-01,1,0,,--,,--
693f7a41,couple without children,359722c1,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
693f7a41,couple without children,f069856a,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
6f4cea9d,single parent household,6fabb65e,parent in single parent household,0,3,1990-01-01,1991-01-01,1,2,,--,,--
6f4cea9d,single parent household,c338ceb1,child living at home,0,3,1990-01-01,1991-01-01,1,2,,--,,--
6f4cea9d,single parent household,19fb8f76,child living at home,0,3,1990-01-01,1991-01-01,1,2,,--,,--
cb8a8b0d,couple with children,3f4b9328,partner in couple with children,0,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05
cb8a8b0d,couple with children,6683d80c,partner in couple with children,0,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05
cb8a8b0d,couple with children,20196197,child living at home,0,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05
fc4fdd10,couple without children,91a48532,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
fc4fdd10,couple without children,46b505a6,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
8025da67,single parent household,c8625a2a,parent in single parent household,1,3,1990-01-01,1991-01-01,1,2,,--,,--
8025da67,single parent household,56f21f55,child living at home,1,3,1990-01-01,1991-01-01,1,2,,--,,--
8025da67,single parent household,8e4c24e7,child living at home,1,3,1990-01-01,1991-01-01,1,2,,--,,--
562da4fb,couple with children,ce9427ee,partner in couple with children,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
562da4fb,couple with children,d7aa5f87,partner in couple with children,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
562da4fb,couple with children,0cb80b58,child living at home,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
562da4fb,couple with children,e11d0757,child living at home,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
fc09c0ee,couple with children,a065a60e,partner in couple with children,1,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05
fc09c0ee,couple with children,d1e4b544,partner in couple with children,1,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05
fc09c0ee,couple with children,2e034bc2,child living at home,1,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05
f848da2c,single parent household,245acfda,parent in single parent household,1,4,1990-01-01,1991-01-01,1,3,,--,,--
f848da2c,single parent household,140ccda3,child living at home,1,4,1990-01-01,1991-01-01,1,3,,--,,--
f848da2c,single parent household,710c492f,child living at home,1,4,1990-01-01,1991-01-01,1,3,,--,,--
f848da2c,single parent household,24f5df1e,child living at home,1,4,1990-01-01,1991-01-01,1,3,,--,,--
cbfb6ab4,single parent household,d2e93468,parent in single parent household,0,4,1990-01-01,1991-01-01,1,3,,--,,--
cbfb6ab4,single parent household,d778175c,child living at home,0,4,1990-01-01,1991-01-01,1,3,,--,,--
cbfb6ab4,single parent household,ac9dc132,child living at home,0,4,1990-01-01,1991-01-01,1,3,,--,,--
cbfb6ab4,single parent household,1eb88f50,child living at home,0,4,1990-01-01,1991-01-01,1,3,,--,,--
2161b400,single person household,17f5c34f,single person,0,1,1990-01-01,1991-01-01,1,0,,--,,--
84e317f0,couple without children,2c355d86,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
84e317f0,couple without children,6c0cae68,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
8221a77b,couple without children,4332d9a0,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
8221a77b,couple without children,f5925e77,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
a9bbfbdb,single person household,ed1382a2,single person,0,1,1990-01-01,1991-01-01,1,0,,--,,--
d51322ef,couple without children,71ed4a86,partner in couple without children,0,2,1991-01-01,1992-01-01,2,0,2015.0,01,2010.0,05
d51322ef,couple without children,2ed687a6,partner in couple without children,0,2,1991-01-01,1992-01-01,2,0,2015.0,01,2010.0,05
5e5f17bb,single parent household,cc883317,parent in single parent household,0,2,1991-01-01,1992-01-01,1,1,,--,,--
5e5f17bb,single parent household,b8b85917,child living at home,0,2,1991-01-01,1992-01-01,1,1,,--,,--
3a7629b9,single person household,cc497336,single person,0,1,1991-01-01,1992-01-01,1,0,,--,,--
ec41be7d,single parent household,63d409b8,parent in single parent household,0,3,1991-01-01,1992-01-01,1,2,,--,,--
ec41be7d,single parent household,55a4503d,child living at home,0,3,1991-01-01,1992-01-01,1,2,,--,,--
