rinpersoon,education_level,GBAGEBOORTEJAAR,OPLNIVSOI2016AGG4HBMETNIRWO,OPLNIVSOI2016AGG4HGMETNIRWO,RICHTdetailISCEDF2013HBmetNIRWO,RICHTdetailISCEDF2013HGmetNIRWO,OPLNIVSOI2021AGG4HBmetNIRWO,OPLNIVSOI2021AGG4HGmetNIRWO,RICHTSOI2021SCEDF2013HBNIRWO,RICHTSOI2021SCEDF2013HGNIRWO,year
9d33fc52,3.0,1982,-,-,-,-,-,-,-,-,2010
9dd3be58,14.0,1950,-,-,-,-,-,-,-,-,2010
9d332014,6.0,1950,-,-,-,-,-,-,-,-,2010
9d2c0021,3.0,1956,-,-,-,-,-,-,-,-,2010
9c81de5e,5.0,1954,-,-,-,-,-,-,-,-,2010
9c885950,6.0,1983,-,-,-,-,-,-,-,-,2010
9c887746,1.0,1961,-,-,-,-,-,-,-,-,2010
9c9be588,10.0,1958,-,-,-,-,-,-,-,-,2010
9ca00c6c,17.0,1968,-,-,-,-,-,-,-,-,2010
9ca1b9c7,1.0,1970,-,-,-,-,-,-,-,-,2010
9cabac78,12.0,1984,-,-,-,-,-,-,-,-,2010
9cac1606,9.0,1961,-,-,-,-,-,-,-,-,2010
9cb1c987,17.0,1988,-,-,-,-,-,-,-,-,2010
9cc3a4fd,12.0,1989,-,-,-,-,-,-,-,-,2010
9cc70824,6.0,1951,-,-,-,-,-,-,-,-,2010
9cd3cd07,10.0,1954,-,-,-,-,-,-,-,-,2010
9ce3a1cd,10.0,1988,-,-,-,-,-,-,-,-,2010
9ce94e5c,2.0,1958,-,-,-,-,-,-,-,-,2010
9cea9162,17.0,1990,-,-,-,-,-,-,-,-,2010
9cfb5292,14.0,1989,-,-,-,-,-,-,-,-,2010
9cff2e3e,13.0,1953,-,-,-,-,-,-,-,-,2010
9d013ea1,13.0,1990,-,-,-,-,-,-,-,-,2010
9d04db06,15.0,1970,-,-,-,-,-,-,-,-,2010
9d0bb7b5,16.0,1985,-,-,-,-,-,-,-,-,2010
9d0fd279,9.0,1982,-,-,-,-,-,-,-,-,2010
9d11db7d,1.0,1962,-,-,-,-,-,-,-,-,2010
9d14746d,16.0,1952,-,-,-,-,-,-,-,-,2010
9d2ffa27,4.0,1986,-,-,-,-,-,-,-,-,2010
9dd821b2,11.0,1961,-,-,-,-,-,-,-,-,2010
9ddadeb9,7.0,1953,-,-,-,-,-,-,-,-,2010
9ddd13fe,3.0,1967,-,-,-,-,-,-,-,-,2010
9e498659,16.0,1970,-,-,-,-,-,-,-,-,2010
9e4a6515,10.0,1961,-,-,-,-,-,-,-,-,2010
9e4b2403,6.0,1970,-,-,-,-,-,-,-,-,2010
9e4b8fbe,7.0,1995,-,-,-,-,-,-,-,-,2010
9e4feb3f,17.0,1954,-,-,-,-,-,-,-,-,2010
9e506632,9.0,1967,-,-,-,-,-,-,-,-,2010
9e5ed2e5,16.0,1950,-,-,-,-,-,-,-,-,2010
9e6240cc,15.0,1950,-,-,-,-,-,-,-,-,2010
9e67b743,10.0,1994,-,-,-,-,-,-,-,-,2010
9e68042b,15.0,1999,-,-,-,-,-,-,-,-,2010
9e68c897,6.0,1988,-,-,-,-,-,-,-,-,2010
9e6b2c5d,3.0,1957,-,-,-,-,-,-,-,-,2010
9e6baaeb,13.0,1984,-,-,-,-,-,-,-,-,2010
9e6cf9b3,5.0,1951,-,-,-,-,-,-,-,-,2010
9e71dce6,2.0,1955,-,-,-,-,-,-,-,-,2010
9e732131,1.0,1984,-,-,-,-,-,-,-,-,2010
9e750aad,11.0,1999,-,-,-,-,-,-,-,-,2010
9e76d227,5.0,1989,-,-,-,-,-,-,-,-,2010
9e77e0f6,3.0,1992,-,-,-,-,-,-,-,-,2010
9e79834a,3.0,1968,-,-,-,-,-,-,-,-,2010
9e7dcd66,16.0,1999,-,-,-,-,-,-,-,-,2010
9e8af916,9.0,1957,-,-,-,-,-,-,-,-,2010
9e8fc8b7,1.0,1988,-,-,-,-,-,-,-,-,2010
9e44bebb,12.0,1980,-,-,-,-,-,-,-,-,2010
9e3fbf0e,16.0,1992,-,-,-,-,-,-,-,-,2010
9e3dfe51,8.0,1981,-,-,-,-,-,-,-,-,2010
9e388cb6,11.0,1985,-,-,-,-,-,-,-,-,2010
9ddfb3a5,1.0,1967,-,-,-,-,-,-,-,-,2010
9de346e6,16.0,1952,-,-,-,-,-,-,-,-,2010
9de37aac,1.0,1961,-,-,-,-,-,-,-,-,2010
9de48ee3,9.0,1967,-,-,-,-,-,-,-,-,2010
9de89938,13.0,1964,-,-,-,-,-,-,-,-,2010
9de9a09d,1.0,1953,-,-,-,-,-,-,-,-,2010
9def672c,17.0,1950,-,-,-,-,-,-,-,-,2010
9df15f0e,3.0,1959,-,-,-,-,-,-,-,-,2010
9df3b7f8,8.0,1999,-,-,-,-,-,-,-,-,2010
9df52504,1.0,1981,-,-,-,-,-,-,-,-,2010
9df6816a,6.0,1952,-,-,-,-,-,-,-,-,2010
9c7a1d34,2.0,1993,-,-,-,-,-,-,-,-,2010
9df9d4ff,3.0,1958,-,-,-,-,-,-,-,-,2010
9e02211d,17.0,1959,-,-,-,-,-,-,-,-,2010
9e082512,3.0,1955,-,-,-,-,-,-,-,-,2010
9e0d8edc,14.0,1983,-,-,-,-,-,-,-,-,2010
9e0f28f4,3.0,1994,-,-,-,-,-,-,-,-,2010
9e0fa022,10.0,1991,-,-,-,-,-,-,-,-,2010
9e1851b1,7.0,1983,-,-,-,-,-,-,-,-,2010
9e19884e,13.0,1961,-,-,-,-,-,-,-,-,2010
9e1a652a,9.0,1950,-,-,-,-,-,-,-,-,2010
9e2f40c2,6.0,1995,-,-,-,-,-,-,-,-,2010
9e31c4f4,12.0,1994,-,-,-,-,-,-,-,-,2010
9e33839d,1.0,1992,-,-,-,-,-,-,-,-,2010
9dfe5e63,17.0,1990,-,-,-,-,-,-,-,-,2010
9c7000c6,5.0,1957,-,-,-,-,-,-,-,-,2010
9c6d98e5,8.0,1999,-,-,-,-,-,-,-,-,2010
9c6c2e02,7.0,1987,-,-,-,-,-,-,-,-,2010
9adff806,2.0,1966,-,-,-,-,-,-,-,-,2010
9ae1b0ea,16.0,1988,-,-,-,-,-,-,-,-,2010
9ae6aa27,10.0,1995,-,-,-,-,-,-,-,-,2010
9aed3116,3.0,1951,-,-,-,-,-,-,-,-,2010
9af783a2,11.0,1969,-,-,-,-,-,-,-,-,2010
9afb4d8f,13.0,1985,-,-,-,-,-,-,-,-,2010
9afd764b,16.0,1962,-,-,-,-,-,-,-,-,2010
9b00810a,3.0,1955,-,-,-,-,-,-,-,-,2010
9b05a133,2.0,1967,-,-,-,-,-,-,-,-,2010
9b05f416,8.0,1994,-,-,-,-,-,-,-,-,2010
9b0be4ef,2.0,1956,-,-,-,-,-,-,-,-,2010
9b11f66f,5.0,1960,-,-,-,-,-,-,-,-,2010
9b163b5d,7.0,1992,-,-,-,-,-,-,-,-,2010
9b19b7e0,6.0,1960,-,-,-,-,-,-,-,-,2010
9b1d3230,7.0,1960,-,-,-,-,-,-,-,-,2010
9b1ef3a6,8.0,1992,-,-,-,-,-,-,-,-,2010
9b2f17bb,2.0,1956,-,-,-,-,-,-,-,-,2010
9b461fc1,11.0,1970,-,-,-,-,-,-,-,-,2010
9b4e9f28,10.0,1964,-,-,-,-,-,-,-,-,2010
9b57fb2f,16.0,1955,-,-,-,-,-,-,-,-,2010
9b5e5db7,2.0,1984,-,-,-,-,-,-,-,-,2010
9b5fb09f,4.0,1965,-,-,-,-,-,-,-,-,2010
9b657412,4.0,1988,-,-,-,-,-,-,-,-,2010
9ade29d6,5.0,1970,-,-,-,-,-,-,-,-,2010
9adcc9d9,5.0,1995,-,-,-,-,-,-,-,-,2010
9adbfa34,17.0,1999,-,-,-,-,-,-,-,-,2010
9ad9d64a,2.0,1999,-,-,-,-,-,-,-,-,2010
9a700e09,5.0,1960,-,-,-,-,-,-,-,-,2010
9a7ab1e3,7.0,1968,-,-,-,-,-,-,-,-,2010
9a7ac59b,1.0,1982,-,-,-,-,-,-,-,-,2010
9a7b7d35,5.0,1996,-,-,-,-,-,-,-,-,2010
9a801384,12.0,1960,-,-,-,-,-,-,-,-,2010
9a879b75,12.0,1967,-,-,-,-,-,-,-,-,2010
9a88d571,3.0,1981,-,-,-,-,-,-,-,-,2010
9a8becae,6.0,1963,-,-,-,-,-,-,-,-,2010
9a909f00,8.0,1957,-,-,-,-,-,-,-,-,2010
9a917e99,10.0,1989,-,-,-,-,-,-,-,-,2010
9a97c476,11.0,1968,-,-,-,-,-,-,-,-,2010
9b66fb4b,16.0,1982,-,-,-,-,-,-,-,-,2010
9a9a2f65,9.0,1959,-,-,-,-,-,-,-,-,2010
9aa0c968,3.0,1982,-,-,-,-,-,-,-,-,2010
9aa46b8b,4.0,1996,-,-,-,-,-,-,-,-,2010
9aa4ce8f,10.0,1957,-,-,-,-,-,-,-,-,2010
9aae7296,11.0,1953,-,-,-,-,-,-,-,-,2010
9ab0f1cb,17.0,1958,-,-,-,-,-,-,-,-,2010
9ab2a08e,10.0,1992,-,-,-,-,-,-,-,-,2010
9ab92d6c,17.0,1969,-,-,-,-,-,-,-,-,2010
9acc48f5,10.0,1997,-,-,-,-,-,-,-,-,2010
9acf7ffc,11.0,1970,-,-,-,-,-,-,-,-,2010
9ad4033e,8.0,1969,-,-,-,-,-,-,-,-,2010
9ad87d4f,8.0,1993,-,-,-,-,-,-,-,-,2010
9a9e6172,8.0,1954,-,-,-,-,-,-,-,-,2010
9e90c05a,14.0,1970,-,-,-,-,-,-,-,-,2010
9b684778,5.0,1961,-,-,-,-,-,-,-,-,2010
9b6a8966,1.0,1982,-,-,-,-,-,-,-,-,2010
9c076985,1.0,1991,-,-,-,-,-,-,-,-,2010
9c0c551d,14.0,1954,-,-,-,-,-,-,-,-,2010
9c0c6a72,2.0,1985,-,-,-,-,-,-,-,-,2010
9c0c8271,16.0,1954,-,-,-,-,-,-,-,-,2010
9c0d0bae,10.0,1957,-,-,-,-,-,-,-,-,2010
9c108d75,2.0,1961,-,-,-,-,-,-,-,-,2010
9c1d779f,1.0,1995,-,-,-,-,-,-,-,-,2010
9c20a559,15.0,1997,-,-,-,-,-,-,-,-,2010
9c20b8d2,13.0,1969,-,-,-,-,-,-,-,-,2010
9c2f2923,2.0,1998,-,-,-,-,-,-,-,-,2010
9c39607d,17.0,1963,-,-,-,-,-,-,-,-,2010
9c3b6019,12.0,1960,-,-,-,-,-,-,-,-,2010
9c3c6f0f,8.0,1963,-,-,-,-,-,-,-,-,2010
9c3d014c,6.0,1965,-,-,-,-,-,-,-,-,2010
9c43461b,9.0,1968,-,-,-,-,-,-,-,-,2010
9c471a51,7.0,1987,-,-,-,-,-,-,-,-,2010
9c47d7ba,3.0,1961,-,-,-,-,-,-,-,-,2010
9c50db39,12.0,1985,-,-,-,-,-,-,-,-,2010
9c51e9c9,3.0,1962,-,-,-,-,-,-,-,-,2010
9c540f02,14.0,1967,-,-,-,-,-,-,-,-,2010
9c59b430,12.0,1995,-,-,-,-,-,-,-,-,2010
9c61c989,12.0,1991,-,-,-,-,-,-,-,-,2010
9c694baa,12.0,1982,-,-,-,-,-,-,-,-,2010
9bf5cf92,14.0,1987,-,-,-,-,-,-,-,-,2010
9bf52296,12.0,1955,-,-,-,-,-,-,-,-,2010
9bf3a1e3,16.0,1964,-,-,-,-,-,-,-,-,2010
9bee0ea3,15.0,1984,-,-,-,-,-,-,-,-,2010
9b6e61cd,13.0,1985,-,-,-,-,-,-,-,-,2010
9b704d36,7.0,1967,-,-,-,-,-,-,-,-,2010
9b7682a8,2.0,1964,-,-,-,-,-,-,-,-,2010
9b7e6d13,1.0,1958,-,-,-,-,-,-,-,-,2010
9b82535c,8.0,1951,-,-,-,-,-,-,-,-,2010
9b84006c,1.0,1994,-,-,-,-,-,-,-,-,2010
9b8b131c,10.0,1990,-,-,-,-,-,-,-,-,2010
9b8bc468,16.0,1981,-,-,-,-,-,-,-,-,2010
9b92d7b2,16.0,1984,-,-,-,-,-,-,-,-,2010
9b95074d,1.0,1991,-,-,-,-,-,-,-,-,2010
9b9863ea,17.0,1969,-,-,-,-,-,-,-,-,2010
9b697889,14.0,1996,-,-,-,-,-,-,-,-,2010
9b9970c7,2.0,1957,-,-,-,-,-,-,-,-,2010
9bb4f946,15.0,1989,-,-,-,-,-,-,-,-,2010
9bb5de72,9.0,1997,-,-,-,-,-,-,-,-,2010
9bb98673,13.0,1999,-,-,-,-,-,-,-,-,2010
9bbb9c0b,4.0,1991,-,-,-,-,-,-,-,-,2010
9bbc9e18,12.0,1960,-,-,-,-,-,-,-,-,2010
9bc10f20,6.0,1962,-,-,-,-,-,-,-,-,2010
9bc397fd,9.0,1966,-,-,-,-,-,-,-,-,2010
9bc5a583,2.0,1991,-,-,-,-,-,-,-,-,2010
9bdb9aa2,11.0,1955,-,-,-,-,-,-,-,-,2010
9be553e3,9.0,1961,-,-,-,-,-,-,-,-,2010
9bed6933,3.0,1967,-,-,-,-,-,-,-,-,2010
9ba80ae4,17.0,1989,-,-,-,-,-,-,-,-,2010
9a6c2049,6.0,1987,-,-,-,-,-,-,-,-,2010
9e9137b3,8.0,1987,-,-,-,-,-,-,-,-,2010
9e9cc0ce,8.0,1961,-,-,-,-,-,-,-,-,2010
a13b4df5,13.0,1961,-,-,-,-,-,-,-,-,2010
a13ea5d0,9.0,1994,-,-,-,-,-,-,-,-,2010
a14b4431,8.0,1999,-,-,-,-,-,-,-,-,2010
a151f3b1,9.0,1996,-,-,-,-,-,-,-,-,2010
a1587ac2,14.0,1994,-,-,-,-,-,-,-,-,2010
a15b3fbe,10.0,1989,-,-,-,-,-,-,-,-,2010
a16249cb,9.0,1983,-,-,-,-,-,-,-,-,2010
a16b1009,8.0,1958,-,-,-,-,-,-,-,-,2010
a16fd47f,7.0,1959,-,-,-,-,-,-,-,-,2010
a17280dc,8.0,1966,-,-,-,-,-,-,-,-,2010
a175478f,12.0,1987,-,-,-,-,-,-,-,-,2010
a176e24a,1.0,1969,-,-,-,-,-,-,-,-,2010
a17c2163,6.0,1998,-,-,-,-,-,-,-,-,2010
a17d3594,8.0,1989,-,-,-,-,-,-,-,-,2010
a1926c99,13.0,1952,-,-,-,-,-,-,-,-,2010
a194a32e,2.0,1996,-,-,-,-,-,-,-,-,2010
a19ef81b,11.0,1969,-,-,-,-,-,-,-,-,2010
a1a36a12,4.0,1958,-,-,-,-,-,-,-,-,2010
a1a7be0e,6.0,1980,-,-,-,-,-,-,-,-,2010
a1af0ec9,12.0,1982,-,-,-,-,-,-,-,-,2010
a1b0ec38,1.0,1967,-,-,-,-,-,-,-,-,2010
a1b6ebf3,17.0,1981,-,-,-,-,-,-,-,-,2010
a1b99d9a,7.0,1991,-,-,-,-,-,-,-,-,2010
a137610e,1.0,1956,-,-,-,-,-,-,-,-,2010
a1c8748c,3.0,1968,-,-,-,-,-,-,-,-,2010
a135d43c,13.0,1958,-,-,-,-,-,-,-,-,2010
a12d3305,14.0,1989,-,-,-,-,-,-,-,-,2010
a0c5e7e8,17.0,1964,-,-,-,-,-,-,-,-,2010
a0cbb498,3.0,1964,-,-,-,-,-,-,-,-,2010
a0cf5fe8,9.0,1998,-,-,-,-,-,-,-,-,2010
a0cf7a95,12.0,1998,-,-,-,-,-,-,-,-,2010
a0d0ff14,16.0,1988,-,-,-,-,-,-,-,-,2010
a0d71700,12.0,1961,-,-,-,-,-,-,-,-,2010
a0d8ec9a,11.0,1961,-,-,-,-,-,-,-,-,2010
a0dd7248,6.0,1990,-,-,-,-,-,-,-,-,2010
a0dfe8ee,14.0,1969,-,-,-,-,-,-,-,-,2010
a0e072b6,6.0,1957,-,-,-,-,-,-,-,-,2010
a0e615eb,17.0,1991,-,-,-,-,-,-,-,-,2010
a0ef0abf,11.0,1964,-,-,-,-,-,-,-,-,2010
a0f64ff0,9.0,1956,-,-,-,-,-,-,-,-,2010
a0f99654,7.0,1966,-,-,-,-,-,-,-,-,2010
a0fbecbe,7.0,1988,-,-,-,-,-,-,-,-,2010
a105023e,3.0,1966,-,-,-,-,-,-,-,-,2010
a116b834,16.0,1957,-,-,-,-,-,-,-,-,2010
a118efbd,2.0,1956,-,-,-,-,-,-,-,-,2010
a11db89e,1.0,1983,-,-,-,-,-,-,-,-,2010
a1278422,14.0,1984,-,-,-,-,-,-,-,-,2010
a12a7dfb,4.0,1982,-,-,-,-,-,-,-,-,2010
a12a8f76,2.0,1950,-,-,-,-,-,-,-,-,2010
a12c3e36,1.0,1992,-,-,-,-,-,-,-,-,2010
a12e6078,16.0,1964,-,-,-,-,-,-,-,-,2010
a1c8d962,14.0,1965,-,-,-,-,-,-,-,-,2010
a1cb2ca9,2.0,1987,-,-,-,-,-,-,-,-,2010
a1d4ff95,17.0,1984,-,-,-,-,-,-,-,-,2010
a24f7e5f,12.0,1964,-,-,-,-,-,-,-,-,2010
a253ebb3,17.0,1988,-,-,-,-,-,-,-,-,2010
a2563a6c,14.0,1993,-,-,-,-,-,-,-,-,2010
a268c9db,14.0,1958,-,-,-,-,-,-,-,-,2010
a26bafb5,17.0,1998,-,-,-,-,-,-,-,-,2010
a270bce6,17.0,1986,-,-,-,-,-,-,-,-,2010
a275827f,8.0,1988,-,-,-,-,-,-,-,-,2010
a27a297e,7.0,1951,-,-,-,-,-,-,-,-,2010
a27a42a4,17.0,1962,-,-,-,-,-,-,-,-,2010
a27dd996,6.0,1995,-,-,-,-,-,-,-,-,2010
a27e306a,6.0,1960,-,-,-,-,-,-,-,-,2010
a280f7c5,6.0,1960,-,-,-,-,-,-,-,-,2010
a2812181,11.0,1966,-,-,-,-,-,-,-,-,2010
a2814ac4,17.0,1983,-,-,-,-,-,-,-,-,2010
a28d0c62,4.0,1988,-,-,-,-,-,-,-,-,2010
a290305f,16.0,1990,-,-,-,-,-,-,-,-,2010
a294007e,12.0,1967,-,-,-,-,-,-,-,-,2010
a2a7c5c0,1.0,1970,-,-,-,-,-,-,-,-,2010
a2b6ffa5,7.0,1960,-,-,-,-,-,-,-,-,2010
a2bd50c3,10.0,1995,-,-,-,-,-,-,-,-,2010
a2bfa471,10.0,1984,-,-,-,-,-,-,-,-,2010
a2c56567,11.0,1987,-,-,-,-,-,-,-,-,2010
a2ca4094,12.0,1986,-,-,-,-,-,-,-,-,2010
a24d0ac1,15.0,1999,-,-,-,-,-,-,-,-,2010
a2493780,6.0,1967,-,-,-,-,-,-,-,-,2010
a2432fd5,16.0,1961,-,-,-,-,-,-,-,-,2010
a241caff,12.0,1950,-,-,-,-,-,-,-,-,2010
a1d7e0a5,9.0,1963,-,-,-,-,-,-,-,-,2010
a1dd57a6,8.0,1999,-,-,-,-,-,-,-,-,2010
a1dd59e0,11.0,1989,-,-,-,-,-,-,-,-,2010
a1e586a4,2.0,1959,-,-,-,-,-,-,-,-,2010
a1e6f699,3.0,1985,-,-,-,-,-,-,-,-,2010
a1efc36e,5.0,1996,-,-,-,-,-,-,-,-,2010
a1f264f1,6.0,1960,-,-,-,-,-,-,-,-,2010
a1f5b9c3,11.0,1991,-,-,-,-,-,-,-,-,2010
a1fc84e5,8.0,1963,-,-,-,-,-,-,-,-,2010
a1fe8238,15.0,1964,-,-,-,-,-,-,-,-,2010
a2045b80,5.0,1964,-,-,-,-,-,-,-,-,2010
a0bffc79,8.0,1997,-,-,-,-,-,-,-,-,2010
a2057316,2.0,1984,-,-,-,-,-,-,-,-,2010
a20902bc,7.0,1950,-,-,-,-,-,-,-,-,2010
a20e8d6e,14.0,1991,-,-,-,-,-,-,-,-,2010
a213102c,12.0,1989,-,-,-,-,-,-,-,-,2010
a215c48c,13.0,1967,-,-,-,-,-,-,-,-,2010
a222669e,9.0,1969,-,-,-,-,-,-,-,-,2010
a2228d62,11.0,1981,-,-,-,-,-,-,-,-,2010
a222985a,1.0,1999,-,-,-,-,-,-,-,-,2010
a2235af1,7.0,1999,-,-,-,-,-,-,-,-,2010
a22b0d7c,2.0,1988,-,-,-,-,-,-,-,-,2010
a22fee9b,6.0,1995,-,-,-,-,-,-,-,-,2010
a23244cb,13.0,1951,-,-,-,-,-,-,-,-,2010
a2057550,11.0,1961,-,-,-,-,-,-,-,-,2010
a0bfc4a1,13.0,1980,-,-,-,-,-,-,-,-,2010
a0b8be93,7.0,1963,-,-,-,-,-,-,-,-,2010
a0b49884,6.0,1962,-,-,-,-,-,-,-,-,2010
9f476436,9.0,1983,-,-,-,-,-,-,-,-,2010
9f4a216e,13.0,1996,-,-,-,-,-,-,-,-,2010
9f4a305f,7.0,1989,-,-,-,-,-,-,-,-,2010
9f4ec41a,6.0,1968,-,-,-,-,-,-,-,-,2010
9f4ed8c0,8.0,1962,-,-,-,-,-,-,-,-,2010
9f537b53,9.0,1981,-,-,-,-,-,-,-,-,2010
9f53a181,12.0,1982,-,-,-,-,-,-,-,-,2010
9f56c7ff,15.0,1969,-,-,-,-,-,-,-,-,2010
9f5c265d,1.0,1983,-,-,-,-,-,-,-,-,2010
9f5cba62,15.0,1997,-,-,-,-,-,-,-,-,2010
9f5e7455,14.0,1957,-,-,-,-,-,-,-,-,2010
9f636db8,16.0,1970,-,-,-,-,-,-,-,-,2010
9f69a70c,1.0,1999,-,-,-,-,-,-,-,-,2010
9f6cf031,9.0,1965,-,-,-,-,-,-,-,-,2010
9f76cc8e,10.0,1997,-,-,-,-,-,-,-,-,2010
9f7a28f1,6.0,1980,-,-,-,-,-,-,-,-,2010
9f7adefc,12.0,1982,-,-,-,-,-,-,-,-,2010
9f7ce1d3,4.0,1960,-,-,-,-,-,-,-,-,2010
9f856eeb,2.0,1987,-,-,-,-,-,-,-,-,2010
9f8e41bb,12.0,1985,-,-,-,-,-,-,-,-,2010
9f972f08,14.0,1987,-,-,-,-,-,-,-,-,2010
9f98c753,17.0,1990,-,-,-,-,-,-,-,-,2010
9fab9d12,8.0,1963,-,-,-,-,-,-,-,-,2010
9f3e401c,6.0,1982,-,-,-,-,-,-,-,-,2010
9f3cc1c6,12.0,1995,-,-,-,-,-,-,-,-,2010
9f34547f,15.0,1981,-,-,-,-,-,-,-,-,2010
9f2a65e9,7.0,1991,-,-,-,-,-,-,-,-,2010
9e9e302a,13.0,1996,-,-,-,-,-,-,-,-,2010
9ea1e0d6,4.0,1981,-,-,-,-,-,-,-,-,2010
9eada6e5,4.0,1952,-,-,-,-,-,-,-,-,2010
9eae9733,17.0,1980,-,-,-,-,-,-,-,-,2010
9eb8885b,9.0,1988,-,-,-,-,-,-,-,-,2010
9ec4629a,6.0,1953,-,-,-,-,-,-,-,-,2010
9ec4f0f8,12.0,1957,-,-,-,-,-,-,-,-,2010
9ec8abbd,5.0,1984,-,-,-,-,-,-,-,-,2010
9ecc49d9,5.0,1992,-,-,-,-,-,-,-,-,2010
9edd67ee,8.0,1989,-,-,-,-,-,-,-,-,2010
9ee4e52e,3.0,1984,-,-,-,-,-,-,-,-,2010
9fb6a02a,2.0,1968,-,-,-,-,-,-,-,-,2010
9ee6ee6e,1.0,1961,-,-,-,-,-,-,-,-,2010
9eec9fd1,17.0,1955,-,-,-,-,-,-,-,-,2010
9eecf537,16.0,1955,-,-,-,-,-,-,-,-,2010
9eedca4b,6.0,1997,-,-,-,-,-,-,-,-,2010
9ef98acd,10.0,1994,-,-,-,-,-,-,-,-,2010
9efc5e9b,13.0,1991,-,-,-,-,-,-,-,-,2010
9efd7fa5,8.0,1988,-,-,-,-,-,-,-,-,2010
9f0c7ab6,3.0,1988,-,-,-,-,-,-,-,-,2010
9f0ed95a,13.0,1992,-,-,-,-,-,-,-,-,2010
9f10c257,5.0,1995,-,-,-,-,-,-,-,-,2010
9f14b5dd,17.0,1993,-,-,-,-,-,-,-,-,2010
9f189c0f,16.0,1969,-,-,-,-,-,-,-,-,2010
9eeb0678,8.0,1988,-,-,-,-,-,-,-,-,2010
9e95f097,15.0,1970,-,-,-,-,-,-,-,-,2010
9fba2967,4.0,1988,-,-,-,-,-,-,-,-,2010
9fc76206,13.0,1987,-,-,-,-,-,-,-,-,2010
a0508ff8,3.0,1980,-,-,-,-,-,-,-,-,2010
a050d207,3.0,1967,-,-,-,-,-,-,-,-,2010
a0606e26,12.0,1980,-,-,-,-,-,-,-,-,2010
a061f1a8,2.0,1992,-,-,-,-,-,-,-,-,2010
a0654b82,17.0,1991,-,-,-,-,-,-,-,-,2010
a06d7583,4.0,1993,-,-,-,-,-,-,-,-,2010
a07178a5,10.0,1993,-,-,-,-,-,-,-,-,2010
a071c412,3.0,1991,-,-,-,-,-,-,-,-,2010
a074bfcc,15.0,1969,-,-,-,-,-,-,-,-,2010
a0790b00,5.0,1981,-,-,-,-,-,-,-,-,2010
a07b9387,10.0,1962,-,-,-,-,-,-,-,-,2010
a081f4bb,2.0,1992,-,-,-,-,-,-,-,-,2010
a083e975,8.0,1991,-,-,-,-,-,-,-,-,2010
a0865b25,3.0,1990,-,-,-,-,-,-,-,-,2010
a089c76d,9.0,1982,-,-,-,-,-,-,-,-,2010
a0934be0,2.0,1991,-,-,-,-,-,-,-,-,2010
a095d3a9,5.0,1984,-,-,-,-,-,-,-,-,2010
a096041d,3.0,1992,-,-,-,-,-,-,-,-,2010
a0962931,4.0,1964,-,-,-,-,-,-,-,-,2010
a09844fd,6.0,1985,-,-,-,-,-,-,-,-,2010
a0a3524d,16.0,1987,-,-,-,-,-,-,-,-,2010
a0a950f2,3.0,1984,-,-,-,-,-,-,-,-,2010
a0b1584c,6.0,1990,-,-,-,-,-,-,-,-,2010
a04f90c3,7.0,1982,-,-,-,-,-,-,-,-,2010
a0485d74,17.0,1987,-,-,-,-,-,-,-,-,2010
a03ad846,10.0,1950,-,-,-,-,-,-,-,-,2010
a035521a,9.0,1955,-,-,-,-,-,-,-,-,2010
