2024-07-23 08:11:37,559 INFO    MainThread:1686179 [wandb_setup.py:_flush():76] Current SDK version is 0.17.4
2024-07-23 08:11:38,979 INFO    MainThread:1686179 [wandb_init.py:init():619] starting backend
2024-07-23 08:11:38,979 INFO    MainThread:1686179 [wandb_init.py:init():623] setting up manager
2024-07-23 08:11:38,980 INFO    MainThread:1686179 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-07-23 08:11:38,980 INFO    MainThread:1686179 [wandb_init.py:init():631] backend started and connected
2024-07-23 08:11:38,982 INFO    MainThread:1686179 [wandb_run.py:_label_probe_notebook():1334] probe notebook
2024-07-23 08:11:38,982 INFO    MainThread:1686179 [wandb_run.py:_label_probe_notebook():1344] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2024-07-23 08:11:38,982 INFO    MainThread:1686179 [wandb_init.py:init():720] updated telemetry
2024-07-23 08:11:38,987 INFO    MainThread:1686179 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-07-23 08:11:39,928 INFO    MainThread:1686179 [wandb_init.py:init():804] starting run threads in backend
2024-07-23 08:11:43,274 INFO    MainThread:1686179 [wandb_run.py:_console_start():2380] atexit reg
2024-07-23 08:11:43,274 INFO    MainThread:1686179 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2024-07-23 08:11:43,274 INFO    MainThread:1686179 [wandb_run.py:_redirect():2300] Wrapping output streams.
2024-07-23 08:11:43,275 INFO    MainThread:1686179 [wandb_run.py:_redirect():2325] Redirects installed.
2024-07-23 08:11:43,275 INFO    MainThread:1686179 [wandb_init.py:init():847] run started, returning control to user process
2024-07-23 08:11:43,276 INFO    MainThread:1686179 [jupyter.py:save_ipynb():372] not saving jupyter notebook
2024-07-23 08:11:43,276 INFO    MainThread:1686179 [wandb_init.py:_pause_backend():440] pausing backend
2024-07-23 08:11:48,830 INFO    MainThread:1686179 [wandb_init.py:_resume_backend():445] resuming backend
2024-07-23 08:12:00,628 INFO    MainThread:1686179 [jupyter.py:save_ipynb():372] not saving jupyter notebook
2024-07-23 08:12:00,628 INFO    MainThread:1686179 [wandb_init.py:_pause_backend():440] pausing backend
2024-07-23 08:12:01,051 INFO    MainThread:1686179 [wandb_init.py:_resume_backend():445] resuming backend
2024-07-23 08:13:05,294 INFO    MainThread:1686179 [jupyter.py:save_ipynb():372] not saving jupyter notebook
2024-07-23 08:13:05,295 INFO    MainThread:1686179 [wandb_init.py:_pause_backend():440] pausing backend
2024-07-23 08:14:02,455 INFO    MainThread:1686179 [wandb_init.py:_resume_backend():445] resuming backend
2024-07-23 08:14:05,834 INFO    MainThread:1686179 [jupyter.py:save_ipynb():372] not saving jupyter notebook
2024-07-23 08:14:05,834 INFO    MainThread:1686179 [wandb_init.py:_pause_backend():440] pausing backend
2024-07-23 08:14:45,485 INFO    MainThread:1686179 [wandb_init.py:_resume_backend():445] resuming backend
2024-07-23 08:14:45,606 INFO    MainThread:1686179 [jupyter.py:save_ipynb():372] not saving jupyter notebook
2024-07-23 08:14:45,606 INFO    MainThread:1686179 [wandb_init.py:_pause_backend():440] pausing backend
2024-07-23 08:14:47,950 INFO    MainThread:1686179 [wandb_init.py:_resume_backend():445] resuming backend
2024-07-23 08:14:48,073 INFO    MainThread:1686179 [jupyter.py:save_ipynb():372] not saving jupyter notebook
2024-07-23 08:14:48,073 INFO    MainThread:1686179 [wandb_init.py:_pause_backend():440] pausing backend
