,HOUSEKEEPING_NR,TYPHH,rinpersoon,PLHH,REFPERSOONHH,NUMBERPERSHH,DATE_STIRTHH,DATUMEINDEHH,AANTALOVHH,AANTALKINDHH,BIRTHEDYOUNGCHILDHH,GEBMAANDJONGSTEKINDHH,GEBJAAROUDSTEKINDHH,BMAANDOUDSTEKINDHH,hierarchy,ID_list_rinpersoon
13,e94bc627,couple with children,e3e7553d,child living at home,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05,e94bc627_1990-01-01,"['9c1c5278', '1206949c', 'd17ac422', 'afb1d667', 'e3e7553d']"
14,d24d2d17,couple with children,254f7859,partner in couple with children,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05,d24d2d17_1990-01-01,"['254f7859', '66e9ba2b', '30197924', 'f99b413e', 'caffcfd9']"
15,d24d2d17,couple with children,66e9ba2b,partner in couple with children,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05,d24d2d17_1990-01-01,"['254f7859', '66e9ba2b', '30197924', 'f99b413e', 'caffcfd9']"
16,d24d2d17,couple with children,30197924,child living at home,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05,d24d2d17_1990-01-01,"['254f7859', '66e9ba2b', '30197924', 'f99b413e', 'caffcfd9']"
17,d24d2d17,couple with children,f99b413e,child living at home,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05,d24d2d17_1990-01-01,"['254f7859', '66e9ba2b', '30197924', 'f99b413e', 'caffcfd9']"
18,d24d2d17,couple with children,caffcfd9,child living at home,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05,d24d2d17_1990-01-01,"['254f7859', '66e9ba2b', '30197924', 'f99b413e', 'caffcfd9']"
19,36360839,single person household,be0a58d4,single person,0,1,1990-01-01,1991-01-01,1,0,,--,,--,36360839_1990-01-01,['be0a58d4']
20,08af5dc9,single person household,b8432ead,single person,0,1,1990-01-01,1991-01-01,1,0,,--,,--,08af5dc9_1990-01-01,['b8432ead']
21,ddeecec6,single person household,c15e4cb4,single person,0,1,1990-01-01,1991-01-01,1,0,,--,,--,ddeecec6_1990-01-01,['c15e4cb4']
22,1226ed24,single person household,4bfb08e0,single person,1,1,1990-01-01,1991-01-01,1,0,,--,,--,1226ed24_1990-01-01,['4bfb08e0']
23,c6187a91,couple without children,461f62ba,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05,c6187a91_1990-01-01,"['461f62ba', '36677213']"
24,c6187a91,couple without children,36677213,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05,c6187a91_1990-01-01,"['461f62ba', '36677213']"
25,e16d39e3,single person household,c2d3fb66,single person,0,1,1990-01-01,1991-01-01,1,0,,--,,--,e16d39e3_1990-01-01,['c2d3fb66']
26,fd6a5e52,single person household,120a256a,single person,0,1,1990-01-01,1991-01-01,1,0,,--,,--,fd6a5e52_1990-01-01,['120a256a']
27,5391eb95,single parent household,a1e63301,parent in single parent household,1,2,1990-01-01,1991-01-01,1,1,,--,,--,5391eb95_1990-01-01,"['a1e63301', '83848be9']"
28,5391eb95,single parent household,83848be9,child living at home,1,2,1990-01-01,1991-01-01,1,1,,--,,--,5391eb95_1990-01-01,"['a1e63301', '83848be9']"
29,51de5bb7,couple without children,437acb0e,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05,51de5bb7_1990-01-01,"['437acb0e', 'a9998b37']"
30,51de5bb7,couple without children,a9998b37,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05,51de5bb7_1990-01-01,"['437acb0e', 'a9998b37']"
31,a9e34ed8,single person household,a58f8773,single person,1,1,1990-01-01,1991-01-01,1,0,,--,,--,a9e34ed8_1990-01-01,['a58f8773']
32,208bf2ca,single parent household,fde16b96,parent in single parent household,1,2,1990-01-01,1991-01-01,1,1,,--,,--,208bf2ca_1990-01-01,"['fde16b96', '65a2e8d1']"
33,208bf2ca,single parent household,65a2e8d1,child living at home,1,2,1990-01-01,1991-01-01,1,1,,--,,--,208bf2ca_1990-01-01,"['fde16b96', '65a2e8d1']"
34,9764e583,single person household,887cd01c,single person,1,1,1990-01-01,1991-01-01,1,0,,--,,--,9764e583_1990-01-01,['887cd01c']
35,ffa84504,couple without children,20a30672,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05,ffa84504_1990-01-01,"['20a30672', 'af1b4a1b']"
36,ffa84504,couple without children,af1b4a1b,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05,ffa84504_1990-01-01,"['20a30672', 'af1b4a1b']"
37,07a30e39,couple with children,2ae09b76,partner in couple with children,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05,07a30e39_1990-01-01,"['2ae09b76', '8f260525', '88285fb4', '09f7a651']"
38,07a30e39,couple with children,8f260525,partner in couple with children,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05,07a30e39_1990-01-01,"['2ae09b76', '8f260525', '88285fb4', '09f7a651']"
39,07a30e39,couple with children,88285fb4,child living at home,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05,07a30e39_1990-01-01,"['2ae09b76', '8f260525', '88285fb4', '09f7a651']"
40,07a30e39,couple with children,09f7a651,child living at home,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05,07a30e39_1990-01-01,"['2ae09b76', '8f260525', '88285fb4', '09f7a651']"
41,30aed750,couple without children,1cefb90b,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05,30aed750_1990-01-01,"['1cefb90b', 'c87c7eb3']"
42,30aed750,couple without children,c87c7eb3,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05,30aed750_1990-01-01,"['1cefb90b', 'c87c7eb3']"
43,9cf2a509,single person household,1610981e,single person,1,1,1990-01-01,1991-01-01,1,0,,--,,--,9cf2a509_1990-01-01,['1610981e']
44,50a82ac0,single person household,37aba74f,single person,1,1,1990-01-01,1991-01-01,1,0,,--,,--,50a82ac0_1990-01-01,['37aba74f']
45,bdab68c0,couple with children,a553b7f9,partner in couple with children,1,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05,bdab68c0_1990-01-01,"['a553b7f9', 'ecc584e2', '916b9948']"
46,bdab68c0,couple with children,ecc584e2,partner in couple with children,1,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05,bdab68c0_1990-01-01,"['a553b7f9', 'ecc584e2', '916b9948']"
47,bdab68c0,couple with children,916b9948,child living at home,1,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05,bdab68c0_1990-01-01,"['a553b7f9', 'ecc584e2', '916b9948']"
48,b3578b16,couple with children,6d9cc4bb,partner in couple with children,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05,b3578b16_1990-01-01,"['6d9cc4bb', '9c7fae3a', 'd35cf72b', '0b2f1798']"
49,b3578b16,couple with children,9c7fae3a,partner in couple with children,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05,b3578b16_1990-01-01,"['6d9cc4bb', '9c7fae3a', 'd35cf72b', '0b2f1798']"
50,b3578b16,couple with children,d35cf72b,child living at home,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05,b3578b16_1990-01-01,"['6d9cc4bb', '9c7fae3a', 'd35cf72b', '0b2f1798']"
51,b3578b16,couple with children,0b2f1798,child living at home,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05,b3578b16_1990-01-01,"['6d9cc4bb', '9c7fae3a', 'd35cf72b', '0b2f1798']"
52,cf157266,single parent household,b0a21246,parent in single parent household,1,2,1990-01-01,1991-01-01,1,1,,--,,--,cf157266_1990-01-01,"['b0a21246', '17250469']"
53,cf157266,single parent household,17250469,child living at home,1,2,1990-01-01,1991-01-01,1,1,,--,,--,cf157266_1990-01-01,"['b0a21246', '17250469']"
54,8ac37fe0,single person household,ec2e126b,single person,1,1,1990-01-01,1991-01-01,1,0,,--,,--,8ac37fe0_1990-01-01,['ec2e126b']
55,7d9ef18c,single person household,de5b3581,single person,1,1,1990-01-01,1991-01-01,1,0,,--,,--,7d9ef18c_1990-01-01,['de5b3581']
56,f4ae0934,couple with children,74fdfb73,partner in couple with children,0,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05,f4ae0934_1990-01-01,"['74fdfb73', 'f39962d5', '34c3bf80']"
57,f4ae0934,couple with children,f39962d5,partner in couple with children,0,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05,f4ae0934_1990-01-01,"['74fdfb73', 'f39962d5', '34c3bf80']"
58,f4ae0934,couple with children,34c3bf80,child living at home,0,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05,f4ae0934_1990-01-01,"['74fdfb73', 'f39962d5', '34c3bf80']"
59,4308ee85,single parent household,853fe91f,parent in single parent household,0,4,1990-01-01,1991-01-01,1,3,,--,,--,4308ee85_1990-01-01,"['853fe91f', '02dae9b3', 'ceb688ab', '6b9bb414']"
60,4308ee85,single parent household,02dae9b3,child living at home,0,4,1990-01-01,1991-01-01,1,3,,--,,--,4308ee85_1990-01-01,"['853fe91f', '02dae9b3', 'ceb688ab', '6b9bb414']"
61,4308ee85,single parent household,ceb688ab,child living at home,0,4,1990-01-01,1991-01-01,1,3,,--,,--,4308ee85_1990-01-01,"['853fe91f', '02dae9b3', 'ceb688ab', '6b9bb414']"
62,4308ee85,single parent household,6b9bb414,child living at home,0,4,1990-01-01,1991-01-01,1,3,,--,,--,4308ee85_1990-01-01,"['853fe91f', '02dae9b3', 'ceb688ab', '6b9bb414']"
63,c486e628,couple without children,803211ef,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05,c486e628_1990-01-01,"['803211ef', '90d5c62a']"
64,c486e628,couple without children,90d5c62a,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05,c486e628_1990-01-01,"['803211ef', '90d5c62a']"
65,17217684,single person household,431cea40,single person,1,1,1990-01-01,1991-01-01,1,0,,--,,--,17217684_1990-01-01,['431cea40']
66,65b9c242,single parent household,bc90f08b,parent in single parent household,1,2,1990-01-01,1991-01-01,1,1,,--,,--,65b9c242_1990-01-01,"['bc90f08b', '9e0c9697']"
67,65b9c242,single parent household,9e0c9697,child living at home,1,2,1990-01-01,1991-01-01,1,1,,--,,--,65b9c242_1990-01-01,"['bc90f08b', '9e0c9697']"
68,fd54ae85,single parent household,38f180e6,parent in single parent household,0,2,1990-01-01,1991-01-01,1,1,,--,,--,fd54ae85_1990-01-01,"['38f180e6', '8f30630d']"
69,fd54ae85,single parent household,8f30630d,child living at home,0,2,1990-01-01,1991-01-01,1,1,,--,,--,fd54ae85_1990-01-01,"['38f180e6', '8f30630d']"
70,bcd22a38,single parent household,2bbc5d88,parent in single parent household,0,2,1990-01-01,1991-01-01,1,1,,--,,--,bcd22a38_1990-01-01,"['2bbc5d88', 'befc15c9']"
71,bcd22a38,single parent household,befc15c9,child living at home,0,2,1990-01-01,1991-01-01,1,1,,--,,--,bcd22a38_1990-01-01,"['2bbc5d88', 'befc15c9']"
72,d3ee50da,couple with children,92ad9e37,partner in couple with children,1,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05,d3ee50da_1990-01-01,"['92ad9e37', 'eb1e611e', 'f685e86d']"
73,d3ee50da,couple with children,eb1e611e,partner in couple with children,1,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05,d3ee50da_1990-01-01,"['92ad9e37', 'eb1e611e', 'f685e86d']"
74,d3ee50da,couple with children,f685e86d,child living at home,1,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05,d3ee50da_1990-01-01,"['92ad9e37', 'eb1e611e', 'f685e86d']"
75,23ef24a3,couple with children,1e5842ee,partner in couple with children,0,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05,23ef24a3_1990-01-01,"['1e5842ee', '247fbc76', '61243c95']"
76,23ef24a3,couple with children,247fbc76,partner in couple with children,0,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05,23ef24a3_1990-01-01,"['1e5842ee', '247fbc76', '61243c95']"
77,23ef24a3,couple with children,61243c95,child living at home,0,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05,23ef24a3_1990-01-01,"['1e5842ee', '247fbc76', '61243c95']"
78,e4149f12,couple without children,4f3a8f30,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05,e4149f12_1990-01-01,"['4f3a8f30', 'ca5c5e48']"
79,e4149f12,couple without children,ca5c5e48,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05,e4149f12_1990-01-01,"['4f3a8f30', 'ca5c5e48']"
80,7567409a,single parent household,860ec335,parent in single parent household,1,2,1990-01-01,1991-01-01,1,1,,--,,--,7567409a_1990-01-01,"['860ec335', '9b083d70']"
81,7567409a,single parent household,9b083d70,child living at home,1,2,1990-01-01,1991-01-01,1,1,,--,,--,7567409a_1990-01-01,"['860ec335', '9b083d70']"
82,787d8e6d,single parent household,a97ae209,parent in single parent household,0,2,1990-01-01,1991-01-01,1,1,,--,,--,787d8e6d_1990-01-01,"['a97ae209', '7c903c8b']"
83,787d8e6d,single parent household,7c903c8b,child living at home,0,2,1990-01-01,1991-01-01,1,1,,--,,--,787d8e6d_1990-01-01,"['a97ae209', '7c903c8b']"
84,f1bd1693,single parent household,93c3b503,parent in single parent household,1,2,1990-01-01,1991-01-01,1,1,,--,,--,f1bd1693_1990-01-01,"['93c3b503', '57c99fa1']"
85,f1bd1693,single parent household,57c99fa1,child living at home,1,2,1990-01-01,1991-01-01,1,1,,--,,--,f1bd1693_1990-01-01,"['93c3b503', '57c99fa1']"
86,042aa557,couple with children,37490794,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05,042aa557_1990-01-01,"['37490794', 'f901aeea', 'b26b57de', 'dd318db8', '5f2120dd']"
87,042aa557,couple with children,f901aeea,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05,042aa557_1990-01-01,"['37490794', 'f901aeea', 'b26b57de', 'dd318db8', '5f2120dd']"
88,042aa557,couple with children,b26b57de,child living at home,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05,042aa557_1990-01-01,"['37490794', 'f901aeea', 'b26b57de', 'dd318db8', '5f2120dd']"
89,042aa557,couple with children,dd318db8,child living at home,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05,042aa557_1990-01-01,"['37490794', 'f901aeea', 'b26b57de', 'dd318db8', '5f2120dd']"
90,042aa557,couple with children,5f2120dd,child living at home,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05,042aa557_1990-01-01,"['37490794', 'f901aeea', 'b26b57de', 'dd318db8', '5f2120dd']"
91,b55a1feb,single person household,edecd5f5,single person,0,1,1990-01-01,1991-01-01,1,0,,--,,--,b55a1feb_1990-01-01,['edecd5f5']
92,788e1575,single parent household,d5bd699f,parent in single parent household,1,4,1990-01-01,1991-01-01,1,3,,--,,--,788e1575_1990-01-01,"['d5bd699f', 'ddd88a26', '62058e8a', '65fbc6a1']"
93,788e1575,single parent household,ddd88a26,child living at home,1,4,1990-01-01,1991-01-01,1,3,,--,,--,788e1575_1990-01-01,"['d5bd699f', 'ddd88a26', '62058e8a', '65fbc6a1']"
94,788e1575,single parent household,62058e8a,child living at home,1,4,1990-01-01,1991-01-01,1,3,,--,,--,788e1575_1990-01-01,"['d5bd699f', 'ddd88a26', '62058e8a', '65fbc6a1']"
95,788e1575,single parent household,65fbc6a1,child living at home,1,4,1990-01-01,1991-01-01,1,3,,--,,--,788e1575_1990-01-01,"['d5bd699f', 'ddd88a26', '62058e8a', '65fbc6a1']"
96,ae909ab2,couple without children,bbe7343e,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05,ae909ab2_1990-01-01,"['bbe7343e', '7cdf5a71']"
97,ae909ab2,couple without children,7cdf5a71,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05,ae909ab2_1990-01-01,"['bbe7343e', '7cdf5a71']"
98,f97339d3,couple without children,df16a0df,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05,f97339d3_1990-01-01,"['df16a0df', 'c6a4c67e']"
99,f97339d3,couple without children,c6a4c67e,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05,f97339d3_1990-01-01,"['df16a0df', 'c6a4c67e']"
100,353a3870,couple without children,16f92055,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05,353a3870_1990-01-01,"['16f92055', '2e738989']"
101,353a3870,couple without children,2e738989,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05,353a3870_1990-01-01,"['16f92055', '2e738989']"
102,61ca8b48,single parent household,11590e61,parent in single parent household,0,3,1990-01-01,1991-01-01,1,2,,--,,--,61ca8b48_1990-01-01,"['11590e61', 'f531984b', '3d190e9d']"
103,61ca8b48,single parent household,f531984b,child living at home,0,3,1990-01-01,1991-01-01,1,2,,--,,--,61ca8b48_1990-01-01,"['11590e61', 'f531984b', '3d190e9d']"
104,61ca8b48,single parent household,3d190e9d,child living at home,0,3,1990-01-01,1991-01-01,1,2,,--,,--,61ca8b48_1990-01-01,"['11590e61', 'f531984b', '3d190e9d']"
105,687ba355,single parent household,7be701c2,parent in single parent household,1,2,1990-01-01,1991-01-01,1,1,,--,,--,687ba355_1990-01-01,"['7be701c2', '13cf5fcd']"
106,687ba355,single parent household,13cf5fcd,child living at home,1,2,1990-01-01,1991-01-01,1,1,,--,,--,687ba355_1990-01-01,"['7be701c2', '13cf5fcd']"
107,a20bb171,single parent household,6c41c19b,parent in single parent household,0,4,1990-01-01,1991-01-01,1,3,,--,,--,a20bb171_1990-01-01,"['6c41c19b', '4ab62457', '99bafd58', 'd6a8c905']"
108,a20bb171,single parent household,4ab62457,child living at home,0,4,1990-01-01,1991-01-01,1,3,,--,,--,a20bb171_1990-01-01,"['6c41c19b', '4ab62457', '99bafd58', 'd6a8c905']"
109,a20bb171,single parent household,99bafd58,child living at home,0,4,1990-01-01,1991-01-01,1,3,,--,,--,a20bb171_1990-01-01,"['6c41c19b', '4ab62457', '99bafd58', 'd6a8c905']"
110,a20bb171,single parent household,d6a8c905,child living at home,0,4,1990-01-01,1991-01-01,1,3,,--,,--,a20bb171_1990-01-01,"['6c41c19b', '4ab62457', '99bafd58', 'd6a8c905']"
111,a6356b00,single person household,677fc918,single person,0,1,1990-01-01,1991-01-01,1,0,,--,,--,a6356b00_1990-01-01,['677fc918']
112,2da09ba8,couple with children,04944dda,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05,2da09ba8_1990-01-01,"['04944dda', 'd1ccc4c3', '1d4d2171', '1a55e142', '03c6605f']"
113,2da09ba8,couple with children,d1ccc4c3,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05,2da09ba8_1990-01-01,"['04944dda', 'd1ccc4c3', '1d4d2171', '1a55e142', '03c6605f']"
114,2da09ba8,couple with children,1d4d2171,child living at home,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05,2da09ba8_1990-01-01,"['04944dda', 'd1ccc4c3', '1d4d2171', '1a55e142', '03c6605f']"
115,2da09ba8,couple with children,1a55e142,child living at home,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05,2da09ba8_1990-01-01,"['04944dda', 'd1ccc4c3', '1d4d2171', '1a55e142', '03c6605f']"
116,2da09ba8,couple with children,03c6605f,child living at home,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05,2da09ba8_1990-01-01,"['04944dda', 'd1ccc4c3', '1d4d2171', '1a55e142', '03c6605f']"
117,eebe68ff,single person household,67254760,single person,0,1,1990-01-01,1991-01-01,1,0,,--,,--,eebe68ff_1990-01-01,['67254760']
118,5b428d03,couple with children,7b44a300,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05,5b428d03_1990-01-01,"['7b44a300', 'f47b6fce', '6cce39de', 'd9b62737', 'ed2760e4']"
119,5b428d03,couple with children,f47b6fce,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05,5b428d03_1990-01-01,"['7b44a300', 'f47b6fce', '6cce39de', 'd9b62737', 'ed2760e4']"
120,5b428d03,couple with children,6cce39de,child living at home,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05,5b428d03_1990-01-01,"['7b44a300', 'f47b6fce', '6cce39de', 'd9b62737', 'ed2760e4']"
121,5b428d03,couple with children,d9b62737,child living at home,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05,5b428d03_1990-01-01,"['7b44a300', 'f47b6fce', '6cce39de', 'd9b62737', 'ed2760e4']"
122,5b428d03,couple with children,ed2760e4,child living at home,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05,5b428d03_1990-01-01,"['7b44a300', 'f47b6fce', '6cce39de', 'd9b62737', 'ed2760e4']"
123,80bf8a50,couple with children,a514d4f3,partner in couple with children,0,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05,80bf8a50_1990-01-01,"['a514d4f3', '0fab8cd4', '1ee23966']"
124,80bf8a50,couple with children,0fab8cd4,partner in couple with children,0,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05,80bf8a50_1990-01-01,"['a514d4f3', '0fab8cd4', '1ee23966']"
125,80bf8a50,couple with children,1ee23966,child living at home,0,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05,80bf8a50_1990-01-01,"['a514d4f3', '0fab8cd4', '1ee23966']"
126,e50eb526,couple without children,2e4a5aa7,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05,e50eb526_1990-01-01,"['2e4a5aa7', '072ccdc5']"
127,e50eb526,couple without children,072ccdc5,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05,e50eb526_1990-01-01,"['2e4a5aa7', '072ccdc5']"
128,da16f2ab,single person household,d5eae13d,single person,0,1,1990-01-01,1991-01-01,1,0,,--,,--,da16f2ab_1990-01-01,['d5eae13d']
129,0e1d9545,single person household,73714a86,single person,0,1,1990-01-01,1991-01-01,1,0,,--,,--,0e1d9545_1990-01-01,['73714a86']
130,189a8f87,couple with children,2ba7c873,partner in couple with children,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05,189a8f87_1990-01-01,"['2ba7c873', '203f72e6', '563983b6', 'ba1c5bc0', 'f7117412']"
131,189a8f87,couple with children,203f72e6,partner in couple with children,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05,189a8f87_1990-01-01,"['2ba7c873', '203f72e6', '563983b6', 'ba1c5bc0', 'f7117412']"
132,189a8f87,couple with children,563983b6,child living at home,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05,189a8f87_1990-01-01,"['2ba7c873', '203f72e6', '563983b6', 'ba1c5bc0', 'f7117412']"
133,189a8f87,couple with children,ba1c5bc0,child living at home,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05,189a8f87_1990-01-01,"['2ba7c873', '203f72e6', '563983b6', 'ba1c5bc0', 'f7117412']"
134,189a8f87,couple with children,f7117412,child living at home,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05,189a8f87_1990-01-01,"['2ba7c873', '203f72e6', '563983b6', 'ba1c5bc0', 'f7117412']"
135,a579f418,couple without children,9474d614,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05,a579f418_1990-01-01,"['9474d614', '8cd4678b']"
136,a579f418,couple without children,8cd4678b,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05,a579f418_1990-01-01,"['9474d614', '8cd4678b']"
137,55435dbf,couple without children,504039d3,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05,55435dbf_1990-01-01,"['504039d3', '1c0cf745']"
138,55435dbf,couple without children,1c0cf745,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05,55435dbf_1990-01-01,"['504039d3', '1c0cf745']"
