rinpersoon,year,num_employed_months,num_firms_worked_at,average_salary_while_employed
004f0206,2013,4,4,4687.5
004f0206,2014,4,4,3802.0
004f0206,2015,5,5,5748.0
004f0206,2016,4,4,5744.0
004f0206,2017,3,3,4104.333333333333
004f0206,2018,5,5,5359.2
004f0206,2019,4,4,5258.5
004f0206,2020,5,5,7294.6
00527f04,2010,5,5,6176.6
00527f04,2011,3,3,4388.333333333333
00527f04,2012,4,4,4606.75
00527f04,2013,5,5,5837.8
00527f04,2014,4,4,3117.25
00527f04,2015,4,4,5912.75
00527f04,2016,4,4,5683.25
00527f04,2017,3,3,4024.3333333333335
00527f04,2018,5,5,4045.2
00527f04,2019,5,5,5613.4
00527f04,2020,4,4,7233.5
00530c42,2010,4,4,6617.0
00530c42,2011,4,4,3267.0
00530c42,2012,5,5,4030.4
00530c42,2013,3,3,5048.666666666667
00530c42,2014,5,5,7267.4
00530c42,2015,2,2,3715.0
00530c42,2016,4,4,5925.75
00530c42,2017,5,5,3546.8
00530c42,2018,2,2,4556.0
00530c42,2019,5,5,6617.4
00530c42,2020,5,5,6670.6
0057d6b5,2010,5,4,5729.6
0057d6b5,2011,4,4,5251.75
0057d6b5,2012,4,4,5025.0
0057d6b5,2013,5,5,5372.8
0057d6b5,2014,5,5,4856.8
0057d6b5,2015,4,4,4599.0
0057d6b5,2016,5,5,7679.8
0057d6b5,2017,4,4,6199.5
0057d6b5,2018,3,2,7913.333333333333
0057d6b5,2019,5,4,5473.8
0057d6b5,2020,3,2,3600.333333333333
0057e2cb,2010,3,3,2661.6666666666665
0057e2cb,2011,5,5,5140.4
0057e2cb,2012,4,4,7666.5
0057e2cb,2013,4,4,5020.0
0057e2cb,2014,2,2,4900.5
0057e2cb,2015,5,5,5312.2
0057e2cb,2016,3,3,8295.666666666666
0057e2cb,2017,5,5,5664.6
0057e2cb,2018,5,5,7029.6
0057e2cb,2019,5,5,6220.6
0057e2cb,2020,3,3,7417.333333333333
0059dde3,2010,4,4,6427.75
0059dde3,2011,3,3,8833.333333333334
0059dde3,2012,5,5,7478.6
0059dde3,2013,4,4,7470.25
0059dde3,2014,5,5,5372.6
0059dde3,2015,4,4,4588.5
0059dde3,2016,5,5,5331.2
0059dde3,2017,5,5,7029.8
0059dde3,2018,4,4,7872.75
0059dde3,2019,4,4,5989.0
0059dde3,2020,4,4,4119.25
005b6208,2010,4,4,6419.0
005b6208,2011,4,4,5303.5
005b6208,2012,5,5,4572.0
005b6208,2013,5,5,5638.2
005b6208,2014,3,3,5261.0
005b6208,2015,5,5,4256.8
005b6208,2016,5,5,5979.4
005b6208,2017,3,3,1709.0
005b6208,2018,5,5,3911.2
005b6208,2019,3,3,5113.333333333333
005b6208,2020,5,5,6974.4
00650caf,2010,4,4,6145.75
00650caf,2011,5,5,6760.6
00650caf,2012,4,4,5760.5
00650caf,2013,4,4,4399.0
00650caf,2014,5,5,4443.6
00650caf,2015,5,5,4452.6
00650caf,2016,3,3,5801.333333333333
00650caf,2017,4,4,6315.25
00650caf,2018,4,4,6116.5
00650caf,2019,4,4,6486.5
00650caf,2020,5,5,5720.2
006c5d5e,2010,4,4,5695.0
006c5d5e,2011,3,3,5833.666666666667
006c5d5e,2012,5,5,5053.8
006c5d5e,2013,4,4,5793.75
006c5d5e,2014,5,5,5482.4
006c5d5e,2015,5,5,5426.2
006c5d5e,2016,4,4,6555.5
006c5d5e,2017,4,4,3586.75
006c5d5e,2018,4,4,6302.25
006c5d5e,2019,5,5,6702.2
006c5d5e,2020,5,5,3163.4
006f20e1,2010,4,3,8312.5
006f20e1,2011,3,1,5046.333333333333
006f20e1,2012,5,3,5225.2
006f20e1,2013,5,3,3350.0
006f20e1,2014,5,3,4995.0
006f20e1,2015,5,3,3474.6
006f20e1,2016,5,3,4042.4
006f20e1,2017,4,3,7034.5
006f20e1,2018,4,3,5598.25
006f20e1,2019,5,4,4105.8
006f20e1,2020,4,3,7441.25
00721713,2010,5,5,5700.8
00721713,2011,4,4,6183.0
00721713,2012,4,4,6803.0
00721713,2013,3,3,4402.0
00721713,2014,4,4,5445.75
00721713,2015,5,5,5794.6
00721713,2016,5,5,7159.4
00721713,2017,3,3,8012.666666666667
00721713,2018,5,5,5104.0
00721713,2019,4,4,6196.75
00721713,2020,5,5,6787.4
007adca0,2010,3,3,6505.333333333333
007adca0,2011,4,4,7220.25
007adca0,2012,4,4,3914.25
007adca0,2013,3,3,5837.0
007adca0,2014,4,4,7363.75
007adca0,2015,4,4,7705.5
007adca0,2016,5,5,3384.6
007adca0,2017,4,4,4820.5
007adca0,2018,4,4,6725.5
007adca0,2019,4,4,5795.5
007adca0,2020,3,3,6550.333333333333
007fc2cd,2010,3,3,3529.333333333333
007fc2cd,2011,3,3,5704.333333333333
007fc2cd,2012,5,5,5546.4
007fc2cd,2013,4,4,6725.0
007fc2cd,2014,4,4,4575.0
007fc2cd,2015,4,4,4901.75
007fc2cd,2016,4,4,5067.25
007fc2cd,2017,3,3,4056.3333333333335
007fc2cd,2018,5,5,7838.4
007fc2cd,2019,4,4,6238.0
007fc2cd,2020,5,5,5149.2
008915e9,2010,2,2,6958.0
008915e9,2011,3,3,6174.666666666667
008915e9,2012,4,4,5596.25
008915e9,2013,4,4,5309.0
008915e9,2014,5,5,5261.8
008915e9,2015,4,4,6233.25
008915e9,2016,4,4,6411.25
008915e9,2017,5,5,4184.4
008915e9,2018,5,5,5984.0
008915e9,2019,4,4,4426.5
008915e9,2020,4,4,8576.0
008bcb7e,2010,4,4,7130.25
008bcb7e,2011,3,2,4724.0
008bcb7e,2012,5,4,4548.4
008bcb7e,2013,4,3,6634.25
008bcb7e,2014,4,4,4574.5
008bcb7e,2015,3,3,1869.6666666666667
008bcb7e,2016,5,5,6323.0
008bcb7e,2017,3,3,5470.333333333333
008bcb7e,2018,5,5,5178.0
008bcb7e,2019,4,4,5034.75
008bcb7e,2020,4,4,4112.5
009228c8,2010,4,4,6900.5
009228c8,2011,5,5,4476.0
009228c8,2012,5,5,4948.0
009228c8,2013,4,4,3560.25
009228c8,2014,4,4,5006.75
009228c8,2015,5,5,6685.0
009228c8,2016,5,5,8026.4
009228c8,2017,4,4,5227.25
009228c8,2018,4,4,6449.5
009228c8,2019,3,3,5129.666666666667
009228c8,2020,4,4,3217.25
0093b08f,2010,3,3,5580.0
0093b08f,2011,5,5,5011.4
0093b08f,2012,5,5,4537.4
0093b08f,2013,5,5,6139.6
0093b08f,2014,2,2,4753.0
0093b08f,2015,5,3,4142.6
0093b08f,2016,4,2,4271.0
0093b08f,2017,4,3,5021.0
0093b08f,2018,4,4,6225.25
0093b08f,2019,5,5,5280.4
0093b08f,2020,5,5,5053.8
0098d70a,2010,5,5,5212.6
0098d70a,2011,4,4,4769.25
0098d70a,2012,4,4,3674.25
0098d70a,2013,4,4,7818.75
0098d70a,2014,5,5,5510.0
0098d70a,2015,4,4,6281.0
0098d70a,2016,4,4,5976.25
0098d70a,2017,5,4,6422.6
0098d70a,2018,4,4,4728.0
0098d70a,2019,4,4,5566.25
0098d70a,2020,5,5,5095.4
009994c9,2010,3,3,5775.333333333333
009994c9,2011,5,5,3599.8
009994c9,2012,3,3,3781.3333333333335
009994c9,2013,4,4,5793.5
009994c9,2014,4,4,6890.5
009994c9,2015,3,3,5181.333333333333
009994c9,2016,3,3,6363.666666666667
009994c9,2017,4,4,7636.75
009994c9,2018,5,5,3550.4
009994c9,2019,5,5,6535.0
009994c9,2020,3,3,5694.0
00a05037,2010,3,3,5913.333333333333
00a05037,2011,5,5,6690.4
00a05037,2012,3,3,1812.0
00a05037,2013,5,5,3170.0
00a05037,2014,3,3,6947.666666666667
00a05037,2015,5,5,5623.0
00a05037,2016,5,5,4936.2
00a05037,2017,4,4,7367.0
00a05037,2018,4,4,5025.0
00a05037,2019,5,5,6824.2
00a05037,2020,4,4,8004.5
00a19f6a,2010,3,2,6545.333333333333
00a19f6a,2011,4,4,6072.25
00a19f6a,2012,5,5,7356.4
00a19f6a,2013,5,5,3449.0
00a19f6a,2014,4,4,6274.0
00a19f6a,2015,5,5,5168.6
00a19f6a,2016,3,3,6262.666666666667
00a19f6a,2017,3,3,6018.666666666667
00a19f6a,2018,5,4,7056.8
00a19f6a,2019,4,3,6311.0
00a19f6a,2020,5,4,5924.0
00a2cd32,2010,5,4,4539.2
00a2cd32,2011,4,3,5833.0
00a2cd32,2012,5,4,3604.4
00a2cd32,2013,5,4,5733.6
00a2cd32,2014,4,3,7212.75
00a2cd32,2015,5,4,3420.0
00a2cd32,2016,5,4,4499.6
00a2cd32,2017,5,4,4128.2
00a2cd32,2018,3,3,2432.6666666666665
00a2cd32,2019,5,4,4841.8
00a2cd32,2020,4,4,5517.5
00a50ca8,2010,4,4,6314.25
00a50ca8,2011,3,3,6253.333333333333
00a50ca8,2012,4,3,3881.0
00a50ca8,2013,4,3,4259.25
00a50ca8,2014,4,3,4887.25
00a50ca8,2015,5,4,6005.8
00a50ca8,2016,2,2,3603.0
00a50ca8,2017,4,4,2600.75
00a50ca8,2018,5,5,4131.4
00a50ca8,2019,4,4,4364.5
00a50ca8,2020,4,4,6991.25
00a579d8,2010,5,4,5376.8
00a579d8,2011,4,3,6403.5
00a579d8,2012,4,3,4961.75
00a579d8,2013,4,4,3788.25
00a579d8,2014,4,4,6139.75
00a579d8,2015,5,5,5494.8
00a579d8,2016,5,5,5867.2
00a579d8,2017,5,5,4330.2
00a579d8,2018,4,4,5344.0
00a579d8,2019,5,5,6056.0
00a579d8,2020,4,4,4638.0
00acd53c,2010,3,3,3563.6666666666665
00acd53c,2011,3,3,2787.6666666666665
00acd53c,2012,4,4,5436.75
00acd53c,2013,4,4,5601.0
00acd53c,2014,5,5,7398.2
00acd53c,2015,3,3,3492.6666666666665
00acd53c,2016,5,5,6327.2
00acd53c,2017,4,4,5971.0
00acd53c,2018,5,5,5054.2
00acd53c,2019,4,4,4715.0
00acd53c,2020,3,3,4186.0
00b56f85,2010,4,4,2652.75
00b56f85,2011,5,5,4476.0
00b56f85,2012,4,4,3772.25
00b56f85,2013,3,3,5176.666666666667
00b56f85,2014,5,5,7349.2
00b56f85,2015,3,3,7612.333333333333
00b56f85,2016,4,4,6980.75
00b56f85,2017,5,4,4188.6
00b56f85,2018,4,4,6310.5
00b56f85,2019,4,4,6393.0
00b56f85,2020,5,5,4132.6
00b7d201,2010,5,5,4833.0
00b7d201,2011,4,4,8298.25
00b7d201,2012,4,4,6721.5
00b7d201,2013,4,4,5630.75
00b7d201,2014,4,4,4314.0
00b7d201,2015,3,3,8242.666666666666
00b7d201,2016,4,4,4434.5
00b7d201,2017,4,4,7097.75
00b7d201,2018,5,5,4943.8
00b7d201,2019,5,5,4517.4
00b7d201,2020,4,4,6251.0
00b99b31,2010,4,4,5567.0
00b99b31,2011,4,4,3832.25
00b99b31,2012,4,4,4160.25
00b99b31,2013,5,5,5272.2
00b99b31,2014,4,4,7108.0
00b99b31,2015,3,2,5343.0
00b99b31,2016,5,4,5131.2
00b99b31,2017,4,4,5806.75
00b99b31,2018,5,5,7438.2
00b99b31,2019,4,4,6638.25
00b99b31,2020,5,5,4745.6
00c1aa6c,2010,5,5,3818.8
00c1aa6c,2011,5,5,4639.6
00c1aa6c,2012,4,4,7403.25
00c1aa6c,2013,4,4,6871.25
00c1aa6c,2014,5,4,3992.8
00c1aa6c,2015,5,4,5394.2
00c1aa6c,2016,4,4,6273.0
00c1aa6c,2017,5,5,5952.4
00c1aa6c,2018,5,5,7115.6
00c1aa6c,2019,4,4,5769.25
00c1aa6c,2020,3,3,6460.333333333333
00ca0e25,2010,4,4,6404.25
00ca0e25,2011,5,5,6795.0
00ca0e25,2012,5,5,4714.0
00ca0e25,2013,4,4,4689.0
00ca0e25,2014,2,2,3832.0
00ca0e25,2015,5,5,4942.6
00ca0e25,2016,4,4,7028.5
00ca0e25,2017,5,5,5127.6
00ca0e25,2018,4,4,5086.75
00ca0e25,2019,5,5,5953.6
00ca0e25,2020,3,3,2116.333333333333
00ca36fe,2010,4,4,7581.5
00ca36fe,2011,5,5,6133.2
00ca36fe,2012,4,4,6068.25
00ca36fe,2013,5,5,6719.0
00ca36fe,2014,5,5,4439.2
00ca36fe,2015,5,5,4977.0
00ca36fe,2016,3,3,6903.666666666667
00ca36fe,2017,4,4,7754.5
00ca36fe,2018,3,3,7515.666666666667
00ca36fe,2019,4,4,6381.25
00ca36fe,2020,3,3,7584.333333333333
00cb281d,2010,5,4,4410.4
00cb281d,2011,3,3,7599.0
00cb281d,2012,5,4,6050.8
00cb281d,2013,4,3,2232.0
00cb281d,2014,4,4,5222.5
00cb281d,2015,5,5,5864.8
00cb281d,2016,4,4,7790.75
00cb281d,2017,4,4,6781.0
00cb281d,2018,5,5,3265.2
00cb281d,2019,3,3,5418.333333333333
00cb281d,2020,4,3,7077.0
00cd2c1a,2010,1,1,2939.0
00cd2c1a,2011,5,5,4455.2
00cd2c1a,2012,4,4,6177.75
00cd2c1a,2013,3,3,6357.666666666667
00cd2c1a,2014,4,4,8038.25
00cd2c1a,2015,5,5,4442.8
00cd2c1a,2016,3,3,5070.666666666667
00cd2c1a,2017,3,3,2280.6666666666665
00cd2c1a,2018,4,4,6507.0
00cd2c1a,2019,2,2,4775.5
00cd2c1a,2020,5,5,6162.2
00d2f8a7,2010,5,4,5306.2
00d2f8a7,2011,5,4,5014.2
00d2f8a7,2012,4,3,6537.5
00d2f8a7,2013,4,3,7285.25
00d2f8a7,2014,5,4,3964.2
00d2f8a7,2015,4,3,5799.0
00d2f8a7,2016,3,2,6499.0
00d2f8a7,2017,4,3,6142.5
00d2f8a7,2018,4,3,6287.25
00d2f8a7,2019,5,4,4151.8
00d2f8a7,2020,4,3,6257.75
00dd5e7a,2010,2,2,5390.5
00dd5e7a,2011,5,5,3481.0
00dd5e7a,2012,3,3,4420.333333333333
00dd5e7a,2013,3,3,5644.333333333333
00dd5e7a,2014,4,4,5445.25
00dd5e7a,2015,3,3,4296.333333333333
00dd5e7a,2016,4,4,5671.5
00dd5e7a,2017,5,5,4033.8
00dd5e7a,2018,2,2,7932.0
00dd5e7a,2019,3,3,5005.0
00dd5e7a,2020,4,4,4409.25
00de5278,2010,5,4,5832.6
00de5278,2011,2,2,2417.0
00de5278,2012,5,5,6065.0
00de5278,2013,4,4,2617.25
00de5278,2014,5,5,3676.8
00de5278,2015,5,5,5289.2
00de5278,2016,5,5,5041.0
00de5278,2017,4,4,4778.75
00de5278,2018,4,4,6174.25
00de5278,2019,5,5,5628.8
00de5278,2020,4,4,6152.75
00de943a,2010,5,5,6934.8
00de943a,2011,4,4,4609.25
00de943a,2012,5,5,5107.2
00de943a,2013,4,4,3909.75
00de943a,2014,5,5,4318.4
00de943a,2015,4,4,6813.0
00de943a,2016,3,3,6944.0
00de943a,2017,5,5,7244.8
00de943a,2018,4,4,3471.25
00de943a,2019,3,3,4946.666666666667
00de943a,2020,5,5,5525.4
00e1ae12,2010,5,3,5121.4
00e1ae12,2011,4,3,3632.5
00e1ae12,2012,3,3,3109.333333333333
00e1ae12,2013,4,4,5181.0
00e1ae12,2014,3,3,6197.666666666667
00e1ae12,2015,4,4,7458.75
00e1ae12,2016,5,5,4659.6
00e1ae12,2017,5,5,6174.0
00e1ae12,2018,3,3,7325.333333333333
00e1ae12,2019,5,5,4850.2
00e1ae12,2020,5,5,5219.4
00e4acd0,2010,3,3,7308.666666666667
00e4acd0,2011,5,4,6105.4
00e4acd0,2012,4,3,6015.25
00e4acd0,2013,4,3,5192.75
00e4acd0,2014,5,4,5006.6
00e4acd0,2015,5,4,4074.6
00e4acd0,2016,5,4,4967.2
00e4acd0,2017,5,4,4962.4
00e4acd0,2018,5,4,5183.4
00e4acd0,2019,5,4,5888.6
00e4acd0,2020,5,4,6420.4
00e8e9b6,2010,5,5,6018.6
00e8e9b6,2011,5,5,5316.8
00e8e9b6,2012,5,5,6516.8
00e8e9b6,2013,3,3,5176.333333333333
00e8e9b6,2014,4,4,4805.5
00e8e9b6,2015,4,4,4126.5
00e8e9b6,2016,3,3,7109.333333333333
00e8e9b6,2017,5,5,4946.2
00e8e9b6,2018,5,5,6654.2
00e8e9b6,2019,4,4,6047.0
00e8e9b6,2020,4,4,4482.0
00ec362f,2010,5,5,5482.6
00ec362f,2011,5,5,4083.2
00ec362f,2012,4,4,6862.25
00ec362f,2013,4,3,3039.0
00ec362f,2014,3,3,7231.333333333333
00ec362f,2015,4,4,4793.0
00ec362f,2016,5,5,6187.2
00ec362f,2017,5,5,7248.0
00ec362f,2018,4,4,4278.0
00ec362f,2019,5,5,5472.8
00ec362f,2020,4,4,7397.5
00ed35f8,2010,3,3,5906.333333333333
00ed35f8,2011,3,3,5946.0
00ed35f8,2012,5,5,5122.6
00ed35f8,2013,4,4,3998.75
00ed35f8,2014,4,4,6749.25
00ed35f8,2015,5,5,3197.4
00ed35f8,2016,4,4,4278.5
00ed35f8,2017,5,4,4891.6
00ed35f8,2018,5,4,4672.8
00ed35f8,2019,4,4,7760.5
00ed35f8,2020,4,4,6831.25
00f3036b,2010,5,5,6441.8
00f3036b,2011,3,3,5206.333333333333
00f3036b,2012,5,5,5132.6
00f3036b,2013,3,3,2580.333333333333
00f3036b,2014,4,4,5270.5
00f3036b,2015,4,4,6828.25
00f3036b,2016,4,4,4520.75
00f3036b,2017,5,5,3790.8
00f3036b,2018,3,3,5077.333333333333
00f3036b,2019,5,4,4649.4
00f3036b,2020,4,3,2220.75
00f4d6cb,2010,5,5,3924.2
00f4d6cb,2011,5,5,3995.8
00f4d6cb,2012,5,5,3660.2
00f4d6cb,2013,4,4,3552.5
00f4d6cb,2014,3,3,5709.666666666667
00f4d6cb,2015,5,5,7568.0
00f4d6cb,2016,3,3,6426.333333333333
00f4d6cb,2017,3,3,6689.333333333333
00f4d6cb,2018,5,4,5159.8
00f4d6cb,2019,5,4,6837.0
00f4d6cb,2020,5,4,5318.8
00f8d405,2010,5,5,3252.4
00f8d405,2011,5,5,6015.8
00f8d405,2012,5,5,7263.6
00f8d405,2013,4,4,6396.75
00f8d405,2014,4,4,6991.75
00f8d405,2015,4,4,7736.0
00f8d405,2016,5,5,3304.0
00f8d405,2017,5,5,6874.2
00f8d405,2018,4,4,5350.25
00f8d405,2019,5,5,5600.8
00f8d405,2020,4,4,5926.25
00fe71ba,2010,5,4,5434.6
00fe71ba,2011,4,3,4502.25
00fe71ba,2012,4,3,5040.0
00fe71ba,2013,3,3,8099.0
00fe71ba,2014,5,5,5584.4
00fe71ba,2015,4,4,2180.0
00fe71ba,2016,4,4,7240.0
00fe71ba,2017,5,5,6703.6
00fe71ba,2018,4,4,4246.25
00fe71ba,2019,5,4,3033.8
00fe71ba,2020,5,4,6383.4
01030496,2010,4,4,4743.0
01030496,2011,5,4,5359.4
01030496,2012,5,4,6166.4
01030496,2013,5,4,6022.4
01030496,2014,4,3,6029.5
01030496,2015,5,3,5865.6
01030496,2016,5,3,4341.6
01030496,2017,5,3,5960.8
01030496,2018,4,3,5369.75
01030496,2019,4,4,4854.75
01030496,2020,4,4,7058.0
0108659d,2010,5,5,6332.6
0108659d,2011,4,4,6916.0
0108659d,2012,4,4,4912.25
0108659d,2013,3,3,5157.333333333333
0108659d,2014,4,4,5189.25
0108659d,2015,3,3,3823.3333333333335
0108659d,2016,4,4,4963.25
0108659d,2017,4,4,4686.5
0108659d,2018,3,3,6577.0
0108659d,2019,5,5,4498.6
0108659d,2020,4,4,5380.5
01087c09,2010,4,4,6609.5
01087c09,2011,2,2,5685.5
01087c09,2012,4,4,5148.0
01087c09,2013,5,5,4196.0
01087c09,2014,3,3,5349.666666666667
01087c09,2015,5,5,4064.8
01087c09,2016,3,3,6740.0
01087c09,2017,3,3,6274.333333333333
01087c09,2018,4,4,6160.75
01087c09,2019,5,5,6167.6
01087c09,2020,5,5,5971.8
010f7508,2010,4,3,6197.0
010f7508,2011,5,4,4248.8
010f7508,2012,5,4,6475.4
010f7508,2013,4,3,4217.5
010f7508,2014,4,3,6003.0
010f7508,2015,4,2,7437.0
010f7508,2016,4,2,4526.25
010f7508,2017,5,3,4801.0
010f7508,2018,4,2,3008.25
010f7508,2019,5,3,7155.0
010f7508,2020,3,2,6671.0
011073ee,2010,4,4,4524.0
011073ee,2011,4,4,6486.25
011073ee,2012,5,5,4635.8
011073ee,2013,5,5,7212.6
011073ee,2014,4,4,4852.5
011073ee,2015,4,4,5684.5
011073ee,2016,5,5,5545.0
011073ee,2017,3,3,4182.666666666667
011073ee,2018,5,5,6783.4
011073ee,2019,3,3,4988.0
011073ee,2020,5,5,4289.4
0111e9de,2010,5,5,7234.2
0111e9de,2011,4,4,4107.75
0111e9de,2012,5,5,3062.8
0111e9de,2013,5,5,7381.0
0111e9de,2014,5,5,6254.0
0111e9de,2015,5,5,4434.6
0111e9de,2016,3,3,4264.666666666667
0111e9de,2017,5,5,7158.6
0111e9de,2018,3,3,5454.333333333333
0111e9de,2019,4,4,4748.5
0111e9de,2020,3,2,5388.0
0119f3a6,2010,3,3,4673.333333333333
0119f3a6,2011,5,5,5446.6
0119f3a6,2012,5,5,3576.6
0119f3a6,2013,4,4,6844.25
0119f3a6,2014,5,5,5065.4
0119f3a6,2015,3,3,5628.666666666667
0119f3a6,2016,4,4,5886.25
0119f3a6,2017,4,4,5771.0
0119f3a6,2018,5,5,4386.2
0119f3a6,2019,3,3,4492.666666666667
0119f3a6,2020,4,4,4311.0
011a63b4,2010,5,4,4888.6
011a63b4,2011,5,4,5764.6
011a63b4,2012,5,4,7532.8
011a63b4,2013,5,4,7040.4
011a63b4,2014,5,4,6352.0
011a63b4,2015,4,3,6432.0
011a63b4,2016,5,4,5481.4
011a63b4,2017,4,4,5775.0
011a63b4,2018,4,4,5153.75
011a63b4,2019,4,3,3712.25
011a63b4,2020,4,3,6066.5
011b4848,2010,3,3,6593.666666666667
011b4848,2011,5,5,6167.2
011b4848,2012,4,4,5958.75
011b4848,2013,3,3,8383.0
011b4848,2014,4,4,4561.5
011b4848,2015,3,3,5180.666666666667
011b4848,2016,3,3,4782.0
011b4848,2017,5,5,5661.4
011b4848,2018,3,3,6252.0
011b4848,2019,4,4,4614.75
011b4848,2020,3,3,7146.0
012ac48b,2010,3,3,5345.0
012ac48b,2011,5,5,4701.8
012ac48b,2012,2,2,5951.5
012ac48b,2013,5,4,5627.2
012ac48b,2014,3,2,6788.666666666667
012ac48b,2015,4,4,6436.25
012ac48b,2016,4,4,7083.75
012ac48b,2017,5,5,5408.0
012ac48b,2018,5,5,6909.0
012ac48b,2019,3,3,4361.0
012ac48b,2020,5,5,4431.4
012c7ac3,2010,4,4,5300.75
012c7ac3,2011,4,4,6511.75
012c7ac3,2012,4,4,6555.5
012c7ac3,2013,2,2,5831.0
012c7ac3,2014,4,4,4513.5
012c7ac3,2015,4,4,7286.5
012c7ac3,2016,4,4,4832.75
012c7ac3,2017,4,4,4840.75
012c7ac3,2018,3,3,4757.333333333333
012c7ac3,2019,4,4,7519.25
012c7ac3,2020,4,4,4167.0
013a0367,2010,5,4,5005.6
013a0367,2011,5,4,3809.4
013a0367,2012,2,1,4226.0
013a0367,2013,4,4,4772.5
013a0367,2014,4,4,4871.25
013a0367,2015,4,4,5080.0
013a0367,2016,5,5,6001.2
013a0367,2017,5,5,5167.0
013a0367,2018,3,3,8091.333333333333
013a0367,2019,5,5,2946.4
013a0367,2020,5,5,5159.6
013e2a06,2010,3,3,8536.333333333334
013e2a06,2011,5,5,7278.4
013e2a06,2012,4,4,5628.75
013e2a06,2013,5,5,6499.6
013e2a06,2014,5,5,7543.8
013e2a06,2015,4,4,5350.5
013e2a06,2016,5,5,7045.0
013e2a06,2017,2,2,4389.0
013e2a06,2018,5,5,6200.6
013e2a06,2019,4,4,7468.75
013e2a06,2020,4,4,6127.5
0144a511,2010,5,3,5738.2
0144a511,2011,4,3,4629.0
0144a511,2012,3,2,6895.0
0144a511,2013,5,4,4428.2
0144a511,2014,5,4,6252.4
0144a511,2015,5,4,6294.0
0144a511,2016,5,4,5820.6
0144a511,2017,5,4,6802.2
0144a511,2018,5,4,5135.8
0144a511,2019,4,3,5329.75
0144a511,2020,4,3,4809.0
01514dd6,2010,5,5,6671.8
01514dd6,2011,4,4,7072.25
01514dd6,2012,5,5,5249.2
01514dd6,2013,5,5,7315.4
01514dd6,2014,4,4,6500.5
01514dd6,2015,4,4,6606.5
01514dd6,2016,4,3,7426.75
01514dd6,2017,5,3,4425.6
01514dd6,2018,5,3,4513.4
01514dd6,2019,4,3,5531.5
01514dd6,2020,5,4,5378.6
01535ca4,2010,5,3,3751.4
01535ca4,2011,5,3,5650.6
01535ca4,2012,4,3,6453.0
01535ca4,2013,5,4,5481.2
01535ca4,2014,5,4,6471.0
01535ca4,2015,4,3,3345.75
