,HOUSEKEEPING_NR,TYPHH,rinpersoon,PLHH,REFPERSOONHH,NUMBERPERSHH,DATE_STIRTHH,DATUMEINDEHH,AANTALOVHH,AANTALKINDHH,EVENT,BIRTHEDYOUNGCHILDHH,GEBMAANDJONGSTEKINDHH,GEBJAAROUDSTEKINDHH,BMAANDOUDSTEKINDHH,hierarchy,ID_list_child living at home,ID_list_parent in single parent household,ID_list_partner in couple with children,ID_list_partner in couple without children,ID_list_single person
63,bdab68c0,couple with children,803211ef,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05,bdab68c0_1990-01-01,"['431cea40', 'bc90f08b', '9e0c9697']",,"['803211ef', '90d5c62a']",,
64,bdab68c0,couple with children,90d5c62a,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05,bdab68c0_1990-01-01,"['431cea40', 'bc90f08b', '9e0c9697']",,"['803211ef', '90d5c62a']",,
65,bdab68c0,couple with children,431cea40,child living at home,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05,bdab68c0_1990-01-01,"['431cea40', 'bc90f08b', '9e0c9697']",,"['803211ef', '90d5c62a']",,
66,bdab68c0,couple with children,bc90f08b,child living at home,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05,bdab68c0_1990-01-01,"['431cea40', 'bc90f08b', '9e0c9697']",,"['803211ef', '90d5c62a']",,
67,bdab68c0,couple with children,9e0c9697,child living at home,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05,bdab68c0_1990-01-01,"['431cea40', 'bc90f08b', '9e0c9697']",,"['803211ef', '90d5c62a']",,
68,b3578b16,single person household,38f180e6,single person,0,1,1990-01-01,1991-01-01,1,0,initiate,,--,,--,b3578b16_1990-01-01,,,,,['38f180e6']
69,cf157266,single parent household,8f30630d,parent in single parent household,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--,cf157266_1990-01-01,"['2bbc5d88', 'befc15c9', '92ad9e37']",['8f30630d'],,,
70,cf157266,single parent household,2bbc5d88,child living at home,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--,cf157266_1990-01-01,"['2bbc5d88', 'befc15c9', '92ad9e37']",['8f30630d'],,,
71,cf157266,single parent household,befc15c9,child living at home,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--,cf157266_1990-01-01,"['2bbc5d88', 'befc15c9', '92ad9e37']",['8f30630d'],,,
72,cf157266,single parent household,92ad9e37,child living at home,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--,cf157266_1990-01-01,"['2bbc5d88', 'befc15c9', '92ad9e37']",['8f30630d'],,,
73,8ac37fe0,couple with children,eb1e611e,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05,8ac37fe0_1990-01-01,"['1e5842ee', '247fbc76', '61243c95']",,"['eb1e611e', 'f685e86d']",,
74,8ac37fe0,couple with children,f685e86d,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05,8ac37fe0_1990-01-01,"['1e5842ee', '247fbc76', '61243c95']",,"['eb1e611e', 'f685e86d']",,
75,8ac37fe0,couple with children,1e5842ee,child living at home,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05,8ac37fe0_1990-01-01,"['1e5842ee', '247fbc76', '61243c95']",,"['eb1e611e', 'f685e86d']",,
76,8ac37fe0,couple with children,247fbc76,child living at home,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05,8ac37fe0_1990-01-01,"['1e5842ee', '247fbc76', '61243c95']",,"['eb1e611e', 'f685e86d']",,
77,8ac37fe0,couple with children,61243c95,child living at home,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05,8ac37fe0_1990-01-01,"['1e5842ee', '247fbc76', '61243c95']",,"['eb1e611e', 'f685e86d']",,
78,7d9ef18c,single person household,4f3a8f30,single person,0,1,1990-01-01,1991-01-01,1,0,initiate,,--,,--,7d9ef18c_1990-01-01,,,,,['4f3a8f30']
79,f4ae0934,couple without children,ca5c5e48,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05,f4ae0934_1990-01-01,,,,"['ca5c5e48', '860ec335']",
80,f4ae0934,couple without children,860ec335,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05,f4ae0934_1990-01-01,,,,"['ca5c5e48', '860ec335']",
81,4308ee85,single person household,9b083d70,single person,1,1,1990-01-01,1991-01-01,1,0,initiate,,--,,--,4308ee85_1990-01-01,,,,,['9b083d70']
82,c486e628,couple with children,a97ae209,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05,c486e628_1990-01-01,"['93c3b503', '57c99fa1', '37490794']",,"['a97ae209', '7c903c8b']",,
83,c486e628,couple with children,7c903c8b,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05,c486e628_1990-01-01,"['93c3b503', '57c99fa1', '37490794']",,"['a97ae209', '7c903c8b']",,
84,c486e628,couple with children,93c3b503,child living at home,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05,c486e628_1990-01-01,"['93c3b503', '57c99fa1', '37490794']",,"['a97ae209', '7c903c8b']",,
85,c486e628,couple with children,57c99fa1,child living at home,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05,c486e628_1990-01-01,"['93c3b503', '57c99fa1', '37490794']",,"['a97ae209', '7c903c8b']",,
86,c486e628,couple with children,37490794,child living at home,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05,c486e628_1990-01-01,"['93c3b503', '57c99fa1', '37490794']",,"['a97ae209', '7c903c8b']",,
87,17217684,single person household,f901aeea,single person,1,1,1990-01-01,1991-01-01,1,0,initiate,,--,,--,17217684_1990-01-01,,,,,['f901aeea']
88,65b9c242,single parent household,b26b57de,parent in single parent household,1,3,1990-01-01,1991-01-01,1,2,initiate,,--,,--,65b9c242_1990-01-01,"['dd318db8', '5f2120dd']",['b26b57de'],,,
89,65b9c242,single parent household,dd318db8,child living at home,1,3,1990-01-01,1991-01-01,1,2,initiate,,--,,--,65b9c242_1990-01-01,"['dd318db8', '5f2120dd']",['b26b57de'],,,
90,65b9c242,single parent household,5f2120dd,child living at home,1,3,1990-01-01,1991-01-01,1,2,initiate,,--,,--,65b9c242_1990-01-01,"['dd318db8', '5f2120dd']",['b26b57de'],,,
91,fd54ae85,couple without children,edecd5f5,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05,fd54ae85_1990-01-01,,,,"['edecd5f5', 'd5bd699f']",
92,fd54ae85,couple without children,d5bd699f,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05,fd54ae85_1990-01-01,,,,"['edecd5f5', 'd5bd699f']",
93,bcd22a38,single parent household,ddd88a26,parent in single parent household,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--,bcd22a38_1990-01-01,"['62058e8a', '65fbc6a1', 'bbe7343e']",['ddd88a26'],,,
94,bcd22a38,single parent household,62058e8a,child living at home,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--,bcd22a38_1990-01-01,"['62058e8a', '65fbc6a1', 'bbe7343e']",['ddd88a26'],,,
95,bcd22a38,single parent household,65fbc6a1,child living at home,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--,bcd22a38_1990-01-01,"['62058e8a', '65fbc6a1', 'bbe7343e']",['ddd88a26'],,,
96,bcd22a38,single parent household,bbe7343e,child living at home,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--,bcd22a38_1990-01-01,"['62058e8a', '65fbc6a1', 'bbe7343e']",['ddd88a26'],,,
97,d3ee50da,single person household,7cdf5a71,single person,0,1,1990-01-01,1991-01-01,1,0,initiate,,--,,--,d3ee50da_1990-01-01,,,,,['7cdf5a71']
98,23ef24a3,couple without children,df16a0df,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05,23ef24a3_1990-01-01,,,,"['df16a0df', 'c6a4c67e']",
99,23ef24a3,couple without children,c6a4c67e,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05,23ef24a3_1990-01-01,,,,"['df16a0df', 'c6a4c67e']",
100,e4149f12,single parent household,16f92055,parent in single parent household,1,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--,e4149f12_1990-01-01,"['2e738989', '11590e61', 'f531984b']",['16f92055'],,,
101,e4149f12,single parent household,2e738989,child living at home,1,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--,e4149f12_1990-01-01,"['2e738989', '11590e61', 'f531984b']",['16f92055'],,,
102,e4149f12,single parent household,11590e61,child living at home,1,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--,e4149f12_1990-01-01,"['2e738989', '11590e61', 'f531984b']",['16f92055'],,,
103,e4149f12,single parent household,f531984b,child living at home,1,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--,e4149f12_1990-01-01,"['2e738989', '11590e61', 'f531984b']",['16f92055'],,,
104,7567409a,couple with children,3d190e9d,partner in couple with children,0,3,1990-01-01,1991-01-01,2,1,initiate,2015.0,01,2010.0,05,7567409a_1990-01-01,['13cf5fcd'],,"['3d190e9d', '7be701c2']",,
105,7567409a,couple with children,7be701c2,partner in couple with children,0,3,1990-01-01,1991-01-01,2,1,initiate,2015.0,01,2010.0,05,7567409a_1990-01-01,['13cf5fcd'],,"['3d190e9d', '7be701c2']",,
106,7567409a,couple with children,13cf5fcd,child living at home,0,3,1990-01-01,1991-01-01,2,1,initiate,2015.0,01,2010.0,05,7567409a_1990-01-01,['13cf5fcd'],,"['3d190e9d', '7be701c2']",,
107,787d8e6d,couple without children,6c41c19b,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05,787d8e6d_1990-01-01,,,,"['6c41c19b', '4ab62457']",
108,787d8e6d,couple without children,4ab62457,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05,787d8e6d_1990-01-01,,,,"['6c41c19b', '4ab62457']",
109,f1bd1693,single person household,99bafd58,single person,1,1,1990-01-01,1991-01-01,1,0,initiate,,--,,--,f1bd1693_1990-01-01,,,,,['99bafd58']
110,042aa557,single person household,d6a8c905,single person,0,1,1990-01-01,1991-01-01,1,0,initiate,,--,,--,042aa557_1990-01-01,,,,,['d6a8c905']
111,b55a1feb,single parent household,677fc918,parent in single parent household,0,3,1990-01-01,1991-01-01,1,2,initiate,,--,,--,b55a1feb_1990-01-01,"['04944dda', 'd1ccc4c3']",['677fc918'],,,
112,b55a1feb,single parent household,04944dda,child living at home,0,3,1990-01-01,1991-01-01,1,2,initiate,,--,,--,b55a1feb_1990-01-01,"['04944dda', 'd1ccc4c3']",['677fc918'],,,
113,b55a1feb,single parent household,d1ccc4c3,child living at home,0,3,1990-01-01,1991-01-01,1,2,initiate,,--,,--,b55a1feb_1990-01-01,"['04944dda', 'd1ccc4c3']",['677fc918'],,,
114,788e1575,single parent household,1d4d2171,parent in single parent household,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--,788e1575_1990-01-01,"['1a55e142', '03c6605f', '67254760']",['1d4d2171'],,,
115,788e1575,single parent household,1a55e142,child living at home,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--,788e1575_1990-01-01,"['1a55e142', '03c6605f', '67254760']",['1d4d2171'],,,
116,788e1575,single parent household,03c6605f,child living at home,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--,788e1575_1990-01-01,"['1a55e142', '03c6605f', '67254760']",['1d4d2171'],,,
117,788e1575,single parent household,67254760,child living at home,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--,788e1575_1990-01-01,"['1a55e142', '03c6605f', '67254760']",['1d4d2171'],,,
118,ae909ab2,couple with children,7b44a300,partner in couple with children,0,4,1990-01-01,1991-01-01,2,2,initiate,2015.0,01,2010.0,05,ae909ab2_1990-01-01,"['6cce39de', 'd9b62737']",,"['7b44a300', 'f47b6fce']",,
119,ae909ab2,couple with children,f47b6fce,partner in couple with children,0,4,1990-01-01,1991-01-01,2,2,initiate,2015.0,01,2010.0,05,ae909ab2_1990-01-01,"['6cce39de', 'd9b62737']",,"['7b44a300', 'f47b6fce']",,
120,ae909ab2,couple with children,6cce39de,child living at home,0,4,1990-01-01,1991-01-01,2,2,initiate,2015.0,01,2010.0,05,ae909ab2_1990-01-01,"['6cce39de', 'd9b62737']",,"['7b44a300', 'f47b6fce']",,
121,ae909ab2,couple with children,d9b62737,child living at home,0,4,1990-01-01,1991-01-01,2,2,initiate,2015.0,01,2010.0,05,ae909ab2_1990-01-01,"['6cce39de', 'd9b62737']",,"['7b44a300', 'f47b6fce']",,
122,f97339d3,couple with children,ed2760e4,partner in couple with children,1,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05,f97339d3_1990-01-01,"['0fab8cd4', '1ee23966', '2e4a5aa7']",,"['ed2760e4', 'a514d4f3']",,
123,f97339d3,couple with children,a514d4f3,partner in couple with children,1,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05,f97339d3_1990-01-01,"['0fab8cd4', '1ee23966', '2e4a5aa7']",,"['ed2760e4', 'a514d4f3']",,
